,name,proj fpts,class,2022 rank
0,jalen-hurts,23.17578648463835,1,3
1,joe-burrow,21.023202798947967,0,4
2,josh-allen-qb,20.583041154509964,1,2
3,patrick-mahomes,19.794849114240034,0,1
4,daniel-jones,19.284467108255335,1,9
5,justin-fields,19.161947079344102,1,6
6,kyler-murray,19.115982742582673,1,19
7,lamar-jackson,18.851919478690043,1,14
8,justin-herbert,18.23883714356213,0,11
9,trevor-lawrence,18.231650352508264,0,8
10,geno-smith,17.324329616734598,0,5
11,tua-tagovailoa,17.03137311344885,0,15
12,kirk-cousins,16.420546381275276,0,7
13,tom-brady,16.203864754032118,0,12
14,jared-goff,16.029981051915698,0,10
15,carson-wentz,15.43926931261009,0,31
16,marcus-mariota,15.434660846094314,1,20
17,dak-prescott,15.41614246480897,0,18
18,mac-jones,14.642438170155433,2,23
19,andy-dalton,14.345347333590889,0,22
20,jimmy-garoppolo,14.113625983872478,0,25
21,matt-ryan,14.058661781079502,0,26
22,derek-carr,13.88711589116462,0,17
23,russell-wilson,13.801486500974596,0,16
24,jarrett-stidham,13.759197382038446,0,43
25,aaron-rodgers,13.685911042282665,0,13
26,matthew-stafford,13.616762523049502,0,32
27,mike-white,13.376163290568513,0,38
28,kenny-pickett,12.99580407803183,2,28
29,ryan-tannehill,12.724420315990578,0,27
30,davis-mills,12.440159157099203,2,21
31,sam-darnold,12.053717215580688,2,36
32,joe-flacco,11.9973912898043,4,41
33,jacoby-brissett,11.67695747635733,3,24
34,sam-ehlinger,11.601802905519424,2,49
35,baker-mayfield,11.526032679135758,2,29
36,taylor-heinicke,11.217360844749594,2,30
37,deshaun-watson,11.050077135700146,2,35
38,colt-mccoy,10.604672341410081,2,50
39,bailey-zappe,10.247204823059581,2,44
40,jameis-winston,9.676542558302684,0,42
41,zach-wilson,9.52764402941156,2,34
42,tyler-huntley,9.430639125885602,2,40
43,desmond-ridder,8.28821654751064,2,48
44,mitch-trubisky,7.171873856770889,2,37
45,cooper-rush,7.078423281357212,2,39
46,brock-purdy,6.689157414265895,3,33
47,teddy-bridgewater,4.936351681748503,3,46
48,gardner-minshew,4.899356982444742,3,47
49,phillip-walker,1.6833693768386304,3,45
