,name,proj fpts,class
2,jalen-hurts,23.316939761675343,1
1,josh-allen-qb,20.962753296323935,1
3,joe-burrow,20.875698027958887,0
8,daniel-jones,19.71119512681927,1
0,patrick-mahomes,19.66038028509337,0
18,kyler-murray,19.545385151715422,1
13,lamar-jackson,19.02488331321175,1
5,justin-fields,19.0241883893657,1
10,justin-herbert,18.01584376569518,0
7,trevor-lawrence,17.980379167620157,0
4,geno-smith,17.350866195250113,0
14,tua-tagovailoa,16.76982313854286,0
6,kirk-cousins,15.958186647891278,2
19,marcus-mariota,15.875468222757876,1
9,jared-goff,15.824684941350528,0
17,dak-prescott,15.68200758733757,0
11,tom-brady,15.504645049743464,2
30,carson-wentz,15.129826960756514,2
22,mac-jones,14.414371683523326,3
21,andy-dalton,14.339092278769897,0
24,jimmy-garoppolo,13.985334015863184,0
25,matt-ryan,13.856008942557356,2
16,derek-carr,13.849399166321469,0
35,sam-darnold,13.748773446883163,0
15,russell-wilson,13.730416993151206,0
12,aaron-rodgers,13.72356459175858,0
42,jarrett-stidham,13.360816617342733,3
27,kenny-pickett,13.101999861113423,3
31,matthew-stafford,13.061770508909955,2
26,ryan-tannehill,12.764254797051109,0
29,taylor-heinicke,12.53591337825606,0
37,mike-white,12.50516458845705,2
40,joe-flacco,12.502815866338688,2
23,jacoby-brissett,12.345137255394992,3
20,davis-mills,12.161833605374465,3
48,sam-ehlinger,11.747716229423213,3
43,bailey-zappe,11.690082332485261,0
49,colt-mccoy,11.458044036240556,0
28,baker-mayfield,11.232764205735108,3
34,deshaun-watson,11.147580030011081,3
39,tyler-huntley,9.409296956717089,3
33,zach-wilson,9.382933673569354,3
41,jameis-winston,8.9375962130551,2
47,desmond-ridder,8.198543760127755,3
36,mitch-trubisky,6.93967550342748,3
38,cooper-rush,6.653865785401978,3
32,brock-purdy,6.243683593258801,4
45,teddy-bridgewater,4.952910322496185,4
46,gardner-minshew,4.812753002711729,4
44,phillip-walker,1.77081668846529,4
