,name,proj fpts,class,2022 rank
0,jalen-hurts,24.86434326171875,1,3
1,joe-burrow,21.298138427734376,0,4
2,justin-herbert,20.918031311035158,0,11
3,patrick-mahomes,20.510415649414064,0,1
4,josh-allen-qb,20.07674560546875,1,2
5,justin-fields,19.837130737304687,1,6
6,daniel-jones,19.709432983398436,1,9
7,trevor-lawrence,19.10942687988281,0,8
8,jared-goff,18.929637145996093,0,10
9,kyler-murray,18.396914672851562,1,19
10,geno-smith,18.288970947265625,0,5
11,kirk-cousins,17.75467529296875,0,7
12,tom-brady,17.57861328125,2,12
13,tua-tagovailoa,17.359788513183595,0,15
14,lamar-jackson,17.145729064941406,1,14
15,aaron-rodgers,16.137335205078124,0,13
16,derek-carr,16.081988525390624,0,17
17,jimmy-garoppolo,15.873136901855469,0,25
18,dak-prescott,15.46088104248047,0,18
19,mac-jones,15.421585083007812,3,23
20,andy-dalton,14.872560119628906,0,22
21,davis-mills,14.692434692382813,3,21
22,marcus-mariota,14.490524291992188,1,20
23,mike-white,13.471807861328125,0,38
24,russell-wilson,13.281394958496094,3,16
25,baker-mayfield,13.240928649902344,3,29
26,carson-wentz,13.0256591796875,0,31
27,ryan-tannehill,12.92401123046875,0,27
28,sam-darnold,12.810745239257812,0,36
29,matt-ryan,12.744644165039062,2,26
30,kenny-pickett,12.650723266601563,3,28
31,matthew-stafford,12.615635681152344,2,32
32,jacoby-brissett,12.48828582763672,3,24
33,bailey-zappe,11.65020751953125,3,44
34,taylor-heinicke,11.5341064453125,3,30
35,jarrett-stidham,10.837125396728515,0,43
36,colt-mccoy,10.836923217773437,2,50
37,tyler-huntley,10.630461883544921,3,40
38,desmond-ridder,10.163251495361328,3,48
39,deshaun-watson,10.0296875,3,35
40,zach-wilson,9.664228820800782,3,34
41,jameis-winston,8.895829772949218,2,42
42,joe-flacco,8.429854583740234,2,41
43,brock-purdy,8.178795623779298,4,33
44,cooper-rush,8.057577514648438,3,39
45,mitch-trubisky,7.8174896240234375,3,37
46,sam-ehlinger,7.360848999023437,3,49
47,gardner-minshew,3.016833686828613,4,47
48,teddy-bridgewater,-0.33199074268341067,4,46
49,phillip-walker,-1.451333236694336,4,45
