,name,proj fpts,class
2,josh-jacobs,16.240554570430064,0
1,christian-mccaffrey,16.17857622506368,0
0,austin-ekeler,15.389147690265347,0
3,derrick-henry,14.662741940012765,0
4,saquon-barkley,14.280527250400041,0
5,nick-chubb,13.788842160749113,1
15,alvin-kamara,13.08038593595984,0
9,joe-mixon,13.056978715389164,0
17,james-conner,12.630104191133938,0
10,dalvin-cook,12.570982518899697,0
6,rhamondre-stevenson,12.552173240440723,0
12,jamaal-williams,12.423947957482397,1
7,tony-pollard,12.361819118682178,0
25,dameon-pierce,12.211083106396913,1
8,aaron-jones,12.035464736681263,0
13,najee-harris-rb,11.589723083722433,2
11,leonard-fournette,11.560944978552769,0
16,travis-etienne,11.293876956274019,1
14,miles-sanders,11.220787710493326,1
19,dandre-swift,11.044650756591182,0
31,jonathan-taylor,10.995897281205856,1
20,ezekiel-elliott,10.519817219819075,1
68,rashaad-penny,10.447160882075039,3
40,breece-hall,10.413505396472416,0
55,jk-dobbins,9.91824289924736,1
28,jeffery-wilson,9.71202163751471,1
33,cam-akers,9.617527881994562,1
26,antonio-gibson,9.575678464964739,2
21,devin-singletary,9.547069409958027,2
41,brian-robinson-jr,9.544166477204314,1
64,gus-edwards,9.52889938714307,3
79,javonte-williams,9.42220557436454,2
36,donta-foreman,9.421092568063202,3
27,tyler-allgeier,9.36139670903681,1
75,elijah-mitchell-rb,9.271211420538876,3
22,david-montgomery,9.221060613240624,2
23,raheem-mostert,9.181958482529069,1
24,aj-dillon,9.062859836562808,2
29,cordarrelle-patterson,9.057172760761745,1
48,james-robinson,8.862583143702565,3
30,latavius-murray,8.854515699234724,1
39,khalil-herbert,8.43009335787653,1
18,jerick-mckinnon,8.357387256541472,0
46,damien-harris-rb,8.288801162020391,1
65,zonovan-bam-knight,8.180536290174913,2
34,rachaad-white,8.081723792353756,2
35,isiah-pacheco,7.871245079556658,1
74,caleb-huntley,7.82124507157738,3
52,melvin-gordon,7.582164360780894,2
37,kareem-hunt,7.457906297703076,2
44,clyde-edwards-helaire,7.361999272012099,2
32,samaje-perine,7.165441354946253,2
38,michael-carter-rb,7.0695178990568905,2
43,kenyan-drake,7.0661310244593665,1
58,darrell-henderson,6.96776907138981,2
62,zack-moss,6.777781219426814,3
83,jordan-mason,6.771597947532442,3
45,jaylen-warren,6.672414544786278,2
47,eno-benjamin,6.1896988133425594,2
73,boston-scott,6.041735504396058,4
57,chase-edmonds,6.010519514713607,2
42,james-cook,5.5340717052317245,2
61,joshua-kelley,5.479177073094263,4
82,malik-davis,5.3341043165307696,4
49,alexander-mattison,5.252306056597533,4
51,chuba-hubbard,5.208199153785785,2
53,deon-jackson,5.11474602036634,2
50,kenneth-gainwell,4.94802525463335,4
86,kyren-williams,4.772024247713745,4
70,mark-ingram,4.717644097846389,4
80,justice-hill,4.5292701814349385,4
66,jd-mckissic,4.351337892824432,2
69,justin-jackson-rb,3.6875738350681075,4
92,hassan-haskins,3.5989142314248426,4
87,gary-brightwell,3.4853577488638336,4
63,matt-breida,3.4181511648078526,4
56,dontrell-hilliard,3.316650260840987,2
93,sony-michel,3.0861917642819208,4
90,pierre-strong-jr,3.035013049390656,4
78,ty-johnson,3.0214468483422365,4
89,mike-boone,3.0141283745797125,4
60,jamycal-hasty,2.9778152528900534,4
91,jonathan-williams,2.9557909023993574,4
84,avery-williams-cb,2.907530268556826,4
88,brandon-bolden,2.874690146028186,4
77,raheem-blackshear,2.847860757503355,4
59,rex-burkhead,2.805238122160958,4
72,deejay-dallas,2.609100239915662,4
71,dare-ogunbowale,2.574210805962707,4
76,travis-homer,2.4756241115841817,4
54,nyheim-hines,2.454886690572607,4
67,ameer-abdullah,2.3508831142481483,4
85,craig-reynolds,2.2788273417140914,4
81,marlon-mack,2.1588622649411064,4
94,malcolm-brown,1.3740433352946724,4
