,name,proj fpts,class,2022 rank
0,josh-jacobs,16.244776916503906,1,3
1,austin-ekeler,15.470880126953125,0,1
2,christian-mccaffrey,15.462106323242187,0,2
3,derrick-henry,14.388368225097656,1,4
4,nick-chubb,14.013916015625,1,6
5,saquon-barkley,13.909002685546875,1,5
6,james-conner,13.286068725585938,3,18
7,joe-mixon,13.19452362060547,0,10
8,alvin-kamara,12.712686157226562,0,16
9,dalvin-cook,12.44286880493164,1,11
10,najee-harris-rb,12.4065185546875,3,14
11,dameon-pierce,12.33062973022461,1,26
12,rhamondre-stevenson,11.956156921386718,0,7
13,aaron-jones,11.841117095947265,0,9
14,jamaal-williams,11.806409454345703,2,13
15,leonard-fournette,11.766534423828125,0,12
16,tony-pollard,11.734907531738282,0,8
17,dandre-swift,11.580070495605469,0,20
18,travis-etienne,11.283164978027344,1,17
19,antonio-gibson,10.874016571044923,3,27
20,jonathan-taylor,10.77328872680664,1,32
21,miles-sanders,10.364103698730469,2,15
22,ezekiel-elliott,10.343896484375,2,21
23,devin-singletary,10.342385864257812,3,22
24,david-montgomery,10.114649963378906,3,23
25,aj-dillon,9.930410766601563,3,25
26,jeffery-wilson,9.732623291015624,2,29
27,javonte-williams,9.239955139160156,3,80
28,raheem-mostert,9.212140655517578,3,24
29,cam-akers,9.154673767089843,2,34
30,rachaad-white,9.085834503173828,3,35
31,cordarrelle-patterson,8.931873321533203,2,30
32,rashaad-penny,8.928485870361328,2,69
33,latavius-murray,8.883164978027343,2,31
34,melvin-gordon,8.795175170898437,3,53
35,tyler-allgeier,8.7870361328125,2,28
36,brian-robinson-jr,8.715201568603515,2,42
37,zonovan-bam-knight,8.687928771972656,3,66
38,jk-dobbins,8.50936279296875,2,56
39,michael-carter-rb,8.449221801757812,3,39
40,jerick-mckinnon,8.404320526123048,0,19
41,kareem-hunt,8.300784301757812,3,38
42,james-robinson,8.261697387695312,2,49
43,damien-harris-rb,8.004037475585937,2,47
44,breece-hall,7.850459289550781,0,41
45,donta-foreman,7.749089050292969,2,37
46,samaje-perine,7.572090148925781,3,33
47,isiah-pacheco,7.5540824890136715,2,36
48,clyde-edwards-helaire,7.502580261230468,3,45
49,darrell-henderson,7.275666046142578,3,59
50,jaylen-warren,7.22166748046875,4,46
51,elijah-mitchell-rb,7.141268920898438,2,76
52,eno-benjamin,6.935887145996094,3,48
53,khalil-herbert,6.9356834411621096,2,40
54,gus-edwards,6.771607971191406,2,65
55,chase-edmonds,6.4710029602050785,4,58
56,kenyan-drake,6.430319213867188,2,44
57,alexander-mattison,5.9829048156738285,4,50
58,kenneth-gainwell,5.9781036376953125,4,51
59,joshua-kelley,5.938946533203125,4,62
60,zack-moss,5.671780014038086,2,63
61,james-cook,5.487234497070313,3,43
62,caleb-huntley,5.432852935791016,2,75
63,deon-jackson,5.368292236328125,3,54
64,malik-davis,5.21669921875,4,83
65,boston-scott,4.767405700683594,4,74
66,jd-mckissic,4.733513259887696,3,67
67,mark-ingram,4.673733520507812,4,71
68,chuba-hubbard,4.668559646606445,2,52
69,kyren-williams,4.654211044311523,4,87
70,nyheim-hines,4.3901325225830075,4,55
71,matt-breida,4.2869007110595705,4,64
72,justin-jackson-rb,4.226207733154297,4,70
73,ameer-abdullah,4.03912353515625,4,68
74,justice-hill,3.998912811279297,4,81
75,rex-burkhead,3.8676300048828125,4,60
76,jordan-mason,3.5343292236328123,2,84
77,dontrell-hilliard,3.4154075622558593,4,57
78,raheem-blackshear,3.320363235473633,4,78
79,mike-boone,3.251963424682617,4,90
80,ty-johnson,3.2091648101806642,4,79
81,dare-ogunbowale,3.151992416381836,4,72
82,travis-homer,3.148335838317871,4,77
83,hassan-haskins,3.103158187866211,4,93
84,jamycal-hasty,2.7213048934936523,4,61
85,sony-michel,2.450450897216797,4,94
86,deejay-dallas,2.4048891067504883,4,73
87,gary-brightwell,2.370081329345703,4,88
88,craig-reynolds,2.2821090698242186,4,86
89,brandon-bolden,2.229608917236328,4,89
90,marlon-mack,1.8902185440063477,4,82
91,jonathan-williams,1.8525287628173828,4,92
92,pierre-strong-jr,1.7945581436157227,4,91
93,avery-williams-cb,1.668220329284668,4,85
94,malcolm-brown,-0.9848058700561524,4,95
