,name,proj fpts,class,2022 rank
0,travis-kelce,13.372867293820615,0,1
1,mark-andrews,11.057042556060024,0,4
2,evan-engram,10.824027929797891,0,5
3,tj-hockenson,10.692110218023172,0,2
4,george-kittle,10.446134644009218,0,3
5,david-njoku,9.335208560654833,1,11
6,dallas-goedert,9.013719248288252,1,12
7,cole-kmet,8.608986024725281,2,8
8,pat-freiermuth,8.580878562472817,1,7
9,tyler-higbee,8.560621746371423,1,6
10,zach-ertz,8.484455551441398,1,19
11,dalton-schultz,8.329932740142793,1,10
12,greg-dulcich,7.939977205586073,1,29
13,tyler-conklin,7.862537100754848,1,16
14,darren-waller,7.7784614545465285,1,31
15,juwan-johnson,7.659219914315299,2,15
16,kyle-pitts,7.555395404578517,1,33
17,dawson-knox,7.518247132563031,1,14
18,gerald-everett,7.4855328263736265,1,13
19,chigoziem-okonkwo,7.239388490323405,2,25
20,taysom-hill,7.172597586700528,3,9
21,jordan-akins,7.116022523640678,2,18
22,isaiah-likely,6.899186109956302,1,27
23,robert-tonyan,6.73091334884168,1,20
24,hayden-hurst,6.718271292838692,1,21
25,jelani-woods,6.699226524818711,2,35
26,hunter-henry,6.644311307154124,2,22
27,foster-moreau,6.539603611864832,2,30
28,noah-fant,6.382680565074834,2,17
29,austin-hooper,6.117466149361986,2,24
30,cade-otton,6.071605713915799,1,26
31,mike-gesicki,5.927264981651787,2,23
32,logan-thomas,5.718257986195324,1,32
33,colby-parkinson,5.49639728833594,2,37
34,harrison-bryant,5.258688454908109,4,39
35,will-dissly,5.208138727384535,4,28
36,irv-smith-jr,5.158683615714635,4,43
37,trey-mcbride,4.936945851927105,4,40
38,daniel-bellinger,4.8421855373167215,4,34
39,cj-uzomah,4.7636691089704595,2,42
40,brock-wright,4.618604859302861,2,38
41,mycole-pruitt,4.616146059145619,4,44
42,kylen-granson,4.612104870272146,4,41
43,jonnu-smith,4.497937657285645,4,47
44,mo-alie-cox,4.334437186470053,4,45
45,jake-ferguson,4.2050187122124765,4,48
46,shane-zylstra,4.188499434131286,4,50
47,adam-trautman,3.9223901514957036,4,49
48,noah-gray,3.7115140328502734,4,36
49,tommy-tremble,3.689461730741583,4,46
