,name,proj fpts,class
0,travis-kelce,13.45143255618176,0
3,mark-andrews,11.26298828043021,0
1,tj-hockenson,10.940088438579583,0
4,evan-engram,10.90184105876742,0
8,taysom-hill,10.658383662068328,2
2,george-kittle,10.608894577561532,0
11,dallas-goedert,9.002347920225919,1
10,david-njoku,8.973614945627478,1
7,cole-kmet,8.762934870919484,1
5,tyler-higbee,8.72189064351257,1
18,zach-ertz,8.712309528967143,1
6,pat-freiermuth,8.691379303794864,1
9,dalton-schultz,8.465437780518716,1
28,greg-dulcich,8.084511957014744,1
15,tyler-conklin,8.02314376103428,1
30,darren-waller,7.938516437471311,1
14,juwan-johnson,7.907867822344247,1
13,dawson-knox,7.682779491471525,1
32,kyle-pitts,7.673515159407646,1
12,gerald-everett,7.625948190181223,1
26,isaiah-likely,7.086295620659218,1
17,jordan-akins,6.990099463673904,3
20,hayden-hurst,6.918722001120575,1
19,robert-tonyan,6.868639933706763,1
24,chigoziem-okonkwo,6.855758743595917,3
16,noah-fant,6.685090177491066,1
34,jelani-woods,6.521441161764788,3
21,hunter-henry,6.46770096894932,3
29,foster-moreau,6.328496245787566,3
25,cade-otton,6.296456316892279,1
22,mike-gesicki,5.798490674905597,3
23,austin-hooper,5.688063330211865,4
36,colby-parkinson,5.350785062917613,3
31,logan-thomas,5.268084687463503,4
38,harrison-bryant,5.136431690600521,4
42,irv-smith-jr,5.101580450430479,4
27,will-dissly,5.054638275418629,4
39,trey-mcbride,4.928935479795047,4
33,daniel-bellinger,4.756798920657676,4
41,cj-uzomah,4.708392867411209,3
46,jonnu-smith,4.665123254574841,3
43,mycole-pruitt,4.637467628722593,4
37,brock-wright,4.527000987589236,3
40,kylen-granson,4.4946682519766945,4
44,mo-alie-cox,4.296269865105348,4
49,shane-zylstra,4.241719718237054,4
47,jake-ferguson,4.1629034611560805,4
48,adam-trautman,3.815949786866387,4
45,tommy-tremble,3.660566033189543,4
35,noah-gray,3.5731227033198287,4
