,name,proj fpts,class,2022 rank
0,travis-kelce,15.569894409179687,0,1
1,george-kittle,12.252117919921876,0,3
2,david-njoku,11.529376220703124,1,11
3,mark-andrews,11.43496322631836,0,4
4,evan-engram,11.407150268554688,0,5
5,tj-hockenson,10.987767028808594,0,2
6,dallas-goedert,10.54085464477539,1,12
7,cole-kmet,9.858352661132812,2,8
8,chigoziem-okonkwo,9.516769409179688,2,25
9,pat-freiermuth,9.10284423828125,1,7
10,juwan-johnson,9.063031005859376,2,15
11,dalton-schultz,8.829879760742188,1,10
12,greg-dulcich,8.717208099365234,1,29
13,darren-waller,8.684797668457032,1,31
14,kyle-pitts,8.609197235107422,1,33
15,jelani-woods,8.138092803955079,2,35
16,zach-ertz,8.125896453857422,1,19
17,tyler-higbee,8.115222930908203,1,6
18,foster-moreau,8.04876708984375,2,30
19,dawson-knox,7.785942077636719,1,14
20,tyler-conklin,7.75366439819336,1,16
21,jordan-akins,7.740749359130859,2,18
22,gerald-everett,7.684268951416016,1,13
23,hunter-henry,7.1214653015136715,2,22
24,isaiah-likely,6.97717056274414,1,27
25,daniel-bellinger,6.923300933837891,4,34
26,austin-hooper,6.628031158447266,2,24
27,robert-tonyan,6.571527099609375,1,20
28,noah-fant,6.481901550292969,2,17
29,mike-gesicki,6.4782554626464846,2,23
30,colby-parkinson,6.322777557373047,2,37
31,hayden-hurst,6.2937477111816404,1,21
32,will-dissly,5.945746612548828,4,28
33,cade-otton,5.7497203826904295,1,26
34,brock-wright,5.53968391418457,2,38
35,noah-gray,5.4060615539550785,4,36
36,cj-uzomah,5.184540557861328,2,42
37,irv-smith-jr,5.180830383300782,4,43
38,harrison-bryant,4.971273803710938,4,39
39,logan-thomas,4.601288604736328,1,32
40,kylen-granson,4.350101089477539,4,41
41,jake-ferguson,4.310091781616211,4,48
42,adam-trautman,4.277997970581055,4,49
43,mycole-pruitt,4.123193359375,4,44
44,trey-mcbride,4.086415100097656,4,40
45,mo-alie-cox,3.8631004333496093,4,45
46,shane-zylstra,3.76977653503418,4,50
47,tommy-tremble,3.602769470214844,4,46
48,jonnu-smith,3.541209030151367,4,47
49,taysom-hill,-17.80779113769531,3,9
