,name,proj fpts,class,2022 rank
0,justin-jefferson,20.192737243516657,0,1
1,cooper-kupp,17.558308015158655,1,23
2,jamarr-chase,17.521250517161487,0,11
3,davante-adams,17.51461572762531,0,3
4,tyreek-hill,17.454075902952606,0,2
5,aj-brown,17.33744743975394,0,6
6,stefon-diggs,17.2109977627729,0,4
7,amonra-stbrown,16.73500109404011,1,7
8,ceedee-lamb,16.321963969547237,0,5
9,jaylen-waddle,15.770574358617008,0,8
10,garrett-wilson,14.923919443358567,0,21
11,devonta-smith,14.87410704362777,0,9
12,mike-evans,14.23883748448203,0,17
13,keenan-allen,14.119129315361587,2,42
14,jerry-jeudy,14.112979893229618,0,22
15,chris-olave,14.102913485449033,2,25
16,tee-higgins,13.97551506615147,0,18
17,deandre-hopkins,13.776445857041306,2,47
18,rondale-moore,13.49214560610076,4,80
19,christian-kirk,13.450557116050089,0,12
20,brandon-aiyuk,13.31310244557329,0,15
21,michael-pittman,13.064619029644685,2,20
22,amari-cooper,12.878212697456643,0,10
23,marquise-brown,12.869611168313408,2,44
24,dk-metcalf,12.80979464370979,2,16
25,mike-williams-wr,12.555136208363717,0,32
26,tyler-lockett,12.254825410694803,2,13
27,drake-london,12.170582546899364,2,31
28,zay-jones,11.94024388863853,2,26
29,chris-godwin,11.85216469419063,2,19
30,terry-mclaurin,11.54243890092965,0,14
31,jakobi-meyers,11.160742081734877,2,29
32,dj-moore-wr,10.930704576759577,0,24
33,josh-palmer,10.889942038843824,2,37
34,juju-smith-schuster,10.750214319273962,2,27
35,christian-watson,10.708114408436995,1,41
36,jahan-dotson,10.28513431298715,3,51
37,isaiah-hodgins,9.860254725322147,2,73
38,gabriel-davis,9.573257878921407,3,36
39,darius-slayton,9.354727323816387,3,52
40,courtland-sutton,9.309711180585776,2,43
41,donovan-peoples-jones,9.172399843167351,2,39
42,parris-campbell,9.036054299026187,4,48
43,russell-gage,8.932697215809153,2,53
44,nico-collins,8.844490949774961,3,76
45,treylon-burks,8.827913512982658,4,79
46,brandin-cooks,8.822858501451034,2,49
47,allen-lazard,8.788443260634661,2,35
48,darnell-mooney,8.596434788042625,3,72
49,greg-dortch,8.519330520091255,4,62
50,kj-osborn,8.096751241662002,4,45
51,romeo-doubs,7.956967516033171,4,71
52,josh-reynolds,7.7650210261538435,2,68
53,diontae-johnson,7.321081983268013,2,28
54,george-pickens,7.240788423043296,3,40
55,dj-chark,7.125246705672862,3,74
56,alec-pierce,7.060517121641252,3,64
57,richie-james,6.859511669252993,2,50
58,mack-hollins,6.765601273376899,2,46
59,deebo-samuel,6.6041524724357545,1,38
60,tyler-boyd,6.59306979846225,3,34
61,noah-brown,6.550179201927958,2,61
62,adam-thielen,6.383990094800605,2,30
63,corey-davis,6.252004961615651,3,75
64,demarcus-robinson,6.112562395250219,2,69
65,hunter-renfrow,5.979735926007162,4,89
66,michael-gallup,5.9591333206076165,2,66
67,terrace-marshall,5.875776210651335,3,85
68,olamide-zaccheaus,5.674535138135564,4,65
69,marquez-valdesscantling,5.392966745851847,3,54
70,elijah-moore,5.094390954588132,4,78
71,allen-robinson,4.9249503070777045,2,81
72,ben-skowronek,4.840045245671316,4,83
73,devante-parker,4.83052666235066,3,70
74,chris-moore,4.827339118971306,4,60
75,devin-duvernay,4.6555023640847075,1,58
76,curtis-samuel,4.618773708494626,1,33
77,deandre-carter,4.505018106970692,4,63
78,robert-woods,4.374643079167438,2,59
79,kendrick-bourne,4.324770070580396,4,77
80,marvin-jones,4.170808095341538,2,56
81,nick-westbrook,3.9722446210683664,3,86
82,tyquan-thornton,3.7879289201987483,4,91
83,quez-watkins,3.734918283532732,4,82
84,jauan-jennings,3.453495061861542,4,87
85,chase-claypool,3.3229773499699,4,67
86,kalif-raymond,3.242631660335828,4,57
87,randall-cobb,3.185380743990219,4,88
88,nelson-agholor,3.048127426379505,4,90
89,isaiah-mckenzie,2.4037556727783276,4,55
90,trent-sherfield,2.2499838172488147,3,84
