,name,proj fpts,class
0,justin-jefferson,19.558247292047373,0
2,davante-adams,18.053393201376057,0
10,jamarr-chase,17.975290835399623,0
5,aj-brown,17.82575712723447,0
22,cooper-kupp,17.546609599515694,1
3,stefon-diggs,17.533718540958436,0
6,amonra-stbrown,17.167224676701057,1
1,tyreek-hill,17.083201495262717,0
4,ceedee-lamb,16.800081568314827,0
7,jaylen-waddle,15.635497689285845,0
20,garrett-wilson,15.19622775447353,0
8,devonta-smith,15.122111252555516,0
21,jerry-jeudy,14.451407403164627,0
24,chris-olave,14.269585453781463,2
16,mike-evans,14.237264511873537,0
41,keenan-allen,14.05766299372242,2
11,christian-kirk,13.997082756764218,0
14,brandon-aiyuk,13.867638270557851,0
17,tee-higgins,13.813227061467206,0
9,amari-cooper,13.213328445564844,0
79,rondale-moore,13.212776722048392,4
19,michael-pittman,13.175871077542585,2
46,deandre-hopkins,13.169120676809118,2
15,dk-metcalf,12.858325780662316,2
43,marquise-brown,12.541521399148667,2
30,drake-london,12.445031847457148,2
12,tyler-lockett,12.424773879034863,2
18,chris-godwin,12.301469240491418,2
31,mike-williams-wr,12.110473550726827,0
25,zay-jones,12.04885290220361,2
13,terry-mclaurin,11.853643077778148,0
28,jakobi-meyers,11.480189899626655,2
40,christian-watson,11.273956405308514,1
23,dj-moore-wr,11.216333507116762,0
36,josh-palmer,10.686688090479723,2
50,jahan-dotson,10.659270040318905,3
26,juju-smith-schuster,10.29752654663486,2
72,isaiah-hodgins,10.087460382090075,2
35,gabriel-davis,9.458982534637887,3
34,allen-lazard,9.408955221785053,2
48,brandin-cooks,9.35342562593333,2
51,darius-slayton,9.29936644622396,3
38,donovan-peoples-jones,9.12821422841417,2
75,nico-collins,9.128093735746862,3
42,courtland-sutton,9.121203426018372,2
52,russell-gage,8.96786681024955,2
71,darnell-mooney,8.898147687125121,2
47,parris-campbell,8.811981199810933,4
44,kj-osborn,8.55126592300346,2
78,treylon-burks,8.37340734440389,4
70,romeo-doubs,8.104272048437185,4
61,greg-dortch,7.991213589349275,4
37,deebo-samuel,7.427259792144913,1
67,josh-reynolds,7.341638383153555,2
27,diontae-johnson,7.288736220807639,2
63,alec-pierce,6.997882972223909,3
49,richie-james,6.994481193370479,2
73,dj-chark,6.970064879663585,3
39,george-pickens,6.7327717186803575,3
88,hunter-renfrow,6.63016513369708,2
29,adam-thielen,6.615468594276624,2
33,tyler-boyd,6.494820575624264,3
60,noah-brown,6.392944508870219,3
65,michael-gallup,6.266538644167671,3
45,mack-hollins,6.062039071236914,4
74,corey-davis,5.914096545514813,3
64,olamide-zaccheaus,5.834865951764105,4
68,demarcus-robinson,5.760027420866098,2
84,terrace-marshall,5.708113386127014,3
53,marquez-valdesscantling,5.296761835503862,3
80,allen-robinson,5.160777902288775,3
59,chris-moore,5.039965853901382,3
32,curtis-samuel,4.920292677643776,1
77,elijah-moore,4.887576095071157,4
62,deandre-carter,4.803685643633276,4
58,robert-woods,4.757265884978569,2
69,devante-parker,4.543003138050853,3
81,quez-watkins,4.451148538066807,4
85,nick-westbrook,4.380133949124488,3
82,ben-skowronek,4.333614749399022,4
57,devin-duvernay,4.181849118029579,4
90,tyquan-thornton,4.049538211146615,4
55,marvin-jones,3.8683181846602714,3
76,kendrick-bourne,3.818072212999997,4
86,jauan-jennings,3.633708273838952,3
66,chase-claypool,3.6161014492135486,4
56,kalif-raymond,3.232913340582005,4
87,randall-cobb,3.164763895909065,3
89,nelson-agholor,3.1325424806006943,3
54,isaiah-mckenzie,2.2564746519588006,4
83,trent-sherfield,2.197924441589567,3
