,name,proj fpts,class,2022 rank
0,justin-jefferson,19.346101379394533,0,1
1,aj-brown,17.738140869140626,0,6
2,jamarr-chase,17.43011474609375,0,11
3,jaylen-waddle,17.36951446533203,0,8
4,ceedee-lamb,17.22716369628906,0,5
5,amonra-stbrown,16.982508850097656,1,7
6,tyreek-hill,16.939596557617186,0,2
7,stefon-diggs,16.905380249023438,0,4
8,davante-adams,16.40333709716797,0,3
9,cooper-kupp,15.794418334960938,1,23
10,garrett-wilson,15.314373779296876,0,21
11,jerry-jeudy,14.846420288085938,0,22
12,chris-olave,14.826048278808594,0,25
13,devonta-smith,14.677183532714844,0,9
14,keenan-allen,14.50397186279297,0,42
15,deandre-hopkins,14.17853240966797,0,47
16,rondale-moore,14.137068176269532,2,80
17,tee-higgins,14.118704223632813,0,18
18,brandon-aiyuk,14.110865783691406,0,15
19,michael-pittman,14.0172119140625,0,20
20,mike-evans,14.0091796875,0,17
21,christian-kirk,13.81591796875,0,12
22,marquise-brown,13.574046325683593,0,44
23,terry-mclaurin,13.46728515625,0,14
24,mike-williams-wr,13.032273864746093,0,32
25,amari-cooper,12.808023071289062,0,10
26,dk-metcalf,12.72872543334961,0,16
27,tyler-lockett,12.574126434326171,0,13
28,chris-godwin,12.554806518554688,2,19
29,drake-london,12.490821075439452,0,31
30,zay-jones,12.245106506347657,0,26
31,jakobi-meyers,12.12847442626953,0,29
32,juju-smith-schuster,11.528776550292969,2,27
33,dj-moore-wr,11.055682373046874,0,24
34,josh-palmer,10.897292327880859,2,37
35,christian-watson,10.457123565673829,1,41
36,darius-slayton,10.3796142578125,4,52
37,jahan-dotson,10.121472930908203,4,51
38,isaiah-hodgins,10.031926727294922,2,73
39,treylon-burks,9.850511169433593,3,79
40,parris-campbell,9.676838684082032,3,48
41,russell-gage,9.146144104003906,2,53
42,nico-collins,8.808197021484375,4,76
43,greg-dortch,8.712064361572265,2,62
44,allen-lazard,8.687193298339844,4,35
45,romeo-doubs,8.662944793701172,2,71
46,brandin-cooks,8.648760223388672,4,49
47,gabriel-davis,8.634039306640625,4,36
48,donovan-peoples-jones,8.597758483886718,4,39
49,kj-osborn,8.5509033203125,2,45
50,courtland-sutton,8.426012420654297,4,43
51,darnell-mooney,8.266046142578125,4,72
52,josh-reynolds,7.928053283691407,2,68
53,diontae-johnson,7.4243919372558596,3,28
54,mack-hollins,7.251084899902343,3,46
55,richie-james,6.959462738037109,2,50
56,george-pickens,6.796326446533203,4,40
57,dj-chark,6.674930572509766,4,74
58,olamide-zaccheaus,6.577729797363281,3,65
59,tyler-boyd,6.488892364501953,4,34
60,hunter-renfrow,6.4824974060058596,2,89
61,corey-davis,6.426658630371094,4,75
62,terrace-marshall,6.34302978515625,4,85
63,curtis-samuel,6.342935180664062,1,33
64,demarcus-robinson,6.283668518066406,2,69
65,alec-pierce,6.218964385986328,4,64
66,chris-moore,6.181108856201172,2,60
67,adam-thielen,6.122876358032227,2,30
68,noah-brown,5.698171997070313,4,61
69,deandre-carter,5.635335159301758,2,63
70,deebo-samuel,5.561907958984375,1,38
71,michael-gallup,5.465630722045899,2,66
72,elijah-moore,5.38121337890625,3,78
73,kendrick-bourne,5.316127014160156,3,77
74,devin-duvernay,5.0364845275878904,3,58
75,marquez-valdesscantling,4.928564834594726,4,54
76,chase-claypool,4.642615127563476,3,67
77,jauan-jennings,4.306770324707031,2,87
78,robert-woods,4.1801910400390625,2,59
79,ben-skowronek,4.168441390991211,3,83
80,randall-cobb,4.046430969238282,2,88
81,kalif-raymond,4.039081573486328,3,57
82,allen-robinson,3.7793445587158203,2,81
83,devante-parker,3.584471893310547,4,70
84,quez-watkins,3.424436569213867,2,82
85,tyquan-thornton,3.1374528884887694,3,91
86,nelson-agholor,3.115325927734375,2,90
87,nick-westbrook,2.710451126098633,4,86
88,marvin-jones,2.699850654602051,4,56
89,isaiah-mckenzie,2.2958938598632814,3,55
90,trent-sherfield,1.98492431640625,4,84
