name,age,years_played,games_played,avg_rec,std_rec,avg_tgt,std_tgt,avg_yds,std_yds,avg_ypr,std_ypr,avg_lg,std_lg,avg_TD,std_TD,avg_rush,std_rush,avg_ryds,std_ryds,avg_rypa,std_rypa,avg_rlg,std_rlg,avg_rTD,std_rTD,TM TGT %,ADP
alvin-kamara,21,0,16,5.0625,1.8529958850466992,6.25,2.0463381929681126,51.625,26.874418598362272,10.1,4.622634530221917,23.5,10.21028892833107,0.3125,0.4635124054434789,7.5,3.605551275463989,45.5,28.0111584908586,6.543749999999999,4.706905664818448,18.5625,15.866508555759834,0.5,0.6123724356957945,18.7,7.0
kareem-hunt,21,0,16,3.3125,1.6476782908080083,3.9375,2.075715238176952,28.4375,27.235015949141648,7.68125,5.043587357972498,16.25,17.816775802596833,0.1875,0.5266343608235224,17.0,7.681145747868608,82.9375,46.997963719186814,6.625,7.651021173673486,26.6875,17.964265744805715,0.5,0.6123724356957945,11.6,11.0
mark-ingram,27,6,16,3.625,1.653594569415369,4.4375,1.9675095298371488,26.0,19.72308292331602,6.5375,4.399271956812854,13.875,12.262111359794446,0.0,0.0,14.375,4.871793817476269,70.25,34.558826658322765,4.9125,2.257176056491828,26.375,17.84613053297549,0.75,0.9013878188659972,13.2,60.0
lesean-mccoy,29,6,16,3.6875,2.1423920626253263,4.8125,2.530285309999645,28.0,19.5,7.043749999999999,4.227139805767015,13.5,9.320675941153624,0.125,0.3307189138830738,17.9375,6.199483345408712,71.125,44.4112527970108,3.86875,2.123593284388515,19.5625,12.010249529048096,0.375,0.5994789404140899,16.2,24.0
carlos-hyde,26,2,16,3.6875,2.228192933746986,5.5,3.3166247903554,21.875,19.41930418423894,5.300000000000001,2.307325291327601,8.0625,3.799156978857283,0.0,0.0,15.0,4.0,58.625,29.60547880038423,3.9125,1.8299163232235516,18.1875,12.914230280973,0.5,0.7905694150420949,14.5,75.0
leonard-fournette,22,0,13,2.769230769230769,0.890448992522325,3.692307692307693,1.3234346564680963,23.23076923076923,18.15384615384616,7.607692307692307,4.028258172625663,11.846153846153848,6.689212369941435,0.0769230769230769,0.2664693550105965,20.615384615384617,4.923076923076923,80.0,42.50610815834862,3.684615384615385,1.3178339768470628,24.23076923076923,25.83424634131348,0.6923076923076923,0.6056929133855239,9.1,12.0
christian-mccaffrey,21,0,16,5.0,2.1505813167606567,7.0625,2.4866832830097203,40.6875,20.367617527585303,8.54375,3.056952884409572,17.6875,6.658816993280413,0.3125,0.4635124054434789,7.3125,3.348857081154704,27.1875,21.083817105780444,3.4375,1.9205712040952816,10.3125,8.751562360515978,0.125,0.3307189138830738,22.6,16.0
ezekiel-elliott,21,1,10,2.6,1.624807680927192,3.8,1.939071942966532,26.9,21.7,13.89,19.961184834573324,20.7,19.804292464008903,0.2,0.4000000000000001,24.2,6.04648658313239,98.3,37.56075079121822,3.82,1.1435033887138246,17.0,8.148619514985345,0.7,0.7810249675906655,7.7,4.0
devonta-freeman,25,2,14,2.571428571428572,2.2269224668742718,3.357142857142857,2.7414058660564984,22.642857142857142,23.86451981755445,7.55,5.279847129821631,12.214285714285714,8.520383722316161,0.0714285714285714,0.2575393768188564,14.0,5.769377287516763,61.785714285714285,32.35115050157429,4.25,1.630403105282337,16.785714285714285,10.671581563255955,0.5,0.6267831705280087,8.9,20.0
jordan-howard,22,1,16,1.4375,1.539835624344365,2.0,1.9039432764659767,7.8125,9.342234408855305,3.2,3.7871493236998193,4.6875,5.120043334777549,0.0,0.0,17.25,7.206767652699787,70.125,49.8696739010794,3.66875,1.996158419940662,20.4375,15.76375887122104,0.5625,0.7880950133074057,6.8,26.0
