name,age,years_played,games_played,avg_rec,std_rec,avg_tgt,std_tgt,avg_yds,std_yds,avg_ypr,std_ypr,avg_lg,std_lg,avg_TD,std_TD,avg_rush,std_rush,avg_ryds,std_ryds,avg_rypa,std_rypa,avg_rlg,std_rlg,avg_rTD,std_rTD,TM TGT %,class
travis-kelce,27,4,15,5.533333333333333,2.0612833111653743,8.133333333333333,3.2221455929585523,69.2,36.35051581477215,11.819999999999999,5.042909213274946,23.8,10.48300211453443,0.5333333333333333,0.618241233033047,0.13333333333333333,0.3399346342395189,0.4666666666666667,1.203698005684519,0.4666666666666667,1.203698005684519,0.4666666666666667,1.203698005684519,0.0,0.0,22.5,0
rob-gronkowski,28,5,14,4.928571428571429,2.4918233632160582,7.5,3.2237954561133595,77.42857142857143,42.731243647634095,14.621428571428572,4.940962684022007,25.785714285714285,12.289243679091145,0.5714285714285714,0.7284313590846836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.9,1
zach-ertz,26,4,14,5.285714285714286,2.6302789485031384,7.857142857142857,3.377597262153397,58.857142857142854,31.384384522190885,11.157142857142857,4.052638344464061,22.571428571428573,13.216409095807947,0.5714285714285714,0.6226998490772392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.5,1
delanie-walker,32,8,16,4.625,1.3169567191065923,6.9375,2.0757152381769517,50.4375,21.263139320194465,10.881250000000001,3.683445864608302,19.25,9.19578707887476,0.1875,0.3903123748998999,0.125,0.33071891388307384,-0.125,0.7806247497997998,-0.125,0.7806247497997998,-0.125,0.7806247497997998,0.0625,0.24206145913796356,22.4,2
evan-engram,22,0,15,4.266666666666667,2.2050447211388304,7.666666666666667,2.8674417556808756,48.13333333333333,28.83716737514665,10.48,4.282086718723322,19.8,9.558242516278815,0.4,0.48989794855663565,0.06666666666666667,0.24944382578492943,0.9333333333333333,3.492213560989012,0.9333333333333333,3.492213560989012,0.9333333333333333,3.492213560989012,0.0,0.0,18.9,0
jimmy-graham,30,6,16,3.5625,2.1203994317109216,6.0,2.979093821953246,32.5,23.71971753626084,7.74375,5.4729983498535795,13.75,10.726718976462466,0.625,0.6959705453537527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.1,1
jack-doyle,27,3,15,5.333333333333333,2.8205594401741574,7.2,2.925747767665559,46.0,31.34326083865557,8.386666666666667,4.153531295442738,12.666666666666666,5.65292451352002,0.26666666666666666,0.44221663871405337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.2,1
kyle-rudolph,27,6,16,3.5625,1.6944302139657448,5.0625,2.4101024355823553,33.25,17.693572279220497,9.125,3.8717728497420922,15.75,8.474225628339147,0.5,0.6123724356957945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.4,1
jason-witten,35,11,16,3.9375,2.946793808531571,5.4375,3.3721052400540525,35.0,26.16295090390226,9.01875,3.7074618592104223,12.9375,6.542827657060822,0.3125,0.46351240544347894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.6,1
cameron-brate,26,3,16,3.0,1.7320508075688772,4.8125,2.2698774746668597,36.9375,25.33887514768562,11.8125,4.076590947102738,15.75,7.5291101731877985,0.375,0.5994789404140899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.7,1
