name,age,years_played,games_played,avg_rec,std_rec,avg_tgt,std_tgt,avg_yds,std_yds,avg_ypr,std_ypr,avg_lg,std_lg,avg_TD,std_TD,avg_rush,std_rush,avg_ryds,std_ryds,avg_rypa,std_rypa,avg_rlg,std_rlg,avg_rTD,std_rTD,TM TGT %,ADP,CUSHAverage Cushion (CUSH),SEPAverage Separation (SEP),TAYAverage Targeted Air Yards (TAY),TAY%% Share of Team's Air Yards (TAY%),YAC/RYAC/Reception (YAC/R),xYAC/RExpected YAC/Reception (EYAC/R),+/-Avg .YAC Above Expectation,class
antonio-brown,29,6,14,7.214285714285714,3.120864610707639,11.642857142857142,4.081441322046186,109.5,58.43891805002162,14.628571428571428,3.0053353916537384,34.857142857142854,13.184715950443437,0.6428571428571429,0.8949974347244049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.6,5.0,4.3,2.6,13.7,41.89,5.1,4.0,1.1,0
deandre-hopkins,25,4,15,6.4,2.3607908279501033,11.6,3.5175749222061117,91.86666666666666,46.59880780544594,14.48666666666667,5.07160285861931,31.2,14.019985734657507,0.8666666666666667,0.8055363982396381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.1,9.0,4.6,2.1,13.6,43.87,3.7,3.6,0.0,0
keenan-allen,25,4,16,6.375,2.7357585785299112,9.9375,2.536452985962878,87.0625,43.096503265926344,13.8,4.555079582180755,25.8125,11.806876968529824,0.375,0.5994789404140899,0.125,0.33071891388307384,0.5625,1.5799030824705673,0.5625,1.5799030824705673,0.5625,1.5799030824705673,0.0,0.0,27.3,15.0,5.5,2.7,9.5,31.63,5.3,5.0,0.3,0
larry-fitzgerald,33,11,16,6.8125,2.983679565570003,10.0625,3.2876425824593523,72.25,40.7177786722213,10.05625,2.696054698536363,21.375,6.9988838395847095,0.375,0.4841229182759271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.9,30.0,6.0,2.6,8.2,22.78,4.1,4.1,0.0,0
jarvis-landry,24,3,16,7.0,2.179449471770337,10.0625,2.560975156068485,61.6875,22.582401195399925,9.0,2.8155816450602176,19.25,9.443913383762052,0.5625,0.6091746465505602,0.0625,0.24206145913796356,-0.4375,1.6944302139657448,-0.4375,1.6944302139657448,-0.4375,1.6944302139657448,0.0,0.0,26.7,40.0,5.7,3.2,6.1,20.7,4.8,4.2,0.5,0
michael-thomas-wr,24,0,16,6.5,1.9039432764659772,9.3125,2.171369095755026,77.8125,25.81476987598379,11.975,3.3866465714626908,25.5625,8.440740118615192,0.3125,0.46351240544347894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.8,17.0,5.7,2.6,9.3,41.29,4.6,4.1,0.5,0
julio-jones,28,6,16,5.5,2.4238399287081647,9.25,3.031088913245535,90.25,51.99819708412976,16.262500000000003,4.599167723621308,29.3125,11.9776810673018,0.1875,0.5266343608235224,0.0625,0.24206145913796356,0.9375,3.6309218870694533,0.9375,3.6309218870694533,0.9375,3.6309218870694533,0.0,0.0,27.9,8.0,5.4,2.4,14.4,46.0,5.9,4.4,1.5,0
adam-thielen,26,3,16,5.6875,1.9273929931386593,8.875,2.5708704751503917,79.75,42.5697956302353,13.6125,4.644603723677619,29.6875,15.340790193141942,0.25,0.4330127018922193,0.0625,0.24206145913796356,0.6875,2.6626760505175993,0.6875,2.6626760505175993,0.6875,2.6626760505175993,0.0,0.0,27.1,34.0,5.7,2.7,10.8,38.39,5.0,4.4,0.5,0
tyreek-hill,23,1,15,5.0,1.5491933384829668,7.0,1.591644851508443,78.86666666666666,41.72747562724376,16.586666666666666,7.580225736890836,41.06666666666667,22.5668389949107,0.4666666666666667,0.6182412330330469,1.1333333333333333,1.203698005684519,3.933333333333333,6.50606554600312,2.0733333333333333,5.125422475811683,4.0,6.733003292241386,0.0,0.0,19.3,31.0,7.2,3.5,11.5,29.58,6.4,6.1,0.3,1
marvin-jones,27,4,16,3.8125,1.8445443204217133,6.6875,3.21556274235164,68.8125,32.319148252235856,19.16875,5.2601947147895585,34.25,13.012013679673105,0.5625,0.7043392293490403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.8,55.0,4.3,2.2,15.3,35.8,3.9,2.7,1.2,0
golden-tate,28,5,16,5.75,2.1360009363293826,7.5,2.29128784747792,62.6875,35.05124596572852,10.325,3.8194404040382666,24.625,15.881888269346312,0.3125,0.46351240544347894,0.3125,0.6817945071647321,1.375,3.461845606031557,0.75,1.758905909933786,1.125,2.7357585785299112,0.0,0.0,21.1,45.0,5.9,2.8,5.7,15.02,7.0,5.5,1.5,2
doug-baldwin,28,2,16,4.6875,2.39057393736316,7.25,3.400367627183861,61.9375,30.556236577006665,13.8,5.628609952732557,28.5,12.36931687685298,0.5,0.6123724356957945,0.125,0.33071891388307384,-0.5,1.3693063937629153,-0.5,1.3693063937629153,-0.5,1.3693063937629153,0.0,0.0,20.9,39.0,5.7,2.8,12.5,26.82,3.7,3.3,0.4,0
davante-adams,24,3,14,5.285714285714286,2.343031352408104,8.357142857142858,2.4959150299508783,63.214285714285715,30.270633037480334,12.064285714285715,4.284291430473012,23.928571428571427,14.215003571248664,0.7142857142857143,0.6998542122237652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.8,21.0,5.6,2.8,9.4,27.93,5.0,4.2,0.8,0
brandin-cooks,23,3,16,4.0625,1.6381678027601445,7.125,2.1758618981911515,67.625,36.93215908933568,17.400000000000002,8.155519603311612,32.625,14.88655013762423,0.4375,0.6091746465505602,0.5625,0.8637671850678283,2.5,3.517811819867572,1.98125,3.0769747216218724,3.1875,4.6666201634587745,0.0,0.0,19.4,47.0,5.2,2.7,15.1,32.86,3.9,4.4,-0.4,1
mike-evans,23,3,15,4.733333333333333,1.8427033281447005,9.066666666666666,2.2939534045447005,66.73333333333333,26.76183019816761,14.693333333333335,5.205313524552472,22.866666666666667,9.229421554042387,0.3333333333333333,0.47140452079103173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,23.0,5.3,2.1,14.2,31.78,2.1,2.3,-0.2,3
robby-anderson,24,1,16,3.9375,1.71277370075559,7.125,2.8034576865007255,58.8125,38.51333981557559,14.193749999999998,7.406877610538735,26.3125,17.017339502695478,0.4375,0.6091746465505602,0.1875,0.3903123748998999,0.5625,1.6944302139657448,0.5625,1.6944302139657448,0.5625,1.6944302139657448,0.0,0.0,22.4,83.0,6.4,3.4,12.8,38.89,5.1,5.0,0.1,4
stefon-diggs,23,2,14,4.571428571428571,1.8789923482808435,6.785714285714286,1.8585159758939553,60.642857142857146,40.952249446079,12.5,5.142400773402023,25.857142857142858,14.778638748724667,0.5714285714285714,0.7284313590846836,0.5714285714285714,0.4948716593053935,0.9285714285714286,4.382828273326413,0.9285714285714286,4.382828273326413,0.9285714285714286,4.382828273326413,0.0,0.0,18.0,32.0,6.6,2.8,11.5,27.38,4.8,3.6,1.2,2
alshon-jeffery,27,3,16,3.5625,1.7309228030157786,7.5,3.0618621784789726,49.3125,24.149841484987018,13.39375,6.2391374353751825,21.1875,11.727205283016069,0.5625,0.6091746465505602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.3,88.0,5.1,1.8,14.5,33.07,3.9,2.9,1.0,3
devin-funchess,23,-1,16,3.9375,1.818954026356906,6.9375,2.3840288903450815,52.5,27.93519285775561,13.70625,5.402021467700772,22.1875,9.61261378346181,0.5,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.2,77.0,6.6,2.5,12.9,34.74,4.8,4.3,0.5,4
juju-smith-schuster,20,0,14,4.142857142857143,2.231499907401901,5.642857142857143,2.6620921647977465,65.5,52.13820918618952,13.97857142857143,7.021007108408774,32.142857142857146,25.67059780832411,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.4,51.0,6.1,2.7,9.5,14.14,7.2,5.0,2.2,4
nelson-agholor,24,2,16,3.875,2.057759704144291,5.9375,2.7719296076920856,48.0,35.249113464029136,11.5875,6.217704057769235,24.5625,19.814668651027198,0.5,0.5,0.0625,0.24206145913796356,0.4375,1.6944302139657448,0.4375,1.6944302139657448,0.4375,1.6944302139657448,0.0,0.0,16.8,110.0,5.8,3.0,10.2,18.38,5.3,4.1,1.2,4
cooper-kupp,24,0,15,4.133333333333334,1.667999467092907,6.266666666666667,2.3513589451397863,57.93333333333333,28.35834190420088,14.033333333333333,4.1461092872984215,27.266666666666666,13.810463022248346,0.3333333333333333,0.47140452079103173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.1,89.0,7.4,3.1,9.3,21.25,6.0,5.0,1.0,4
