name,age,years_played,games_played,avg_qbr,avg_cmp,avg_att,avg_pct,avg_pyds,avg_ypa,avg_TD,avg_INT,avg_SACK,avg_rush,avg_ryds,avg_rypa,avg_rlg,avg_rTD,ADP
patrick-mahomes,22,1,15,113.72666666666667,24.6,37.06666666666667,66.7,321.06666666666666,8.806666666666668,3.2,0.7333333333333333,1.7333333333333334,3.866666666666666,18.066666666666663,4.3933333333333335,10.933333333333334,0.1333333333333333,18.0
matt-ryan,33,10,15,108.48000000000002,26.066666666666663,37.6,69.11333333333333,303.06666666666666,8.113333333333333,2.2,0.4,2.7333333333333334,1.933333333333333,7.866666666666666,3.853333333333333,5.8,0.2,49.0
deshaun-watson,22,0,15,103.27333333333333,21.33333333333333,31.33333333333333,68.18,262.06666666666666,8.426666666666668,1.7333333333333334,0.6,3.733333333333333,5.733333333333333,32.333333333333336,5.933333333333333,13.0,0.2666666666666666,38.0
aaron-rodgers,34,13,15,99.3,24.6,39.46666666666667,62.60666666666667,294.4,7.5666666666666655,1.6666666666666667,0.1333333333333333,3.2,2.8666666666666667,17.933333333333334,6.306666666666668,10.8,0.1333333333333333,43.0
jared-goff,23,2,15,100.01999999999998,23.266666666666666,35.666666666666664,65.82666666666667,299.26666666666665,8.553333333333335,1.8666666666666667,0.8,2.2,2.8,7.2,2.54,6.533333333333333,0.1333333333333333,97.0
drew-brees,39,14,14,112.7857142857143,24.071428571428573,32.142857142857146,74.69285714285714,261.85714285714283,8.092857142857142,2.2142857142857144,0.3571428571428571,1.0714285714285714,2.142857142857143,1.6428571428571428,0.5428571428571427,1.8571428571428568,0.2857142857142857,66.0
russell-wilson,29,6,15,111.30666666666669,17.866666666666667,27.066666666666663,66.22000000000001,219.7333333333333,8.36,2.2666666666666666,0.4,3.0,4.333333333333333,25.2,4.613333333333332,11.866666666666667,0.0,92.0
dak-prescott,24,2,15,94.82,21.933333333333334,32.13333333333333,68.07333333333334,233.2,7.233333333333334,1.2,0.5333333333333333,3.466666666666667,4.733333333333333,20.33333333333333,3.786666666666666,9.466666666666669,0.4,85.0
philip-rivers,36,12,15,108.73333333333332,22.2,32.266666666666666,68.98666666666668,275.46666666666664,8.74,2.066666666666667,0.6666666666666666,2.1333333333333333,1.1333333333333333,0.4666666666666667,0.2533333333333333,0.8666666666666667,0.0,137.0
kirk-cousins,29,6,15,101.62000000000003,27.0,38.2,70.75333333333334,277.7333333333333,7.439999999999999,1.933333333333333,0.6666666666666666,2.4,2.8666666666666667,7.733333333333333,2.3400000000000003,5.2,0.0666666666666666,157.0
tom-brady,40,16,15,94.1,23.4,35.8,64.96666666666667,273.6666666666667,7.593333333333333,1.6666666666666667,0.7333333333333333,1.3333333333333333,1.5333333333333334,2.333333333333333,1.7333333333333334,2.8,0.1333333333333333,93.0
mitch-trubisky,23,1,13,95.15384615384616,20.846153846153847,31.384615384615383,67.0153846153846,235.3846153846154,7.6692307692307695,1.8461538461538465,0.9230769230769232,1.8461538461538465,5.0,31.15384615384616,6.538461538461537,15.076923076923077,0.2307692307692307,130.0
baker-mayfield,23,0,13,99.10769230769232,22.07692307692308,34.15384615384615,66.7,257.61538461538464,7.846153846153846,1.8461538461538465,0.8461538461538461,1.9230769230769231,3.0,10.076923076923077,3.3692307692307697,8.153846153846153,0.0,53.0
eli-manning,37,11,15,96.52,23.73333333333333,35.666666666666664,67.87999999999998,266.53333333333336,7.8,1.2666666666666666,0.6666666666666666,3.066666666666667,0.9333333333333332,1.2,0.5399999999999999,1.2,0.0666666666666666,223.0
case-keenum,30,5,15,82.00666666666666,22.266666666666666,35.86666666666667,61.76666666666667,239.86666666666667,6.746666666666669,1.1333333333333333,0.9333333333333332,2.2,1.5333333333333334,5.666666666666667,2.506666666666667,4.866666666666666,0.1333333333333333,1000.0
matthew-stafford,30,9,15,90.62666666666668,23.133333333333333,34.86666666666667,66.92,234.06666666666663,6.773333333333335,1.2666666666666666,0.7333333333333333,2.6,1.5333333333333334,4.866666666666666,3.3666666666666667,4.8,0.0,193.0
josh-allen-qb,22,0,11,66.2090909090909,13.818181818181818,26.727272727272727,51.63636363636363,168.1818181818182,6.290909090909091,0.6363636363636364,1.0,2.4545454545454546,7.272727272727272,48.72727272727273,6.327272727272728,18.0,0.5454545454545454,190.0
jameis-winston,24,3,10,88.9,22.2,34.3,65.42999999999999,264.7,7.959999999999999,1.5,1.3,2.6,4.7,25.8,5.340000000000001,10.1,0.1,154.0
carson-wentz,25,2,10,100.29,25.7,36.9,69.64,284.6,7.75,1.8,0.7,2.9,3.0,9.6,3.2700000000000005,5.6,0.0,72.0
marcus-mariota,24,3,13,87.76923076923077,16.76923076923077,24.46153846153846,68.62307692307692,186.0,7.461538461538462,0.8461538461538461,0.6153846153846154,3.076923076923077,4.846153846153846,26.923076923076923,6.315384615384615,13.923076923076923,0.1538461538461538,215.0
andy-dalton,30,7,10,89.44000000000001,21.6,34.8,62.06999999999999,246.6,7.160000000000001,2.0,1.0,2.1,1.4,7.8,3.88,6.1,0.0,259.0
blake-bortles,26,1,12,80.73333333333333,19.0,31.25,61.400000000000006,217.5833333333333,6.625,1.0833333333333333,0.8333333333333334,2.333333333333333,4.5,29.166666666666668,6.7250000000000005,14.75,0.0833333333333333,304.0
sam-darnold,21,0,12,80.80833333333332,18.58333333333333,32.166666666666664,58.51666666666667,224.8333333333333,7.15,1.4166666666666667,1.25,2.1666666666666665,3.583333333333333,9.166666666666666,2.025,5.833333333333333,0.0833333333333333,192.0
ryan-fitzpatrick,35,12,7,108.35714285714286,21.571428571428573,32.142857142857146,67.25714285714285,314.1428571428572,10.171428571428573,2.4285714285714284,1.2857142857142858,1.8571428571428568,4.571428571428571,19.714285714285715,4.914285714285714,9.142857142857142,0.1428571428571428,950.0
lamar-jackson,21,0,15,62.42,5.666666666666667,9.733333333333333,43.74,68.13333333333334,4.953333333333333,0.4,0.2,0.9333333333333332,8.466666666666667,40.333333333333336,5.366666666666666,15.4,0.2,119.0
ryan-tannehill,29,6,10,99.36,15.8,24.3,65.37,183.2,7.729999999999999,1.7,0.7,3.1,3.0,13.6,4.5200000000000005,8.5,0.0,954.0
nick-mullens,23,1,7,94.5,21.857142857142858,34.42857142857143,64.02857142857142,285.0,8.528571428571428,1.4285714285714286,1.0,2.0,2.4285714285714284,-2.0,-0.4571428571428572,0.1428571428571428,0.0,962.0
josh-rosen,21,-2,13,63.93076923076923,15.307692307692308,27.615384615384617,54.869230769230775,163.76923076923077,5.892307692307693,0.7692307692307693,1.0769230769230769,3.0,1.7692307692307692,10.615384615384617,5.369230769230769,7.769230769230769,0.0,1000.0
jeff-driskel,25,1,8,81.9125,11.625,19.0,58.8,113.5,6.7125,0.75,0.25,1.5,2.875,14.625,5.1625,10.25,0.25,915.0
nick-foles,29,6,4,89.825,28.25,40.5,69.4,298.0,7.175000000000001,1.25,0.75,1.5,1.75,3.25,1.3,1.75,0.0,199.0
cj-beathard,24,1,5,66.54,17.6,28.2,50.08,212.4,6.319999999999999,1.4,1.4,2.8,2.8,12.0,3.94,7.8,0.2,490.0
brock-osweiler,27,2,6,92.56666666666668,18.83333333333333,29.666666666666668,66.01666666666667,207.8333333333333,6.9,1.0,0.6666666666666666,2.6666666666666665,1.3333333333333333,3.5,2.3833333333333333,3.5,0.0,440.0
josh-johnson,32,5,3,84.66666666666667,13.333333333333334,21.33333333333333,63.1,166.33333333333334,8.299999999999999,1.0,1.0,1.6666666666666667,6.666666666666667,38.66666666666666,5.766666666666667,15.0,0.3333333333333333,461.0
jimmy-garoppolo,26,4,2,81.75,16.5,29.5,57.35,233.5,7.9,1.5,1.5,4.5,2.5,5.0,2.15,4.5,0.0,179.0
tyrod-taylor,28,7,3,61.99999999999999,13.666666666666666,28.0,46.46666666666667,154.0,4.833333333333333,0.6666666666666666,0.6666666666666666,4.333333333333333,5.333333333333333,41.66666666666666,7.2,18.0,0.3333333333333333,464.0
cody-kessler,25,-1,5,57.42,14.6,22.8,51.2,120.6,4.1,0.4,0.4,3.4,3.6,24.2,4.86,9.6,0.0,771.0
blaine-gabbert,28,7,7,56.471428571428575,6.142857142857143,10.285714285714286,40.10000000000001,65.85714285714286,4.357142857142857,0.4285714285714285,0.2857142857142857,0.7142857142857143,0.8571428571428571,0.0,-0.0428571428571428,0.0,0.0,710.0
chase-daniel,31,8,4,26.7,6.75,9.25,18.25,57.5,1.55,0.5,0.0,1.0,2.25,-0.25,-0.25,0.0,0.0,447.0
colt-mccoy,31,7,2,79.55,15.0,25.0,56.6,161.0,5.8,1.5,1.5,2.5,5.0,31.5,6.3,13.5,0.0,945.0
kyle-allen,22,0,1,106.2,4.0,4.0,100.0,38.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.0
josh-mccown,39,11,3,54.3,20.0,36.333333333333336,54.833333333333336,179.66666666666666,4.8,0.3333333333333333,1.3333333333333333,2.333333333333333,1.6666666666666667,10.666666666666666,5.1000000000000005,6.333333333333333,0.0,936.0
taylor-heinicke,25,0,5,63.36,0.4,0.8,40.0,9.2,9.2,0.0,0.0,0.0,0.4,-0.4,-0.2,-0.2,0.0,808.0
nathan-peterman,24,0,3,55.9,4.333333333333333,10.666666666666666,59.26666666666667,36.0,5.966666666666666,0.3333333333333333,1.3333333333333333,1.0,0.6666666666666666,1.0,1.0,1.0,0.0,242.0
