name,age,years_played,games_played,avg_rec,std_rec,avg_tgt,std_tgt,avg_yds,std_yds,avg_ypr,std_ypr,avg_lg,std_lg,avg_TD,std_TD,avg_rush,std_rush,avg_ryds,std_ryds,avg_rypa,std_rypa,avg_rlg,std_rlg,avg_rTD,std_rTD,TM TGT %,class
saquon-barkley,21,0,16,5.6875,3.0967472854593736,7.5625,3.334830392988525,45.0625,24.946113800550176,8.28125,3.5502145621778975,21.125,13.896379924282439,0.25,0.5590169943749475,16.3125,4.551356253909377,81.6875,43.647334898593755,5.075,2.7768012172281975,32.75,22.300504478598686,0.6875,0.582961190818051,21.6,0
christian-mccaffrey,22,1,16,6.6875,3.3488570811547036,7.75,3.59687364248454,54.1875,28.040637363476602,8.837499999999999,4.447453625390601,20.5,8.108637370113428,0.375,0.5994789404140899,13.6875,5.752377225982316,68.625,41.943227999284936,4.893750000000001,1.895543704982821,22.0625,16.219081162322357,0.4375,0.7043392293490403,22.7,0
todd-gurley,23,1,14,4.214285714285714,1.97044488916196,5.785714285714286,2.3657850230970277,41.42857142857143,20.814535737296275,10.378571428571428,3.8082951887817154,19.928571428571427,11.689215333034156,0.2857142857142857,0.45175395145262565,18.285714285714285,5.202040416009464,89.35714285714286,44.9406070638271,4.735714285714287,1.4685304330020068,19.857142857142858,7.059513771774765,1.2142857142857142,1.0809104250301111,14.6,0
alvin-kamara,22,1,15,5.4,3.460250472629595,7.0,4.732863826479693,47.266666666666666,32.728105488843816,10.473333333333333,8.126292034022788,18.866666666666667,10.88648499542233,0.26666666666666666,0.44221663871405337,12.933333333333334,3.785351884420904,58.86666666666667,27.956792058857932,4.413333333333332,1.0971883257774038,16.0,9.542885657214313,0.9333333333333333,0.9977753031397176,20.1,0
ezekiel-elliott,22,2,15,5.133333333333334,2.55255862921022,6.333333333333333,2.5210227201585385,37.8,26.613780891360275,7.653333333333334,4.918382751361354,15.666666666666666,10.786823237429802,0.2,0.4000000000000001,20.266666666666666,4.090096440047459,95.6,34.12096129947104,4.72,1.566822687266601,21.133333333333333,8.10651315644128,0.4,0.48989794855663565,18.4,0
james-conner,23,1,13,4.230769230769231,1.4756404687116058,5.461538461538462,2.205426336435608,38.23076923076923,20.142392517557614,9.061538461538461,3.8637443898450594,16.076923076923077,6.521697967454353,0.07692307692307693,0.26646935501059654,16.53846153846154,6.617173282340482,74.61538461538461,41.0993888435535,4.207692307692308,1.2060498385297977,18.76923076923077,8.38637948978852,0.9230769230769231,0.9166442529086912,13.4,0
james-white,26,3,16,5.4375,2.6685377550261493,7.6875,3.0355961111452228,46.9375,27.09351571409661,8.21875,2.4372676171278362,16.75,9.95301461869719,0.4375,0.6091746465505602,5.875,3.119995993587171,26.5625,18.861232561791926,4.0687500000000005,3.321279638558006,11.5625,8.796084000849469,0.3125,0.582961190818051,23.2,0
melvin-gordon,25,3,12,4.166666666666667,2.3392781412697,5.5,3.068658773253661,40.833333333333336,32.495726214722794,8.808333333333334,4.381297055540617,20.0,16.73320053068151,0.3333333333333333,0.6236095644623235,14.583333333333334,3.377828033251874,73.75,30.221749894184928,4.983333333333333,1.499907404549435,20.5,7.599342076785332,0.8333333333333334,0.8975274678557507,17.2,0
david-johnson-rb,26,3,16,3.125,2.027159342528357,4.75,2.436698586202241,27.875,22.062057360998768,10.287500000000001,7.8342098357141285,17.5,9.759610647971568,0.1875,0.3903123748998999,16.125,4.3857011982122085,58.75,26.28569002328073,3.5625,0.7052260275968265,14.5625,10.380081586866261,0.4375,0.6091746465505602,15.0,0
joe-mixon,21,1,14,3.0714285714285716,1.6241167144145818,3.9285714285714284,2.1201174399508327,21.142857142857142,19.190239866204095,6.064285714285715,3.858868661530057,10.714285714285714,6.734013571081529,0.07142857142857142,0.25753937681885636,16.928571428571427,5.35142552055439,83.42857142857143,29.499913524605184,5.028571428571428,1.6015298808276024,26.357142857142858,12.759350312933778,0.5714285714285714,0.7284313590846836,10.0,1
