name,age,years_played,games_played,avg_rec,avg_tgt,avg_yds,avg_ypr,avg_lg,avg_TD,avg_rush,avg_ryds,avg_rypa,avg_rlg,avg_rTD,TM TGT %,ADP,CUSHAverage Cushion (CUSH),SEPAverage Separation (SEP),TAYAverage Targeted Air Yards (TAY),TAY%% Share of Team's Air Yards (TAY%),YAC/RYAC/Reception (YAC/R),xYAC/RExpected YAC/Reception (EYAC/R),+/-Avg .YAC Above Expectation
deandre-hopkins,26,5,16,7.1875,10.1875,98.25,13.65625,28.9375,0.6875,0.0625,-0.4375,-0.4375,-0.4375,0.0,28.7,5.0,4.9,2.5,11.9,44.04,3.7,3.6,0.0
davante-adams,25,4,15,7.4,11.266666666666667,92.4,12.966666666666669,29.133333333333333,0.8666666666666667,0.0,0.0,0.0,0.0,0.0,27.1,10.0,4.8,3.0,11.3,33.97,4.6,4.2,0.5
tyreek-hill,24,2,16,5.4375,8.5625,92.4375,17.39375,42.0625,0.75,1.375,9.4375,6.1125,8.5,0.0625,24.0,12.0,5.9,3.1,14.8,38.43,6.4,4.8,1.5
julio-jones,29,7,16,7.0625,10.625,104.8125,14.40625,29.3125,0.5,0.125,0.75,0.75,0.75,0.0,28.3,11.0,5.7,2.5,14.0,45.64,4.2,3.2,1.0
antonio-brown,30,7,15,6.933333333333334,11.2,86.46666666666667,12.773333333333335,33.266666666666666,1.0,0.0,0.0,0.0,0.0,0.0,25.6,21.0,5.0,2.6,11.2,36.07,5.0,4.1,1.0
michael-thomas-wr,25,1,16,7.8125,9.1875,87.8125,11.65625,26.75,0.5625,0.0,0.0,0.0,0.0,0.0,26.7,8.0,4.6,2.7,7.7,30.27,4.1,3.2,0.8
adam-thielen,27,4,16,7.0625,9.5625,85.8125,12.20625,27.6875,0.5625,0.3125,1.875,1.875,1.875,0.0,28.2,31.0,5.8,2.9,9.6,32.75,3.9,3.4,0.4
juju-smith-schuster,21,1,16,6.9375,10.375,89.125,13.41875,36.25,0.4375,0.0625,0.8125,0.8125,0.8125,0.0,23.1,15.0,5.3,3.0,8.7,27.6,6.1,4.8,1.3
mike-evans,24,4,16,5.375,8.625,95.25,18.14375,35.4375,0.5,0.0,0.0,0.0,0.0,0.0,22.0,22.0,5.7,2.1,15.7,32.78,3.8,3.0,0.7
stefon-diggs,24,3,15,6.8,9.933333333333334,68.06666666666666,10.093333333333334,26.0,0.6,0.6666666666666666,4.133333333333334,3.533333333333333,4.2,0.0,25.7,37.0,5.9,2.7,8.9,29.54,4.3,3.7,0.7
robert-woods,26,5,16,5.375,8.125,76.1875,14.625,26.75,0.375,1.1875,9.8125,5.96875,9.0,0.0625,23.5,39.0,6.4,3.0,11.3,29.86,5.3,4.8,0.5
