name,age,years_played,games_played,avg_rec,std_rec,avg_tgt,std_tgt,avg_yds,std_yds,avg_ypr,std_ypr,avg_lg,std_lg,avg_TD,std_TD,avg_rush,std_rush,avg_ryds,std_ryds,avg_rypa,std_rypa,avg_rlg,std_rlg,avg_rTD,std_rTD,TM TGT %,ADP
travis-kelce,29,6,16,6.0625,2.0453835214941964,8.5,1.7320508075688772,76.8125,25.87281089773587,13.425,5.187665660005472,23.5,10.11805317242403,0.3125,0.4635124054434789,0.0625,0.2420614591379635,0.25,0.9682458365518544,0.25,0.9682458365518544,0.25,0.9682458365518544,0.0625,0.2420614591379635,23.6,19.0
george-kittle,25,2,14,6.071428571428571,2.576384113838776,7.642857142857143,3.153391436377731,75.21428571428571,31.03265232306259,12.764285714285716,3.681926348075564,28.928571428571427,13.133731303753084,0.3571428571428571,0.4791574237499548,0.3571428571428571,0.6102859818083951,1.5714285714285714,4.981598792617913,1.5714285714285714,4.981598792617913,1.7142857142857142,4.963129361725775,0.0,0.0,22.4,16.0
mark-andrews,23,1,15,4.266666666666667,2.112397269033981,6.533333333333333,2.124983660067897,56.8,31.93368127854977,13.67333333333333,4.652664708410535,27.6,12.526239126995248,0.6666666666666666,0.6992058987801011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.3,35.0
zach-ertz,28,6,15,5.866666666666666,2.8720878971384023,9.0,3.3065591380365986,61.06666666666667,25.27308625571655,11.046666666666663,3.083691871046061,20.2,6.024394852043924,0.4,0.6110100926607788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,43.0
austin-hooper,24,3,13,5.769230769230769,2.1538461538461537,7.461538461538462,1.78089798504465,60.53846153846154,33.19549409787971,10.292307692307691,3.3192820211748613,19.923076923076923,8.213137116947163,0.4615384615384615,0.6343239424027171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.2,121.0
jared-cook,32,9,14,3.071428571428572,1.4374722712498649,4.642857142857143,2.467130862738649,50.35714285714285,26.223237085937846,16.90714285714286,7.666668515231957,25.428571428571427,13.46272253146382,0.6428571428571429,0.7178482586514923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.2,71.0
tyler-higbee,26,3,15,4.6,3.2619012860600183,5.933333333333334,4.265624872812371,48.93333333333333,41.27059755106803,9.36,4.326784795511173,15.2,8.908422980528034,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.1,59.0
hunter-henry,24,3,12,4.583333333333333,1.8911342863183696,6.333333333333333,2.392116682401221,54.333333333333336,27.019540254333634,11.908333333333331,3.88146414241957,19.08333333333333,5.922532303743804,0.4166666666666667,0.6400954789890506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.7,73.0
mike-gesicki,23,1,16,3.1875,1.6665364532466729,5.5625,2.691856933419753,35.625,27.975156389196467,9.78125,4.919758473492373,16.0625,10.120948263379276,0.3125,0.582961190818051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5,140.0
greg-olsen,34,10,14,3.7142857142857135,2.050385727772474,5.857142857142857,2.44532039551767,42.642857142857146,32.25701948603511,9.814285714285711,4.91555216239483,16.571428571428573,10.452028413623054,0.1428571428571428,0.5150787536377127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,143.0
