,name,age,games_played,avg_rec,std_rec,avg_tgt,std_tgt,avg_yds,std_yds,avg_ypr,std_ypr,avg_lg,std_lg,avg_TD,std_TD,avg_rush,std_rush,avg_ryds,std_ryds,avg_rypa,std_rypa,avg_rlg,std_rlg,avg_rTD,std_rTD,TM TGT %,class
0,travis-kelce,29,16,6.0625,2.0453835214941964,8.5,1.7320508075688772,76.8125,25.87281089773587,13.425,5.187665660005472,23.5,10.11805317242403,0.3125,0.46351240544347894,0.0625,0.24206145913796356,0.25,0.9682458365518543,0.25,0.9682458365518543,0.25,0.9682458365518543,0.0625,0.24206145913796356,23.6,0
1,george-kittle,25,14,6.071428571428571,2.576384113838776,7.642857142857143,3.153391436377731,75.21428571428571,31.03265232306259,12.764285714285716,3.681926348075564,28.928571428571427,13.133731303753084,0.35714285714285715,0.47915742374995485,0.35714285714285715,0.6102859818083951,1.5714285714285714,4.981598792617913,1.5714285714285714,4.981598792617913,1.7142857142857142,4.963129361725775,0.0,0.0,22.4,1
2,zach-ertz,28,15,5.866666666666666,2.8720878971384023,9.0,3.3065591380365986,61.06666666666667,25.27308625571655,11.046666666666665,3.083691871046061,20.2,6.024394852043924,0.4,0.6110100926607788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,2
3,mark-andrews,23,15,4.266666666666667,2.112397269033981,6.533333333333333,2.124983660067897,56.8,31.93368127854977,13.67333333333333,4.652664708410535,27.6,12.526239126995248,0.6666666666666666,0.6992058987801011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.3,2
4,austin-hooper,24,13,5.769230769230769,2.1538461538461537,7.461538461538462,1.78089798504465,60.53846153846154,33.19549409787971,10.292307692307693,3.3192820211748613,19.923076923076923,8.213137116947163,0.46153846153846156,0.6343239424027171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.2,2
5,jared-cook,32,14,3.0714285714285716,1.4374722712498649,4.642857142857143,2.4671308627386495,50.357142857142854,26.223237085937846,16.90714285714286,7.666668515231957,25.428571428571427,13.46272253146382,0.6428571428571429,0.7178482586514923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.2,2
6,tyler-higbee,26,15,4.6,3.2619012860600183,5.933333333333334,4.265624872812371,48.93333333333333,41.27059755106803,9.360000000000001,4.326784795511173,15.2,8.908422980528034,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.1,2
7,hunter-henry,24,12,4.583333333333333,1.8911342863183696,6.333333333333333,2.3921166824012206,54.333333333333336,27.019540254333634,11.908333333333333,3.88146414241957,19.083333333333332,5.922532303743804,0.4166666666666667,0.6400954789890506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.7,2
8,dallas-goedert,24,15,3.8666666666666667,2.2469732728470286,5.8,2.809507667427397,40.46666666666667,24.532608684950098,9.98,4.149891564848412,17.133333333333333,7.923523346480543,0.3333333333333333,0.47140452079103173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.2,2
9,jason-witten,37,16,3.9375,1.6381678027601445,5.1875,1.7399263633843818,33.0625,15.658339431433973,8.4375,3.1886272516554834,13.25,6.703543838895961,0.25,0.4330127018922193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.9,3
