name,age,years_played,games_played,avg_rec,std_rec,avg_tgt,std_tgt,avg_yds,std_yds,avg_ypr,std_ypr,avg_lg,std_lg,avg_TD,std_TD,avg_rush,std_rush,avg_ryds,std_ryds,avg_rypa,std_rypa,avg_rlg,std_rlg,avg_rTD,std_rTD,TM TGT %,ADP,CUSHAverage Cushion (CUSH),SEPAverage Separation (SEP),TAYAverage Targeted Air Yards (TAY),TAY%% Share of Team's Air Yards (TAY%),YAC/RYAC/Reception (YAC/R),xYAC/RExpected YAC/Reception (EYAC/R),+/-Avg .YAC Above Expectation
michael-thomas-wr,26,2,16,9.3125,2.4929588343973914,11.5625,2.54874356301296,107.8125,37.56198002967895,11.4125,2.138011634673675,26.3125,9.966937531157702,0.5625,0.6091746465505602,0.0625,0.2420614591379635,-0.5625,2.178553132241672,-0.5625,2.178553132241672,-0.5625,2.178553132241672,0.0,0.0,31.8,6.0,5.2,2.6,8.1,41.34,4.1,3.4,0.7
chris-godwin,23,2,14,6.142857142857143,2.6147150311033043,8.642857142857142,2.4959150299508788,95.21428571428572,48.30879625822162,15.492857142857144,4.655175965020669,31.428571428571427,14.898294656552787,0.6428571428571429,0.8112726208286106,0.0714285714285714,0.2575393768188563,0.5714285714285714,2.060315014550851,0.5714285714285714,2.060315014550851,0.5714285714285714,2.060315014550851,0.0,0.0,19.0,24.0,6.6,2.8,10.4,19.62,7.1,4.6,2.4
julio-jones,30,8,15,6.6,2.703084657695106,10.466666666666669,3.323986896618109,92.93333333333334,38.310079903626175,14.659999999999998,4.575849647879616,32.266666666666666,12.271738082095608,0.4,0.7118052168020874,0.1333333333333333,0.339934634239519,-0.2,1.0456258094238746,-0.2,1.0456258094238746,-0.2,1.0456258094238746,0.0,0.0,23.0,14.0,5.6,2.2,12.3,35.92,3.7,2.8,0.8
cooper-kupp,26,2,16,5.875,2.54644359843292,8.375,3.919103851647721,72.5625,52.86654039891394,11.53125,7.4822054527725985,25.3125,18.85377531822208,0.625,0.5994789404140899,0.125,0.3307189138830738,0.25,1.5612494995995996,0.25,1.5612494995995996,0.25,1.5612494995995996,0.0,0.0,21.2,44.0,6.3,3.4,7.2,20.36,6.0,4.7,1.2
deandre-hopkins,27,6,15,6.933333333333334,1.730767331432956,10.0,2.221110833194357,77.66666666666667,30.79105209129576,11.273333333333335,4.152825009021637,25.133333333333333,9.9389246008923,0.4666666666666667,0.7180219742846006,0.1333333333333333,0.339934634239519,1.2,3.249615361854384,1.2,3.249615361854384,1.2,3.249615361854384,0.0,0.0,28.1,20.0,5.0,2.7,10.3,33.96,3.9,4.0,-0.1
kenny-golladay,25,2,16,4.0625,1.8529958850466992,7.25,2.537222891273055,74.375,41.29902389887683,19.55625,9.050135962376478,36.5625,17.719934925106244,0.6875,0.6817945071647321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.3,27.0,5.3,1.9,15.4,33.1,4.9,4.2,0.7
devante-parker,26,4,16,4.5,2.0,8.0,3.181980515339464,75.125,41.46214387848269,15.49375,5.929636239897015,27.875,14.831870246196196,0.5625,0.7043392293490403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.8,67.0,5.0,2.1,13.8,33.12,4.2,3.5,0.7
keenan-allen,27,6,16,6.5,2.692582403567252,9.3125,3.512811374099099,74.9375,37.88381704303304,11.7625,3.4197724705015102,23.5625,8.845682209417202,0.375,0.5994789404140899,0.1875,0.3903123748998999,1.0,4.623310502226732,1.0,4.623310502226732,1.0,4.623310502226732,0.0,0.0,25.0,57.0,5.4,2.7,10.0,30.38,3.7,3.6,0.1
amari-cooper,25,4,16,4.9375,3.050998811864731,7.4375,3.7909225460301874,74.3125,55.98629156990129,13.5125,6.468565818633988,25.75,16.69393602479655,0.5,0.6123724356957945,0.0625,0.2420614591379635,0.375,1.4523687548277813,0.375,1.4523687548277813,0.375,1.4523687548277813,0.0,0.0,19.9,38.0,5.4,2.6,12.8,27.98,3.3,3.6,-0.4
julian-edelman,33,8,16,6.25,2.19374109684803,9.5625,2.893284249775677,69.8125,30.61498560754194,10.8875,3.2364863277943874,23.0625,9.902453925669132,0.375,0.5994789404140899,0.5,0.7905694150420949,1.6875,5.817202398919949,0.85625,3.709442132922416,1.0,3.968626966596886,0.0,0.0,24.7,99.0,5.7,2.8,9.2,31.74,3.5,3.9,-0.3
allen-robinson,25,5,16,6.125,2.057759704144291,9.625,3.0998991919093117,71.6875,33.73002881335858,11.3625,4.3043401062183735,23.25,10.813764376941084,0.4375,0.7043392293490403,0.0625,0.2420614591379635,0.125,0.4841229182759271,0.125,0.4841229182759271,0.125,0.4841229182759271,0.0,0.0,26.6,26.0,5.1,2.2,11.1,38.41,3.1,3.3,-0.2
mike-evans,25,5,13,5.153846153846154,3.570092734114552,9.076923076923077,4.632021297638337,89.0,60.05638376367021,18.74615384615385,13.480904750772789,32.61538461538461,19.10512803306388,0.6153846153846154,0.9230769230769232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.7,28.0,5.3,2.4,15.3,28.24,4.3,4.0,0.3
jarvis-landry,26,5,16,5.1875,2.242173889331512,8.625,2.341874249399399,73.375,37.32772930409778,15.35625,7.971901337667194,30.0625,13.329800964380526,0.375,0.5994789404140899,0.0625,0.2420614591379635,0.625,2.4206145913796355,0.625,2.4206145913796355,0.625,2.4206145913796355,0.0,0.0,25.6,89.0,5.7,2.6,9.8,29.61,5.5,3.9,1.7
