name,age,years_played,games_played,avg_rec,std_rec,avg_tgt,std_tgt,avg_yds,std_yds,avg_ypr,std_ypr,avg_lg,std_lg,avg_TD,std_TD,avg_rush,std_rush,avg_ryds,std_ryds,avg_rypa,std_rypa,avg_rlg,std_rlg,avg_rTD,std_rTD,TM TGT %,ADP,class
travis-kelce,30,7,15,7.0,1.96638416050035,9.666666666666666,3.0477678535099897,94.4,34.14049404055737,13.673333333333336,3.8112931605369265,26.066666666666666,9.219303420300015,0.7333333333333333,0.5734883511361752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,12.0,0
darren-waller,27,5,16,6.6875,2.9520914196548858,9.0625,3.543810625583709,74.75,50.92334926141445,10.45,4.7255952006070086,20.75,10.127314550264547,0.5625,0.6091746465505602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.3,25.0,0
robert-tonyan,26,3,16,3.25,1.75,3.6875,1.8614090764794289,36.625,25.556004676005205,10.38125,4.534757263349384,19.625,11.6880013261464,0.6875,0.7680128579652817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,81.0,1
tj-hockenson,23,1,16,4.1875,1.6286017775994228,6.3125,2.310810193417019,45.1875,24.764437077187925,10.34375,3.8504819097744116,19.5625,11.352140491995332,0.375,0.4841229182759271,0.0625,0.24206145913796356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.4,54.0,2
mark-andrews,24,2,14,4.142857142857143,1.6413036132965795,6.285714285714286,2.1189138534559038,50.07142857142857,23.61132986426609,12.921428571428569,5.893965263777201,20.571428571428573,8.649643144697489,0.5,0.7319250547113999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,48.0,1
logan-thomas,29,4,16,4.5,2.958039891549808,6.875,3.2572035551988456,41.875,28.46242039953735,9.1,3.7260904444202643,16.375,8.252840420122032,0.375,0.4841229182759271,0.1875,0.3903123748998999,0.3125,0.8454843286542927,0.3125,0.8454843286542927,0.3125,0.8454843286542927,0.0,0.0,19.3,72.0,2
mike-gesicki,24,2,15,3.533333333333333,2.4997777679003566,5.666666666666667,2.8674417556808756,46.86666666666667,33.842511070479915,12.700000000000001,4.803609753785861,23.0,14.746751054610865,0.4,0.6110100926607788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.2,119.0,2
rob-gronkowski,31,8,16,2.8125,1.8103435447450298,4.8125,2.242173889331512,38.9375,28.325052405070675,13.1875,8.761840203404763,20.375,13.864861160502112,0.4375,0.6091746465505602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,114.0,1
jonnu-smith,24,3,15,2.7333333333333334,1.6110727964792761,4.333333333333333,2.4129281427805145,29.866666666666667,21.71287380539225,10.206666666666667,4.723059272218473,17.133333333333333,14.17917095210044,0.5333333333333333,0.7180219742846007,0.13333333333333333,0.339934634239519,0.26666666666666666,0.7717224601860151,0.26666666666666666,0.7717224601860151,0.26666666666666666,0.7717224601860151,0.06666666666666667,0.24944382578492946,0.6,188.0,1
noah-fant,22,1,15,4.133333333333334,1.9955506062794353,6.2,2.8798148088606905,44.86666666666667,20.902525099986256,10.633333333333333,4.231259334471896,19.533333333333335,9.618500691664766,0.2,0.4000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7,89.0,2
hunter-henry,25,4,14,4.285714285714286,1.5319721849662296,6.642857142857143,1.9859198249225491,43.785714285714285,21.142977798883525,10.135714285714286,3.8633085640710205,16.857142857142858,7.44366598292173,0.2857142857142857,0.45175395145262565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.8,173.0,2
eric-ebron,27,5,15,3.7333333333333334,2.048305532764962,6.066666666666666,2.644911256650316,37.2,17.75086852335213,10.213333333333335,4.768628966718025,16.666666666666668,6.896053621859067,0.3333333333333333,0.47140452079103173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,138.0,2
evan-engram,25,3,16,3.9375,1.8864235340983213,6.8125,2.788788939665388,40.875,28.965226997211673,10.2625,4.141991519788518,18.125,10.792792734042473,0.0625,0.24206145913796356,0.375,0.6959705453537527,1.625,3.0998991919093113,1.25,2.5433737436719754,1.6875,3.0149367737980843,0.0625,0.24206145913796356,21.1,222.0,3
jared-cook,33,10,15,2.466666666666667,1.4544949486180951,4.0,1.6733200530681511,33.6,24.368832553078942,11.673333333333336,7.438590069510634,18.933333333333334,14.134905572926744,0.4666666666666667,0.4988876515698588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5,191.0,1
tyler-higbee,27,4,15,2.933333333333333,0.9977753031397177,4.0,1.4142135623730951,34.733333333333334,18.167614654164762,11.873333333333335,5.416821536247577,21.733333333333334,11.427841246515264,0.3333333333333333,0.7888106377466154,0.06666666666666667,0.24944382578492946,0.06666666666666667,0.24944382578492946,0.06666666666666667,0.24944382578492946,0.06666666666666667,0.24944382578492946,0.0,0.0,0.8,69.0,1
george-kittle,26,3,8,6.0,3.7416573867739413,7.875,3.3330729064933458,79.25,45.59536708921203,14.125,4.50576020223003,27.0,11.979148550710939,0.25,0.4330127018922193,0.25,0.4330127018922193,2.125,3.6890886408434267,2.125,3.6890886408434267,2.125,3.6890886408434267,0.0,0.0,11.1,32.0,3
dallas-goedert,25,2,11,4.181818181818182,2.0368505911280073,5.909090909090909,2.906248611481051,47.63636363636363,27.347171126005726,11.181818181818182,2.736892126554624,21.545454545454547,10.307663842224267,0.2727272727272727,0.4453617714151233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.9,95.0,2
austin-hooper,25,4,13,3.5384615384615383,1.6923076923076925,5.384615384615385,3.5849785223787825,33.46153846153846,17.39414306649659,9.5,1.781097328140069,16.23076923076923,7.757416760294589,0.3076923076923077,0.46153846153846156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,217.0,2
gerald-everett,26,3,16,2.5625,1.5799030824705673,3.875,2.315032397181517,26.0625,19.97332205092583,9.78125,5.0356502497194935,14.4375,8.381294276542258,0.0625,0.24206145913796356,0.0625,0.24206145913796356,0.125,0.4841229182759271,0.125,0.4841229182759271,0.125,0.4841229182759271,0.0625,0.24206145913796356,0.3,183.0,4
anthony-firkser,25,3,16,2.4375,1.9990231989649345,3.3125,2.4165768661476505,24.1875,27.511858238766788,8.15625,5.639810363611528,12.5,10.758717395675006,0.0625,0.24206145913796356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,229.0,4
zach-ertz,29,7,11,3.272727272727273,1.6006197146962735,6.545454545454546,2.0610516452281153,30.454545454545453,21.58014085539858,10.118181818181817,8.454027354604236,15.090909090909092,11.065544767056682,0.09090909090909091,0.2874797872880344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,150.0,4
dawson-knox,23,1,12,2.0,1.1547005383792515,3.6666666666666665,2.0949675149960894,24.0,14.212670403551895,12.233333333333334,8.98093660050121,15.416666666666666,9.767790037783481,0.25,0.4330127018922193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,153.0,4
cole-kmet,21,0,16,1.75,1.9525624189766635,2.75,2.6339134382131846,15.1875,16.19111928651012,6.25625,5.882491898634455,8.4375,9.293604992143791,0.125,0.33071891388307384,0.0625,0.24206145913796356,-0.1875,0.7261843774138906,-0.1875,0.7261843774138906,-0.1875,0.7261843774138906,0.0,0.0,0.7,226.0,4
