name,age,years_played,games_played,avg_qbr,std_qbr,avg_cmp,std_cmp,avg_att,std_att,avg_pct,std_pct,avg_pyds,std_pyds,avg_ypa,std_ypa,avg_TD,std_TD,avg_INT,std_INT,avg_SACK,std_SACK,avg_rush,std_rush,avg_ryds,std_ryds,avg_rypa,std_rypa,avg_rlg,std_rlg,avg_rTD,std_rTD,ADP,class
josh-allen-qb,25,3,16,92.61250000000001,29.030110984114405,24.0625,7.561983453433365,37.5625,9.25991866864931,63.400000000000006,10.235843883139289,260.5,71.8496694494832,7.175,2.427575951437977,2.125,1.165922381636102,0.9375,0.899218410621135,1.625,1.4086784586980805,7.3125,3.736956482219187,43.75,25.97715342372986,6.025,2.340272420040026,16.625,8.335728822364604,0.375,0.5994789404140899,22.0,0
justin-herbert,23,1,16,99.64375,21.86981277783374,25.5625,4.0461208274098786,38.0,4.344536799245692,67.4,8.634234187233979,289.4375,63.83569607789986,7.625,1.4792312192487016,2.1875,1.0135796712641785,0.875,0.7806247497997998,1.75,1.0897247358851685,3.8125,1.7399263633843818,18.8125,20.58281671079058,4.80625,3.1675046862633054,10.0625,7.636006400599727,0.1875,0.3903123748998999,36.0,1
tom-brady,43,19,16,100.125,20.337880297612138,28.5,6.244997998398398,42.625,7.025622748198198,66.6625,7.916191871727213,311.875,76.42796853901064,7.325,1.2740192306240907,2.5,1.620185174601965,0.75,0.75,1.3125,1.3564084008881692,1.75,1.8200274723201295,5.0625,5.5617977084752015,3.38125,4.221850712365373,4.875,4.594493987372276,0.125,0.33071891388307384,64.0,2
patrick-mahomes,25,4,16,99.8625,28.711427929484802,25.5625,5.326452266753171,38.375,8.56500875656295,67.425,9.333508182886003,284.875,72.22263755222458,7.606250000000001,1.9099963187137299,2.1875,1.5090870584562046,0.8125,0.7261843774138906,1.6875,1.1575161985907585,3.5625,2.235194342780958,20.4375,17.09520674779922,5.11875,4.139326447322076,11.375,8.823795951856548,0.125,0.33071891388307384,29.0,1
matthew-stafford,33,12,16,105.82499999999999,27.86594023175963,23.9375,3.2876425824593523,35.5625,5.7659425725548115,67.91874999999999,6.636472966681927,290.5,40.961872515792045,8.35625,1.6988852043325353,2.375,0.9921567416492215,0.9375,0.899218410621135,1.5625,1.3678792892649556,2.0,1.5811388300841898,2.6875,6.862204000902334,0.95,2.444381312316063,2.4375,4.182833220438032,0.0,0.0,87.0,2
aaron-rodgers,37,16,15,110.96666666666665,28.560944584441806,23.466666666666665,3.981066300488964,34.2,5.230678732248808,68.91333333333336,8.236007662831685,265.1333333333333,64.69813667246444,7.786666666666666,1.7161455519726625,2.3333333333333335,1.1925695879998879,0.26666666666666666,0.573488351136175,1.8,1.1075498483890767,2.1333333333333333,1.783878421367954,6.266666666666667,7.307226255943878,2.3466666666666662,3.1939247886504085,5.533333333333333,6.0977227078822,0.2,0.4000000000000001,68.0,2
dak-prescott,27,5,15,101.86666666666666,25.409359605380768,25.933333333333334,6.687965975458373,37.93333333333333,9.269783648440177,68.85333333333332,8.960942410756187,276.93333333333334,75.87926081757928,7.440000000000001,1.5658011793753805,2.1333333333333333,1.2578641509408803,0.6666666666666666,0.6992058987801011,1.9333333333333333,1.5260697523012796,3.2,2.3720595832876263,9.733333333333333,10.036378275498034,2.8333333333333335,2.796346823188346,6.666666666666667,5.917957605645905,0.06666666666666667,0.24944382578492946,75.0,2
joe-burrow,24,1,15,104.59333333333332,23.547893512772834,22.4,5.4258639865002145,32.06666666666667,7.352701695446527,70.26,7.159962755955275,277.6666666666667,98.86736345000587,8.573333333333332,1.778563715161447,2.0,1.0327955589886444,0.9333333333333333,0.9285592184789412,3.1333333333333333,1.7074997966487597,2.3333333333333335,1.577621275493231,7.2,7.259017380701974,2.7733333333333334,2.508775708499179,4.866666666666666,3.7214095298540966,0.13333333333333333,0.339934634239519,74.0,2
jalen-hurts,22,1,14,87.05,27.30689996528873,17.714285714285715,6.507452556531642,29.0,8.758669174839618,60.87142857142858,9.704227986621424,209.28571428571428,80.5174591283766,7.300000000000002,1.8535679878856037,1.1428571428571428,0.989743318610787,0.6428571428571429,0.8949974347244049,1.7857142857142858,0.860113898485164,9.428571428571429,3.5196242842156913,52.857142857142854,19.888464506043782,5.821428571428571,2.3043990761239286,16.214285714285715,6.909399099658909,0.7142857142857143,1.0301575072754254,56.0,0
kyler-murray,23,2,13,103.5923076923077,22.440843996827322,23.46153846153846,5.062917745201333,34.0,7.874007874011811,69.63846153846154,6.873084456110546,272.84615384615387,66.35318803290599,8.123076923076924,1.3520092433422342,1.7692307692307692,1.3674145257408596,0.7692307692307693,0.7994080650317895,2.0,1.2403473458920846,6.384615384615385,1.688807569238473,29.846153846153847,22.977735557729503,4.953846153846154,4.626947055376195,14.153846153846153,13.09636563705398,0.38461538461538464,0.6249260311258431,52.0,1
