name,age,years_played,games_played,avg_rec,avg_tgt,avg_yds,avg_ypr,avg_lg,avg_TD,avg_rush,avg_ryds,avg_rypa,avg_rlg,avg_rTD,TM TGT %,ADP
mark-andrews,25,3,17,6.294117647058823,9.0,80.05882352941177,12.858823529411763,26.11764705882353,0.5294117647058824,0.0588235294117647,0.0,0.0,0.0,0.0,25.2,26.0
travis-kelce,31,8,16,5.75,8.375,70.3125,11.30625,23.5625,0.5625,0.125,0.1875,0.1875,0.1875,0.0625,19.9,15.0
dalton-schultz,25,3,17,4.588235294117647,6.117647058823529,47.52941176470589,10.170588235294115,16.647058823529413,0.4705882352941176,0.0,0.0,0.0,0.0,0.0,16.1,53.0
george-kittle,27,4,14,5.071428571428571,6.714285714285714,65.0,13.135714285714286,22.928571428571427,0.4285714285714285,0.2142857142857142,1.4285714285714286,1.4285714285714286,1.4285714285714286,0.0,18.3,42.0
zach-ertz,30,8,17,4.352941176470588,6.588235294117647,44.88235294117647,10.588235294117649,18.58823529411765,0.2941176470588235,0.0588235294117647,0.2352941176470588,0.2352941176470588,0.2352941176470588,0.0,19.0,96.0
kyle-pitts,20,0,17,4.0,6.470588235294118,60.35294117647059,14.870588235294116,27.47058823529412,0.0588235294117647,0.0,0.0,0.0,0.0,0.0,19.2,33.0
dawson-knox,24,2,15,3.2666666666666666,4.733333333333333,39.13333333333333,11.580000000000002,19.0,0.6,0.0,0.2666666666666666,0.0,0.0,0.0,10.8,73.0
hunter-henry,26,5,16,3.125,4.6875,37.6875,12.9125,19.0625,0.5625,0.0,0.0,0.0,0.0,0.0,14.0,159.0
dallas-goedert,26,3,15,3.733333333333333,5.066666666666666,55.333333333333336,14.620000000000005,21.73333333333333,0.2666666666666666,0.0,0.0,0.0,0.0,0.0,15.4,61.0
mike-gesicki,25,3,17,4.294117647058823,6.588235294117647,45.88235294117647,9.558823529411764,18.647058823529413,0.1176470588235294,0.0,0.0,0.0,0.0,0.0,18.0,132.0
noah-fant,23,2,16,4.25,5.625,41.875,9.54375,17.375,0.25,0.0,0.0,0.0,0.0,0.0,16.6,199.0
pat-freiermuth,22,0,16,3.75,4.9375,31.0625,9.30625,13.6875,0.4375,0.0,0.0,0.0,0.0,0.0,11.9,119.0
tyler-higbee,28,5,15,4.066666666666666,5.666666666666667,37.333333333333336,8.58,15.6,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,14.0,180.0
tj-hockenson,24,2,12,5.083333333333333,7.0,48.583333333333336,8.799999999999999,18.5,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,14.0,65.0
darren-waller,28,6,11,5.0,8.454545454545455,60.45454545454545,12.1,23.63636363636364,0.1818181818181818,0.0,0.0,0.0,0.0,0.0,14.8,47.0
gerald-everett,27,4,15,3.2,4.2,31.866666666666667,10.36,16.2,0.2666666666666666,0.2,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.0,12.7,219.0
cole-kmet,22,1,17,3.5294117647058822,5.470588235294118,36.0,9.629411764705882,14.882352941176473,0.0,0.0588235294117647,0.0,0.0,0.0,0.0,17.2,117.0
david-njoku,25,4,15,2.4,3.533333333333333,31.666666666666668,10.999999999999998,18.266666666666666,0.2666666666666666,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.0,10.2,163.0
evan-engram,26,4,15,3.066666666666667,4.866666666666666,27.2,8.859999999999998,13.333333333333334,0.2,0.0666666666666666,-0.2,-0.2,-0.2,0.0,12.3,222.0
austin-hooper,26,5,15,2.533333333333333,4.066666666666666,23.0,8.286666666666667,12.0,0.2,0.0,0.0,0.0,0.0,0.0,11.7,218.0
mo-alie-cox,27,4,17,1.411764705882353,2.647058823529412,18.58823529411765,10.458823529411765,13.764705882352942,0.2352941176470588,0.0,0.0,0.0,0.0,0.0,8.6,149.0
cameron-brate,30,7,16,1.875,3.5625,15.3125,7.5125,9.375,0.25,0.0,0.0,0.0,0.0,0.0,7.8,140.0
albert-okwuegbunam,23,1,14,2.357142857142857,2.857142857142857,23.571428571428573,8.614285714285716,14.642857142857142,0.1428571428571428,0.0,0.0,0.0,0.2857142857142857,0.0,7.4,131.0
hayden-hurst,27,3,12,2.1666666666666665,2.583333333333333,18.416666666666668,8.458333333333334,11.166666666666666,0.25,0.0,0.0,0.0,0.0,0.0,5.4,153.0
logan-thomas,30,5,5,3.6,5.0,39.2,11.16,20.0,0.6,0.0,0.0,0.0,0.0,0.0,4.5,216.0
robert-tonyan,27,4,8,2.25,3.625,25.5,9.55,13.875,0.25,0.0,0.0,0.0,0.0,0.0,4.9,201.0
