name,age,years_played,games_played,avg_rec,avg_tgt,avg_yds,avg_ypr,avg_lg,avg_TD,avg_rush,avg_ryds,avg_rypa,avg_rlg,avg_rTD,TM TGT %,ADP,CUSHAverage Cushion (CUSH),SEPAverage Separation (SEP),TAYAverage Targeted Air Yards (TAY),TAY%% Share of Team's Air Yards (TAY%),YAC/RYAC/Reception (YAC/R),xYAC/RExpected YAC/Reception (EYAC/R),+/-Avg .YAC Above Expectation
justin-jefferson,23,2,17,7.529411764705882,10.823529411764708,106.41176470588236,13.494117647058824,30.23529411764705,0.4705882352941176,0.2352941176470588,1.411764705882353,1.088235294117647,1.2352941176470589,0.0588235294117647,27.4,1.0,5.4,3.1,10.3,39.03,5.0,4.1,0.9
davante-adams,29,8,17,5.882352941176471,10.588235294117649,89.17647058823529,14.752941176470587,29.47058823529412,0.8235294117647058,0.1764705882352941,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,0.0,30.7,14.3,5.6,2.9,12.1,41.77,5.2,4.6,0.6
tyreek-hill,28,6,17,7.0,10.0,100.58823529411764,14.576470588235296,33.8235294117647,0.4117647058823529,0.4117647058823529,1.8823529411764703,1.5,1.7058823529411764,0.0588235294117647,29.1,6.0,6.4,3.3,12.2,40.15,4.3,4.1,0.2
stefon-diggs,28,7,17,6.470588235294118,9.176470588235292,85.58823529411765,13.441176470588236,32.411764705882355,0.6470588235294118,0.0588235294117647,-0.1764705882352941,-0.1764705882352941,-0.1764705882352941,0.0,26.8,10.3,5.4,2.8,11.6,34.57,4.1,3.4,0.8
aj-brown,25,3,17,5.176470588235294,8.529411764705882,88.0,16.38235294117647,36.47058823529412,0.6470588235294118,0.0,0.0,0.0,0.0,0.0,27.2,12.3,5.6,2.6,12.2,41.31,6.6,4.6,2.0
ceedee-lamb,23,2,17,6.294117647058823,9.176470588235292,79.94117647058823,12.941176470588236,25.176470588235293,0.5294117647058824,0.5882352941176471,2.764705882352941,1.5,2.235294117647059,0.0,28.1,11.7,6.6,3.1,10.3,35.4,4.8,4.0,0.8
jaylen-waddle,23,1,17,4.411764705882353,6.882352941176471,79.76470588235294,18.23529411764706,34.47058823529412,0.4705882352941176,0.1764705882352941,1.5294117647058822,1.5294117647058822,1.5294117647058822,0.0,20.0,20.3,5.8,3.0,12.0,27.22,7.2,4.4,2.8
amonra-stbrown,22,1,16,6.625,9.125,72.5625,10.556250000000002,22.75,0.375,0.5625,5.9375,3.8125,5.3125,0.0,24.8,16.0,6.5,3.1,6.3,22.79,5.2,4.5,0.6
amari-cooper,28,7,17,4.588235294117647,7.764705882352941,68.23529411764706,15.841176470588236,27.23529411764705,0.5294117647058824,0.0,0.0,0.0,0.0,0.0,24.4,39.7,5.7,2.5,12.9,38.68,4.0,3.4,0.7
devonta-smith,23,1,17,5.588235294117647,8.0,70.3529411764706,11.658823529411764,22.647058823529413,0.4117647058823529,0.0,0.0,0.0,0.0,0.0,25.4,24.3,6.5,2.9,9.9,31.21,5.2,4.7,0.5
christian-kirk,25,4,17,4.941176470588236,7.823529411764706,65.17647058823529,13.358823529411763,26.058823529411764,0.4705882352941176,0.2941176470588235,0.6470588235294118,0.6470588235294118,0.6470588235294118,0.0,22.3,55.3,6.4,3.2,9.5,29.63,4.7,4.8,-0.1
jamarr-chase,22,1,13,6.6923076923076925,10.307692307692308,80.46153846153847,11.246153846153849,24.615384615384617,0.6923076923076923,0.3846153846153846,0.6153846153846154,0.6923076923076923,0.6923076923076923,0.0,22.0,2.7,5.5,2.6,9.6,30.01,4.8,3.1,1.7
tyler-lockett,29,7,16,5.25,7.3125,64.5625,12.50625,25.1875,0.5625,0.0,0.0,0.0,0.0,0.0,20.4,67.3,7.5,3.5,10.9,29.02,3.4,4.2,-0.9
terry-mclaurin,26,3,17,4.529411764705882,7.0588235294117645,70.05882352941177,15.817647058823528,31.647058823529413,0.2941176470588235,0.4117647058823529,1.7058823529411764,1.3823529411764706,1.411764705882353,0.0,21.7,47.3,6.2,2.5,13.0,34.89,5.2,4.1,1.1
brandon-aiyuk,24,2,17,4.588235294117647,6.705882352941177,59.70588235294117,13.894117647058822,24.58823529411765,0.4705882352941176,0.1176470588235294,1.3529411764705883,1.3529411764705883,1.3529411764705883,0.0,22.3,67.3,6.2,2.9,9.9,32.67,4.9,4.3,0.6
mike-evans,28,8,15,5.133333333333334,8.466666666666667,74.93333333333334,14.433333333333334,29.133333333333333,0.4,0.0,0.0,0.0,0.0,0.0,16.9,70.3,5.7,2.6,13.4,33.63,3.3,2.9,0.4
tee-higgins,23,2,15,5.0,7.333333333333333,69.46666666666667,13.326666666666664,25.6,0.4666666666666667,0.0,0.0,0.0,0.0,0.0,17.9,26.7,5.8,2.5,11.3,28.88,3.9,3.2,0.8
dk-metcalf,24,3,17,5.294117647058823,8.294117647058824,61.64705882352941,11.594117647058823,22.41176470588235,0.3529411764705882,0.0,0.0,0.0,0.0,0.0,24.6,32.0,6.3,2.3,11.8,37.62,2.6,2.5,0.2
garrett-wilson,21,0,17,4.882352941176471,8.647058823529411,64.88235294117646,12.71764705882353,26.176470588235293,0.2352941176470588,0.2352941176470588,0.2352941176470588,0.2352941176470588,0.2352941176470588,0.0,23.4,18.3,5.8,2.6,10.7,31.8,5.0,3.9,1.1
chris-godwin,26,5,15,6.933333333333334,9.466666666666669,68.2,10.02,20.4,0.2,0.2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,18.9,57.3,6.7,3.0,5.8,16.15,5.2,4.4,0.9
jerry-jeudy,23,2,15,4.466666666666667,6.666666666666667,64.8,14.013333333333334,30.066666666666663,0.4,0.2666666666666666,2.6666666666666665,0.9333333333333332,1.0,0.0,17.5,50.7,6.5,3.7,11.6,24.56,6.3,5.2,1.1
dj-moore-wr,25,4,17,3.7058823529411766,6.941176470588236,52.23529411764706,12.058823529411764,24.47058823529412,0.4117647058823529,0.5882352941176471,3.117647058823529,2.5588235294117645,2.823529411764706,0.0,25.8,51.7,6.7,2.8,13.2,48.73,3.4,3.3,0.1
michael-pittman,24,2,16,6.1875,8.8125,57.8125,9.3,18.75,0.25,0.1875,1.875,0.9375,1.1875,0.0,23.3,61.0,6.5,2.7,7.3,26.56,3.6,3.6,0.0
cooper-kupp,29,5,9,8.333333333333334,10.88888888888889,90.22222222222224,10.455555555555556,30.11111111111111,0.6666666666666666,1.0,5.777777777777778,4.199999999999999,5.222222222222222,0.1111111111111111,18.5,5.0,6.5,3.2,7.3,19.82,5.7,4.4,1.2
chris-olave,22,0,15,4.8,7.933333333333334,69.46666666666667,14.413333333333332,27.73333333333333,0.2666666666666666,0.0,0.0,0.0,0.0,0.0,23.2,27.3,7.2,2.7,14.2,38.61,3.0,3.1,-0.2
zay-jones,27,5,16,5.125,7.5625,51.4375,9.6875,18.3125,0.3125,0.25,1.125,1.125,1.125,0.0,20.3,144.7,6.6,3.5,8.5,24.25,3.9,3.9,0.0
gabriel-davis,23,2,15,3.2,6.2,55.73333333333333,17.426666666666666,27.133333333333333,0.4666666666666667,0.0,0.0,0.0,0.0,0.0,16.2,91.0,5.4,2.8,15.9,28.53,3.0,2.4,0.6
jakobi-meyers,25,3,14,4.785714285714286,6.857142857142857,57.42857142857143,13.185714285714283,25.142857142857142,0.4285714285714285,0.1428571428571428,-0.7857142857142857,0.6428571428571429,0.6428571428571429,0.0,17.8,129.3,5.6,3.0,9.7,23.68,3.9,4.5,-0.6
juju-smith-schuster,25,5,16,4.875,6.3125,58.3125,12.40625,22.625,0.1875,0.0,0.0,0.0,0.0,0.0,15.5,113.7,5.7,3.3,7.4,16.29,6.1,4.3,1.8
tyler-boyd,27,6,17,3.4705882352941178,4.882352941176471,45.64705882352941,12.435294117647056,22.294117647058822,0.3529411764705882,0.0,0.0,0.0,0.0,0.0,13.4,131.3,5.1,2.7,9.4,18.05,4.5,3.5,1.0
mike-williams-wr,27,5,13,4.846153846153846,7.153846153846154,68.84615384615384,13.607692307692307,27.15384615384616,0.3076923076923077,0.0,0.0,0.0,0.0,0.0,13.1,56.0,5.4,2.8,12.2,25.15,5.3,4.4,0.9
