name,proj fpts,rank,last rank
jalen-hurts,24.898014556598635,1,3
josh-allen-qb,21.77834339928564,2,2
justin-fields,21.45588442599057,3,6
patrick-mahomes,21.20439083534198,4,1
lamar-jackson,20.896236196771053,5,13
joe-burrow,20.387105660609116,6,4
daniel-jones,20.246093642525647,7,9
trevor-lawrence,19.79703180879281,8,8
geno-smith,19.451865238697344,9,5
justin-herbert,18.10042855957889,10,11
jared-goff,18.0975327822071,11,10
tua-tagovailoa,18.027428198390286,12,14
kyler-murray,17.69343366544011,13,18
marcus-mariota,16.830169841640032,14,19
sam-darnold,16.7980867592224,15,31
aaron-rodgers,16.540890809849692,16,12
jimmy-garoppolo,16.455878052419674,17,22
russell-wilson,16.334968111519487,18,15
kirk-cousins,16.32584913346608,19,7
dak-prescott,15.892980277800763,20,17
ryan-tannehill,15.689623878092657,21,23
derek-carr,15.292485838583271,22,16
jacoby-brissett,15.154113446120453,23,21
deshaun-watson,14.831187341414909,24,30
kenny-pickett,14.798204640927988,25,24
mac-jones,14.564257216329043,26,20
mike-white,13.426430617578427,27,32
tyler-huntley,13.400050799807492,28,33
taylor-heinicke,13.320025482512907,29,26
baker-mayfield,13.234417164596639,30,25
desmond-ridder,13.223513316769797,31,37
bailey-zappe,12.742632614470402,32,35
brock-purdy,12.601910386969855,33,28
zach-wilson,12.336506162950734,34,29
matthew-stafford,12.170092316721815,35,27
jarrett-stidham,11.39584884669163,36,34
colt-mccoy,10.394968463956516,37,38
gardner-minshew,8.951528347635367,38,36
