name,proj fpts,rank,last rank
jalen-hurts,348.5603570619557,1,3
josh-allen-qb,325.1282763332026,2,2
patrick-mahomes,323.65775299877777,3,1
joe-burrow,299.3683483156149,4,4
justin-fields,298.82282936380113,5,6
lamar-jackson,289.1449797361517,6,13
trevor-lawrence,282.81227019512585,7,8
geno-smith,277.8984705482855,8,5
daniel-jones,271.40166718660277,9,9
jared-goff,259.50306445235174,10,10
tua-tagovailoa,259.48615954211874,11,14
justin-herbert,251.51115473064715,12,11
kirk-cousins,238.19523423010554,13,7
kyler-murray,235.94177300791733,14,18
aaron-rodgers,235.71574753094768,15,12
russell-wilson,230.11196205803725,16,15
dak-prescott,228.87833655826086,17,17
marcus-mariota,222.4105754251155,18,19
jimmy-garoppolo,221.62330724736657,19,22
derek-carr,220.73390924964937,20,16
sam-darnold,217.53825949841593,21,31
ryan-tannehill,208.96507748749985,22,23
jacoby-brissett,200.7994033554905,23,21
kenny-pickett,192.0918913044464,24,24
deshaun-watson,190.75451117791374,25,30
mac-jones,185.79188429241452,26,20
baker-mayfield,169.86213106320662,27,25
taylor-heinicke,169.4896708717049,28,26
brock-purdy,167.90900456522007,29,28
mike-white,161.95006544855326,30,32
zach-wilson,153.54402189860423,31,29
matthew-stafford,153.45826655377198,32,27
bailey-zappe,138.10226969940646,33,35
jarrett-stidham,135.40245021452702,34,34
desmond-ridder,132.80457772368607,35,37
tyler-huntley,131.67329651684616,36,33
gardner-minshew,100.6711826341542,37,36
colt-mccoy,95.23332591188199,38,38
