name,proj fpts,rank
jalen-hurts,23.92693858782378,1
josh-allen-qb,21.788760251193747,2
joe-burrow,21.31845889353671,3
patrick-mahomes,21.231188215552766,4
justin-fields,21.131800612125257,5
trevor-lawrence,20.56625119950282,6
daniel-jones,20.074496459718215,7
lamar-jackson,19.652784545467036,8
tua-tagovailoa,18.37059127603007,9
justin-herbert,18.361574143006965,10
geno-smith,18.171905177401793,11
dak-prescott,17.76723443775832,12
kyler-murray,17.500652859847786,13
jared-goff,17.372190067871202,14
jimmy-garoppolo,16.89334306265809,15
aaron-rodgers,16.427628050552425,16
kirk-cousins,16.127465744041846,17
russell-wilson,16.002504242930105,18
derek-carr,15.41637563462522,19
marcus-mariota,15.049948703703981,20
ryan-tannehill,14.77783061870844,21
deshaun-watson,14.7609372066765,22
kenny-pickett,14.454647425896388,23
mac-jones,14.03204817493169,24
brock-purdy,13.565364382527383,25
matthew-stafford,13.495541066637045,26
mike-white,13.43077141423887,27
sam-darnold,13.299042004448884,28
jacoby-brissett,13.074811447621409,29
desmond-ridder,12.342943985221412,30
baker-mayfield,12.162800793337704,31
taylor-heinicke,12.037161792738997,32
bailey-zappe,10.6436856807272,33
colt-mccoy,10.11980258486088,34
tyler-huntley,10.04858216550651,35
zach-wilson,9.529781560984844,36
jarrett-stidham,9.242915010418962,37
gardner-minshew,6.601476322559069,38
