name,proj fpts,rank
jalen-hurts,347.3952464034444,1
patrick-mahomes,329.8238748190812,2
josh-allen-qb,328.993494143267,3
lamar-jackson,303.3532540524601,4
justin-fields,299.4456751406502,5
joe-burrow,296.1812173481247,6
trevor-lawrence,294.91822791773154,7
geno-smith,275.7298379221196,8
justin-herbert,269.32596112922727,9
tua-tagovailoa,268.21394861821796,10
daniel-jones,265.41006692743963,11
jared-goff,258.4368730192207,12
kyler-murray,245.22104523980298,13
dak-prescott,243.5353112018387,14
kirk-cousins,241.01305401813545,15
aaron-rodgers,234.3500294818837,16
derek-carr,218.48469991721552,17
jimmy-garoppolo,216.93224163546304,18
deshaun-watson,214.03164987607593,19
russell-wilson,210.64388999632502,20
kenny-pickett,195.98978894782033,21
sam-darnold,191.51588205176554,22
mac-jones,184.86380285782536,23
marcus-mariota,183.50820027541772,24
ryan-tannehill,181.95883266864357,25
brock-purdy,179.33281488296768,26
matthew-stafford,171.84087790251618,27
jacoby-brissett,163.38925014807037,28
mike-white,151.40926412393873,29
taylor-heinicke,142.77404427562269,30
baker-mayfield,142.6679721211168,31
desmond-ridder,137.14697504120966,32
bailey-zappe,136.04063548248246,33
tyler-huntley,123.09169952299813,34
zach-wilson,122.41616144818013,35
jarrett-stidham,120.32077660055148,36
colt-mccoy,94.52864888747051,37
gardner-minshew,69.53493540958719,38
