name,proj fpts,rank,last rank
justin-fields,23.133599999999994,1,6
jalen-hurts,23.04319999999999,2,3
patrick-mahomes,22.839000000000006,3,1
trevor-lawrence,22.80380000000001,4,8
lamar-jackson,22.516600000000004,5,13
josh-allen-qb,21.822799999999994,6,2
deshaun-watson,20.428,7,30
joe-burrow,19.953599999999994,8,4
justin-herbert,19.8328,9,11
tua-tagovailoa,18.853000000000005,10,14
dak-prescott,18.5574,11,17
daniel-jones,18.184400000000007,12,9
geno-smith,17.5006,13,5
kyler-murray,17.423000000000002,14,18
kenny-pickett,16.675600000000003,15,24
brock-purdy,16.450799999999994,16,28
kirk-cousins,16.336999999999996,17,7
derek-carr,16.3258,18,16
jared-goff,16.150799999999993,19,10
matthew-stafford,15.667999999999996,20,27
mac-jones,15.552400000000002,21,20
aaron-rodgers,15.502999999999997,22,12
jimmy-garoppolo,15.340800000000005,23,22
russell-wilson,15.160199999999994,24,15
desmond-ridder,14.956399999999999,25,37
ryan-tannehill,14.0748,26,23
sam-darnold,11.1858,27,31
taylor-heinicke,11.0746,28,26
marcus-mariota,10.7038,29,19
mike-white,10.040999999999999,30,32
baker-mayfield,9.8492,31,25
colt-mccoy,9.716399999999998,32,38
bailey-zappe,9.455599999999995,33,35
tyler-huntley,9.4436,34,33
jarrett-stidham,7.669,35,34
zach-wilson,7.3536,36,29
jacoby-brissett,7.286399999999999,37,21
gardner-minshew,3.913200000000002,38,36
