name,proj fpts,rank,last rank
jalen-hurts,348.6972000000002,1,3
josh-allen-qb,347.76980000000026,2,2
patrick-mahomes,339.7784000000002,3,1
trevor-lawrence,335.91999999999996,4,8
justin-fields,330.00500000000005,5,6
lamar-jackson,327.6048000000001,6,13
tua-tagovailoa,295.9741999999999,7,14
deshaun-watson,293.87040000000013,8,30
justin-herbert,293.7561999999999,9,11
joe-burrow,278.78200000000004,10,4
dak-prescott,274.60639999999984,11,17
geno-smith,260.00019999999995,12,5
daniel-jones,255.15220000000014,13,9
kyler-murray,249.70100000000008,14,18
kirk-cousins,246.14999999999986,15,7
jared-goff,245.7089999999999,16,10
brock-purdy,242.65299999999988,17,28
kenny-pickett,228.48320000000007,18,24
aaron-rodgers,226.49639999999982,19,12
matthew-stafford,224.65659999999997,20,27
derek-carr,218.44079999999985,21,16
jimmy-garoppolo,203.54300000000003,22,22
russell-wilson,194.5032,23,15
mac-jones,185.83559999999994,24,20
desmond-ridder,133.9561999999999,25,37
sam-darnold,132.23060000000004,26,31
ryan-tannehill,121.41419999999998,27,23
bailey-zappe,113.58719999999998,28,35
mike-white,97.89059999999998,29,32
marcus-mariota,93.14440000000002,30,19
baker-mayfield,85.726,31,25
taylor-heinicke,75.6188,32,26
jacoby-brissett,70.3746,33,21
tyler-huntley,70.15420000000002,34,33
jarrett-stidham,66.8944,35,34
colt-mccoy,64.3458,36,38
zach-wilson,61.96079999999999,37,29
gardner-minshew,26.653600000000004,38,36
