name,rf proj,xgb proj,enet proj,svr proj,mean proj,rank,last rank
jalen-hurts,22.0104,27.08455810546875,24.260645566197876,23.144856454532427,23.91772645403471,1,3
josh-allen-qb,23.7962,21.04678649902344,20.575403326933248,21.70286400676389,21.756822848849996,2,2
joe-burrow,22.5724,20.41359558105469,20.27001267085689,21.004256624247787,21.374162181297127,3,4
patrick-mahomes,20.9692,21.257846069335937,20.166868957939617,20.717929219824768,21.165435045793654,4,1
justin-fields,21.929800000000004,22.26785888671875,20.78743355584914,19.35991037778603,21.097588441715104,5,6
trevor-lawrence,20.7254,19.677145385742183,18.734068343138684,20.636360590528916,20.50372600419032,6,8
daniel-jones,17.877200000000002,20.74156799316406,19.50634856112693,20.803933148360304,20.080912227133577,7,9
lamar-jackson,21.438800000000004,19.39344024658203,18.51979279471744,18.92769713620316,19.62785989540193,8,13
tua-tagovailoa,18.129,18.15607147216797,17.91891323649626,18.19286026852276,18.41051647134257,9,14
justin-herbert,19.172600000000003,17.772926330566406,17.39740366865193,17.39556635068015,18.37700466058509,10,11
geno-smith,17.562,20.036444091796877,18.801564753688357,18.19892174070509,18.19296523192653,11,5
dak-prescott,18.465,16.21991882324219,16.27370432434951,18.27175344235678,17.64089754404087,12,17
kyler-murray,17.382600000000004,17.298971557617186,16.8122087689635,18.403416415617848,17.4087063022306,13,18
jared-goff,16.330399999999997,17.504283142089843,17.17640481891836,16.747086972048272,17.205490812500106,14,10
jimmy-garoppolo,15.3326,16.748275756835938,16.185646683874577,16.355587117492373,16.956303861811737,15,22
aaron-rodgers,15.7146,18.257591247558597,17.366026032696524,15.911807227578231,16.48601228313706,16,12
kirk-cousins,16.709999999999997,17.13056335449219,17.124119763270986,16.376993415313347,16.08546930442596,17,7
russell-wilson,15.381800000000004,16.949102783203124,16.489859410189258,15.7377149777682,15.925381082122811,18,15
derek-carr,16.091,16.098123168945314,15.92857690980639,15.20053829314774,15.291677433127823,19,16
marcus-mariota,11.4462,17.62940673828125,16.465128233309606,18.043340899334687,15.205378749276896,20,19
ryan-tannehill,14.061999999999998,15.705288696289063,15.576232971759604,15.53721881576054,14.936126277074328,21,23
deshaun-watson,18.718800000000005,13.408006286621092,13.853167080601626,14.356327222780616,14.65870109420905,22,30
kenny-pickett,17.059200000000008,13.844143676757811,15.006978725551416,13.92834360950688,14.373563429314354,23,24
mac-jones,15.1688,14.7086181640625,15.140782529653112,15.066175309252188,14.058449192184296,24,20
brock-purdy,17.297399999999996,12.108392333984376,12.890379237438095,13.274924510420906,13.664952212117225,25,28
mike-white,9.633399999999998,12.906492614746094,13.30782358729918,16.581501205575986,13.517968399102152,26,32
matthew-stafford,16.4358,11.667829895019532,13.214462205160336,13.608727446020913,13.387530094550456,27,27
sam-darnold,9.574800000000002,15.648025512695312,15.87362996786445,17.425818306911438,13.347991650444976,28,31
jacoby-brissett,8.513200000000001,14.86031494140625,15.05464504174019,17.851694020640274,13.027549358591465,29,21
desmond-ridder,14.600000000000003,12.333740997314454,12.148242920010476,11.79237547088673,12.32336919884446,30,37
taylor-heinicke,10.3086,13.625241088867188,13.576832617428163,13.590066328740749,12.176327206150455,31,26
baker-mayfield,9.7056,14.377667236328126,14.292764493474664,13.51295152548247,12.072025244021296,32,25
bailey-zappe,8.503599999999997,12.77532958984375,13.363109590141736,12.267355139129617,10.959664827048814,33,35
colt-mccoy,9.170999999999998,10.021835327148438,10.17725819331982,11.983909493851158,10.38114990541752,34,38
tyler-huntley,8.162199999999995,12.061642456054688,11.946938251978764,11.329443675792566,10.039311429829429,35,33
zach-wilson,7.033599999999998,11.04735107421875,12.432176522742626,12.471671998469471,9.46683576630711,36,29
jarrett-stidham,7.192599999999999,10.710677337646484,13.05651083034908,13.9389719557493,9.249396718182632,37,34
gardner-minshew,3.7478000000000025,6.618922424316406,9.730612640679894,9.657358262716729,6.551979138314278,38,36
