name,rf proj,xgb proj,enet proj,svr proj,mean proj,rank,last rank
jalen-hurts,348.6972000000002,365.00283203125,348.5603570619557,327.3205965205716,347.3952464034444,1,3
patrick-mahomes,339.7784000000002,328.84658203125,323.65775299877777,327.0127642462968,329.8238748190812,2,1
josh-allen-qb,347.76980000000026,338.34921875,325.1282763332026,304.7266814898652,328.993494143267,3,2
lamar-jackson,327.6048000000001,323.248876953125,289.1449797361517,273.4143595205636,303.3532540524601,4,13
justin-fields,330.00500000000005,321.058544921875,298.82282936380113,247.89632627692455,299.4456751406502,5,6
joe-burrow,278.78200000000004,307.22294921875,299.3683483156149,299.3515718581337,296.1812173481247,6,4
trevor-lawrence,335.92,289.8953857421875,282.81227019512585,271.045255733613,294.91822791773154,7,8
geno-smith,260.00019999999995,293.06787109375,277.8984705482855,271.952810046443,275.7298379221196,8,5
justin-herbert,293.7561999999999,269.653662109375,251.51115473064715,262.38282767688713,269.32596112922727,9,11
tua-tagovailoa,295.9741999999999,261.049365234375,259.48615954211874,256.3460696963782,268.213948618218,10,14
daniel-jones,255.1522000000001,289.1520263671875,271.4016671866028,245.93437415596827,265.41006692743963,11,9
jared-goff,245.7089999999999,269.97529296875,259.50306445235174,258.5601346557812,258.4368730192207,12,10
kyler-murray,249.70100000000008,251.4293212890625,235.94177300791733,243.812086662232,245.22104523980295,13,18
dak-prescott,274.60639999999984,232.0873779296875,228.87833655826088,238.56913031940667,243.5353112018387,14,17
kirk-cousins,246.14999999999984,241.3057861328125,238.19523423010557,238.40119570962383,241.01305401813545,15,7
aaron-rodgers,226.49639999999985,245.7354736328125,235.71574753094768,229.4524967637748,234.3500294818837,16,12
derek-carr,218.44079999999985,221.46103515625,220.73390924964937,213.30305526296289,218.48469991721552,17,16
jimmy-garoppolo,203.54300000000003,219.37705078125,221.62330724736657,223.1856085132356,216.93224163546304,18,22
deshaun-watson,293.87040000000013,195.832275390625,190.7545111779137,175.66941293576485,214.03164987607596,19,30
russell-wilson,194.5032,221.7232666015625,230.11196205803725,196.2371313257004,210.64388999632504,20,15
kenny-pickett,228.48320000000007,193.4455322265625,192.0918913044464,169.93853226027238,195.98978894782036,21,24
sam-darnold,132.23060000000004,207.6455810546875,217.53825949841595,208.64908765395867,191.51588205176557,22,31
mac-jones,185.83559999999997,191.6752197265625,185.7918842924145,176.15250741232444,184.86380285782536,23,20
marcus-mariota,93.14440000000002,225.4931640625,222.4105754251155,192.98466161405543,183.5082002754177,24,19
ryan-tannehill,121.41419999999998,206.138037109375,208.96507748749983,191.31801607769944,181.9588326686436,25,23
brock-purdy,242.65299999999988,161.74307861328126,167.90900456522007,145.02617635336958,179.33281488296768,26,28
matthew-stafford,224.6566,145.99234619140626,153.45826655377198,163.2562988648865,171.84087790251618,27,27
jacoby-brissett,70.3746,203.9627807617188,200.7994033554905,178.42021647507227,163.38925014807035,28,21
mike-white,97.89059999999998,148.12862548828124,161.95006544855326,197.66776555892045,151.40926412393873,29,32
taylor-heinicke,75.6188,162.8713623046875,169.4896708717049,163.11634392609835,142.77404427562269,30,26
baker-mayfield,85.726,165.2273681640625,169.86213106320662,149.8563892571981,142.6679721211168,31,25
desmond-ridder,133.9561999999999,148.43004150390624,132.80457772368607,133.3970809372464,137.14697504120966,32,37
bailey-zappe,113.58719999999998,136.57506103515624,138.10226969940646,155.89801119536708,136.04063548248246,33,35
tyler-huntley,70.15420000000002,152.843701171875,131.67329651684616,137.69560040327133,123.09169952299813,34,33
zach-wilson,61.96079999999999,142.0410888671875,153.54402189860423,132.1187350269288,122.41616144818012,35,29
jarrett-stidham,66.8944,128.60606689453124,135.40245021452702,150.38018929314762,120.32077660055148,36,34
colt-mccoy,64.3458,98.11726684570311,95.233325911882,120.41820279229694,94.52864888747052,37,38
gardner-minshew,26.653600000000004,78.35187377929688,100.6711826341542,72.46308522489767,69.53493540958719,38,36
