name,proj fpts,rank,last rank
jalen-hurts,23.144856454532427,1,3
josh-allen-qb,21.70286400676389,2,2
joe-burrow,21.004256624247787,3,4
daniel-jones,20.803933148360304,4,9
patrick-mahomes,20.717929219824768,5,1
trevor-lawrence,20.636360590528913,6,8
justin-fields,19.35991037778603,7,6
lamar-jackson,18.92769713620316,8,13
kyler-murray,18.403416415617848,9,18
dak-prescott,18.27175344235678,10,17
geno-smith,18.19892174070509,11,5
tua-tagovailoa,18.192860268522757,12,14
marcus-mariota,18.043340899334687,13,19
jacoby-brissett,17.851694020640274,14,21
sam-darnold,17.425818306911438,15,31
justin-herbert,17.39556635068015,16,11
jared-goff,16.747086972048272,17,10
mike-white,16.581501205575986,18,32
kirk-cousins,16.376993415313347,19,7
jimmy-garoppolo,16.355587117492373,20,22
aaron-rodgers,15.911807227578231,21,12
russell-wilson,15.737714977768201,22,15
ryan-tannehill,15.53721881576054,23,23
derek-carr,15.20053829314774,24,16
mac-jones,15.066175309252188,25,20
deshaun-watson,14.356327222780616,26,30
jarrett-stidham,13.938971955749299,27,34
kenny-pickett,13.928343609506879,28,24
matthew-stafford,13.608727446020911,29,27
taylor-heinicke,13.590066328740747,30,26
baker-mayfield,13.51295152548247,31,25
brock-purdy,13.274924510420906,32,28
zach-wilson,12.471671998469471,33,29
bailey-zappe,12.267355139129615,34,35
colt-mccoy,11.983909493851158,35,38
desmond-ridder,11.79237547088673,36,37
tyler-huntley,11.329443675792566,37,33
gardner-minshew,9.657358262716729,38,36
