name,proj fpts,rank,last rank
jalen-hurts,327.3205965205716,1,3
patrick-mahomes,327.0127642462968,2,1
josh-allen-qb,304.7266814898652,3,2
joe-burrow,299.35157185813375,4,4
lamar-jackson,273.4143595205636,5,13
geno-smith,271.952810046443,6,5
trevor-lawrence,271.045255733613,7,8
justin-herbert,262.38282767688713,8,11
jared-goff,258.5601346557812,9,10
tua-tagovailoa,256.3460696963782,10,14
justin-fields,247.89632627692458,11,6
daniel-jones,245.93437415596827,12,9
kyler-murray,243.81208666223202,13,18
dak-prescott,238.56913031940667,14,17
kirk-cousins,238.40119570962383,15,7
aaron-rodgers,229.4524967637748,16,12
jimmy-garoppolo,223.1856085132356,17,22
derek-carr,213.30305526296289,18,16
sam-darnold,208.64908765395867,19,31
mike-white,197.66776555892045,20,32
russell-wilson,196.23713132570037,21,15
marcus-mariota,192.98466161405543,22,19
ryan-tannehill,191.31801607769944,23,23
jacoby-brissett,178.42021647507227,24,21
mac-jones,176.15250741232444,25,20
deshaun-watson,175.66941293576485,26,30
kenny-pickett,169.93853226027238,27,24
matthew-stafford,163.2562988648865,28,27
taylor-heinicke,163.11634392609835,29,26
bailey-zappe,155.89801119536708,30,35
jarrett-stidham,150.38018929314762,31,34
baker-mayfield,149.8563892571981,32,25
brock-purdy,145.02617635336958,33,28
tyler-huntley,137.69560040327133,34,33
desmond-ridder,133.39708093724641,35,37
zach-wilson,132.1187350269288,36,29
colt-mccoy,120.41820279229694,37,38
gardner-minshew,72.46308522489767,38,36
