name,proj fpts,rank,last rank
jalen-hurts,25.84329833984375,1,3
justin-fields,22.54187774658203,2,6
josh-allen-qb,22.225021362304688,3,2
lamar-jackson,21.59149627685547,4,13
patrick-mahomes,21.455162048339844,5,1
joe-burrow,21.001162719726562,6,4
daniel-jones,20.939364624023437,7,9
trevor-lawrence,20.32197265625,8,8
geno-smith,19.93205871582031,9,5
justin-herbert,18.556120300292967,10,11
jared-goff,18.53070068359375,11,10
tua-tagovailoa,18.310751342773436,12,14
kyler-murray,17.749667358398437,13,18
aaron-rodgers,16.88909149169922,14,12
marcus-mariota,16.808808898925783,15,19
sam-darnold,16.6686279296875,16,31
kirk-cousins,16.551414489746094,17,7
jimmy-garoppolo,16.522183227539063,18,22
russell-wilson,16.257962036132813,19,15
dak-prescott,15.796707153320312,20,17
ryan-tannehill,15.676358032226563,21,23
derek-carr,15.304240417480468,22,16
jacoby-brissett,15.086668395996094,23,21
deshaun-watson,14.826467895507813,24,30
mac-jones,14.823635864257813,25,20
kenny-pickett,14.803164672851562,26,24
desmond-ridder,13.360450744628906,27,37
tyler-huntley,13.35028533935547,28,33
baker-mayfield,13.3036376953125,29,25
taylor-heinicke,12.904873657226563,30,26
brock-purdy,12.665838623046875,31,28
mike-white,12.64709243774414,32,32
bailey-zappe,12.599463653564452,33,35
matthew-stafford,11.902481079101562,34,27
zach-wilson,11.867239379882813,35,29
jarrett-stidham,10.543039703369141,36,34
colt-mccoy,9.660810852050782,37,38
gardner-minshew,8.397712707519531,38,36
