name,proj fpts,rank,last rank
jalen-hurts,365.00283203125,1,3
josh-allen-qb,338.34921875,2,2
patrick-mahomes,328.84658203125,3,1
lamar-jackson,323.248876953125,4,13
justin-fields,321.058544921875,5,6
joe-burrow,307.22294921875,6,4
geno-smith,293.06787109375,7,5
trevor-lawrence,289.8953857421875,8,8
daniel-jones,289.1520263671875,9,9
jared-goff,269.97529296875,10,10
justin-herbert,269.653662109375,11,11
tua-tagovailoa,261.049365234375,12,14
kyler-murray,251.4293212890625,13,18
aaron-rodgers,245.7354736328125,14,12
kirk-cousins,241.3057861328125,15,7
dak-prescott,232.0873779296875,16,17
marcus-mariota,225.4931640625,17,19
russell-wilson,221.7232666015625,18,15
derek-carr,221.46103515625,19,16
jimmy-garoppolo,219.37705078125,20,22
sam-darnold,207.6455810546875,21,31
ryan-tannehill,206.138037109375,22,23
jacoby-brissett,203.96278076171876,23,21
deshaun-watson,195.832275390625,24,30
kenny-pickett,193.4455322265625,25,24
mac-jones,191.6752197265625,26,20
baker-mayfield,165.2273681640625,27,25
taylor-heinicke,162.8713623046875,28,26
brock-purdy,161.74307861328126,29,28
tyler-huntley,152.843701171875,30,33
desmond-ridder,148.43004150390624,31,37
mike-white,148.12862548828124,32,32
matthew-stafford,145.99234619140626,33,27
zach-wilson,142.0410888671875,34,29
bailey-zappe,136.57506103515624,35,35
jarrett-stidham,128.60606689453124,36,34
colt-mccoy,98.11726684570313,37,38
gardner-minshew,78.35187377929688,38,36
