name,proj fpts,rank,last rank
austin-ekeler,17.693509538408847,1,1
josh-jacobs,15.74212535960579,2,3
nick-chubb,14.651183157089696,3,5
christian-mccaffrey,14.087256684444657,4,2
saquon-barkley,13.631450534050433,5,6
breece-hall,13.078011608858281,6,42
derrick-henry,13.043596153596127,7,4
rhamondre-stevenson,12.895221931013054,8,11
tony-pollard,12.389088218642957,9,7
miles-sanders,12.352445381797974,10,13
joe-mixon,12.351698264430784,11,12
aaron-jones,12.194769876259183,12,9
jonathan-taylor,12.167864767261921,13,34
kenneth-walker-rb,12.152027290436152,14,16
najee-harris-rb,12.13298427312801,15,14
travis-etienne,12.03138213504688,16,17
james-conner,11.941411617241938,17,20
dalvin-cook,11.188040156058884,18,10
rachaad-white,10.842305459094284,19,38
dameon-pierce,10.841798640759603,20,27
cam-akers,10.744101937542439,21,33
isiah-pacheco,10.724523936065253,22,36
dandre-swift,10.673512864995816,23,22
javonte-williams,10.472077945690073,24,64
jamaal-williams,10.419919946403006,25,8
aj-dillon,10.06126260740576,26,25
james-cook,9.79919171654633,27,44
alvin-kamara,9.422543594532726,28,18
david-montgomery,9.30123121244735,29,23
alexander-mattison,9.245416330638491,30,48
jk-dobbins,9.143418924419628,31,51
antonio-gibson,9.066892529982837,32,31
devin-singletary,8.92971747857314,33,24
leonard-fournette,8.854937728275804,34,15
tyler-allgeier,8.692100201213927,35,28
khalil-herbert,8.435270128191267,36,39
brian-robinson-jr,8.360394887424134,37,41
samaje-perine,8.151577178377277,38,37
ezekiel-elliott,8.029678229648283,39,19
damien-harris-rb,7.326727473968221,40,47
donta-foreman,7.239566855631095,41,35
rashaad-penny,7.148845413327545,42,60
raheem-mostert,7.127283016036297,43,26
jeffery-wilson,7.033565872951994,44,29
jerick-mckinnon,6.935059433082335,45,21
kenneth-gainwell,6.7052052456677895,46,52
jaylen-warren,6.662152929593117,47,50
elijah-mitchell-rb,6.561186640256636,48,62
chuba-hubbard,5.540123398342747,49,49
kareem-hunt,5.260499097939462,50,40
cordarrelle-patterson,4.884324994369232,51,30
michael-carter-rb,4.780913903053916,52,43
clyde-edwards-helaire,4.0544848221476535,53,45
latavius-murray,3.4362090291127423,54,32
gus-edwards,3.209391303418305,55,56
joshua-kelley,2.8927551126220354,56,58
matt-breida,2.4459936324656226,57,61
james-robinson,2.1313803097279944,58,46
zack-moss,1.8656163121780516,59,57
chase-edmonds,1.6148552758957848,60,54
zonovan-bam-knight,1.3476208042001545,61,59
pierre-strong-jr,1.1346186155191855,62,67
sony-michel,0.715719868715933,63,69
malik-davis,0.6788401225329785,64,65
nyheim-hines,0.6300787636815759,65,53
kyren-williams,0.28626890394392746,66,66
jamycal-hasty,-0.09712549847320773,67,55
hassan-haskins,-0.9056734159178514,68,68
travis-homer,-0.92445017063549,69,63
