name,proj fpts,rank,last rank
christian-mccaffrey,189.8871378832985,1,2
austin-ekeler,188.8784438336875,2,1
saquon-barkley,184.8005565171367,3,6
jonathan-taylor,183.21066263149604,4,34
nick-chubb,181.22780816412816,5,5
josh-jacobs,178.5949758645218,6,3
derrick-henry,178.2089075355746,7,4
tony-pollard,178.11808580309764,8,7
rhamondre-stevenson,176.08895986292487,9,11
breece-hall,173.4877223513822,10,42
najee-harris-rb,173.3770327757358,11,14
travis-etienne,169.99845766736868,12,17
kenneth-walker-rb,167.2814037013297,13,16
joe-mixon,164.6659026087842,14,12
aaron-jones,164.24416516578106,15,9
jk-dobbins,158.56282725363147,16,51
dameon-pierce,158.51695910415614,17,27
dalvin-cook,156.63073910784206,18,10
miles-sanders,156.22180262003738,19,13
cam-akers,155.70939459550922,20,33
dandre-swift,153.79638774640298,21,22
rachaad-white,151.90782439903018,22,38
alexander-mattison,150.18538992865447,23,48
james-conner,148.30685137190767,24,20
david-montgomery,146.30747970735683,25,23
isiah-pacheco,145.9807839699689,26,36
javonte-williams,144.3141639170237,27,64
james-cook,142.56148445576176,28,44
aj-dillon,138.49357758305183,29,25
alvin-kamara,135.11975838380104,30,18
antonio-gibson,134.110338924935,31,31
brian-robinson-jr,133.2626925032837,32,41
samaje-perine,132.48908051984688,33,37
jamaal-williams,127.88782916138571,34,8
khalil-herbert,127.71183930723639,35,39
damien-harris-rb,125.57266780106485,36,47
rashaad-penny,125.29991303360086,37,60
elijah-mitchell-rb,118.38581435659788,38,62
jerick-mckinnon,116.69220596587952,39,21
tyler-allgeier,113.57250316100813,40,28
donta-foreman,107.79120928724294,41,35
devin-singletary,107.18356502623851,42,24
ezekiel-elliott,102.6188079853109,43,19
kenneth-gainwell,100.76089959021564,44,52
jaylen-warren,99.99405691576364,45,50
raheem-mostert,99.6636076924977,46,26
leonard-fournette,95.66440295223492,47,15
kareem-hunt,89.8456716712475,48,40
chuba-hubbard,89.62928117070165,49,49
jeffery-wilson,89.02539039557524,50,29
cordarrelle-patterson,77.4837798859992,51,30
gus-edwards,75.75257250588015,52,56
clyde-edwards-helaire,73.35317984231308,53,45
michael-carter-rb,64.94658670950636,54,43
joshua-kelley,61.015404210692715,55,58
pierre-strong-jr,60.27457857716847,56,67
sony-michel,51.9676289889052,57,69
matt-breida,51.49871024814934,58,61
james-robinson,47.44360433063788,59,46
chase-edmonds,42.39735018300209,60,54
latavius-murray,42.082592693114435,61,32
malik-davis,40.31764540495142,62,65
zonovan-bam-knight,30.08484665926692,63,59
zack-moss,28.57478191425335,64,57
kyren-williams,27.821694013458284,65,66
nyheim-hines,24.675651635418774,66,53
hassan-haskins,12.590519657205164,67,68
jamycal-hasty,3.1605659052144404,68,55
travis-homer,1.3893540060963687,69,63
