name,proj fpts,rank
austin-ekeler,18.241360743485004,1
josh-jacobs,15.14000445328699,2
christian-mccaffrey,14.951610377807981,3
nick-chubb,14.436265677584181,4
derrick-henry,13.693557173946504,5
saquon-barkley,13.507271428296434,6
breece-hall,12.99968368139765,7
jonathan-taylor,12.969395520625026,8
tony-pollard,12.395021183568682,9
najee-harris-rb,11.982658864455004,10
aaron-jones,11.747656680300507,11
travis-etienne,11.734239146308843,12
joe-mixon,11.701883365666584,13
rhamondre-stevenson,11.659673730046913,14
dandre-swift,11.509475229320842,15
kenneth-walker-rb,11.490854892537136,16
miles-sanders,11.044491208613037,17
james-conner,10.918435574552644,18
dameon-pierce,10.579223516969103,19
cam-akers,10.206833923353138,20
jk-dobbins,9.762120856031329,21
david-montgomery,9.726952777372757,22
dalvin-cook,9.642771223552534,23
javonte-williams,9.244305335586638,24
alexander-mattison,9.226303623106688,25
rachaad-white,9.210308805213316,26
alvin-kamara,9.205071650862509,27
james-cook,9.198374906611004,28
jamaal-williams,9.165108933139727,29
isiah-pacheco,9.097987075339839,30
aj-dillon,8.952636722039033,31
antonio-gibson,8.839885949573562,32
rashaad-penny,8.819664147775567,33
samaje-perine,8.506125477855106,34
brian-robinson-jr,7.727397729417459,35
khalil-herbert,7.690254200909375,36
elijah-mitchell-rb,7.476344759901818,37
ezekiel-elliott,7.085989527777528,38
donta-foreman,7.067186562581043,39
damien-harris-rb,6.99418182276564,40
devin-singletary,6.7692233013193635,41
tyler-allgeier,6.704604814511409,42
leonard-fournette,6.570015883256716,43
jerick-mckinnon,6.43468771974869,44
raheem-mostert,6.424051307859398,45
cordarrelle-patterson,6.164018454249365,46
jeffery-wilson,5.93729147343986,47
jaylen-warren,5.627053066198502,48
kenneth-gainwell,5.463780566422488,49
michael-carter-rb,5.307230736431959,50
gus-edwards,5.152466028092661,51
chuba-hubbard,5.118744897209752,52
kareem-hunt,5.1102879368479845,53
clyde-edwards-helaire,5.1086881800965305,54
latavius-murray,4.931389586044584,55
joshua-kelley,4.49609183753826,56
pierre-strong-jr,4.2503095631596155,57
matt-breida,4.1646003332310455,58
zonovan-bam-knight,4.093080149276946,59
james-robinson,4.029885894333087,60
sony-michel,3.6740104535718054,61
zack-moss,3.5017515639599552,62
malik-davis,3.4321764168894604,63
chase-edmonds,3.241089344599908,64
kyren-williams,2.6713154153823737,65
nyheim-hines,2.328428261844519,66
hassan-haskins,2.006811711239098,67
jamycal-hasty,1.8192095147268665,68
travis-homer,0.9409791891470501,69
