name,proj fpts,rank
austin-ekeler,223.3468495196716,1
christian-mccaffrey,214.3232219975824,2
josh-jacobs,210.76080861812153,3
saquon-barkley,204.5080321705774,4
nick-chubb,196.51182224187713,5
derrick-henry,190.7020562780178,6
jonathan-taylor,180.7287031735555,7
breece-hall,177.44196430635935,8
tony-pollard,175.7283539050767,9
rhamondre-stevenson,174.18777596234293,10
kenneth-walker-rb,173.03820569855156,11
joe-mixon,167.58527404008757,12
travis-etienne,163.2116482453482,13
najee-harris-rb,161.8327742903484,14
dameon-pierce,159.30285292908863,15
miles-sanders,156.12787110370115,16
dandre-swift,155.96158319120855,17
aaron-jones,155.57575215128526,18
alvin-kamara,154.3140044362856,19
james-conner,154.12365684889016,20
dalvin-cook,153.6659196777157,21
javonte-williams,145.9028735595248,22
david-montgomery,141.73173325250272,23
antonio-gibson,136.82171594419327,24
aj-dillon,135.2868023907547,25
cam-akers,134.68316170217818,26
jk-dobbins,133.05864962900665,27
rachaad-white,131.0931830440127,28
brian-robinson-jr,130.10498640873175,29
jamaal-williams,129.93229115923862,30
isiah-pacheco,129.63097506600644,31
tyler-allgeier,129.25944801002223,32
ezekiel-elliott,123.61927577957697,33
james-cook,122.21598886142797,34
leonard-fournette,117.44936285115425,35
khalil-herbert,117.03964206836588,36
devin-singletary,116.61664617870633,37
rashaad-penny,116.03381183369288,38
samaje-perine,113.24469884705877,39
elijah-mitchell-rb,111.91251730064148,40
damien-harris-rb,108.53716376919087,41
donta-foreman,107.63916010339445,42
jeffery-wilson,106.76280207086202,43
michael-carter-rb,106.69557624797218,44
james-robinson,105.37929394020047,45
zonovan-bam-knight,104.83082197486833,46
eno-benjamin,104.47508883285869,47
alexander-mattison,103.54094952816308,48
raheem-mostert,103.52243966901032,49
deon-jackson,102.67676146086815,50
latavius-murray,102.30233133342361,51
clyde-edwards-helaire,101.23896672108495,52
jaylen-warren,97.32617371729442,53
jerick-mckinnon,95.36255482138435,54
cordarrelle-patterson,95.03689466572536,55
chuba-hubbard,94.6545078105019,56
malik-davis,93.34855959355515,57
zack-moss,93.13313082357564,58
joshua-kelley,92.7546026129663,59
gus-edwards,84.58189970530466,60
kyren-williams,84.31433207648915,61
chase-edmonds,82.97642369844766,62
kenneth-gainwell,82.87165534162345,63
kareem-hunt,81.27141288758415,64
jamycal-hasty,79.93238039039397,65
pierre-strong-jr,76.38070228573248,66
deejay-dallas,75.51037996947991,67
jordan-mason,73.9627927399679,68
justice-hill,72.76927944818145,69
matt-breida,70.46322751787018,70
hassan-haskins,66.29862819700242,71
nyheim-hines,65.88392368145689,72
sony-michel,64.95449837121168,73
travis-homer,62.72322242769946,74
raheem-blackshear,62.64570228992525,75
boston-scott,52.62604223882797,76
