name,proj fpts,rank,last rank
austin-ekeler,19.990199999999998,1,1
christian-mccaffrey,16.258599999999994,2,2
josh-jacobs,15.5354,3,3
nick-chubb,15.068399999999993,4,5
derrick-henry,14.902199999999999,5,4
saquon-barkley,14.256799999999998,6,6
jonathan-taylor,13.5832,7,34
tony-pollard,13.433199999999996,8,7
breece-hall,12.172799999999999,9,42
travis-etienne,11.6702,10,17
rhamondre-stevenson,11.6002,11,11
najee-harris-rb,11.358999999999996,12,14
joe-mixon,10.989399999999995,13,12
david-montgomery,10.9772,14,23
dandre-swift,10.783000000000001,15,22
aaron-jones,10.7316,16,9
samaje-perine,10.283199999999997,17,37
james-cook,10.207799999999995,18,44
kenneth-walker-rb,10.098799999999999,19,16
antonio-gibson,10.094599999999996,20,31
james-conner,10.026199999999998,21,20
isiah-pacheco,10.0254,22,36
miles-sanders,9.9576,23,13
rachaad-white,9.942799999999997,24,38
alvin-kamara,9.8456,25,18
dameon-pierce,9.752799999999993,26,27
jk-dobbins,9.729799999999997,27,51
cam-akers,9.648599999999998,28,33
dalvin-cook,9.6086,29,10
aj-dillon,9.434599999999998,30,25
alexander-mattison,9.335599999999996,31,48
brian-robinson-jr,9.081599999999998,32,41
zonovan-bam-knight,8.495599999999998,33,59
hassan-haskins,8.464000000000002,34,68
zack-moss,8.381800000000002,35,57
latavius-murray,8.240399999999996,36,32
javonte-williams,8.1478,37,64
james-robinson,8.092999999999998,38,46
kyren-williams,7.882600000000002,39,66
rashaad-penny,7.857200000000003,40,60
sony-michel,7.810000000000004,41,69
pierre-strong-jr,7.780800000000002,42,67
malik-davis,7.733000000000001,43,65
elijah-mitchell-rb,7.6606000000000005,44,62
khalil-herbert,7.617200000000002,45,39
michael-carter-rb,7.562599999999998,46,43
joshua-kelley,7.3834000000000035,47,58
ezekiel-elliott,7.205200000000002,48,19
damien-harris-rb,7.183000000000002,49,47
tyler-allgeier,7.1424,50,28
chase-edmonds,7.0836000000000015,51,54
matt-breida,7.077400000000004,52,61
jamaal-williams,7.0232,53,8
travis-homer,6.992400000000002,54,63
clyde-edwards-helaire,6.887599999999999,55,45
nyheim-hines,6.830800000000001,56,53
jamycal-hasty,6.6516,57,55
donta-foreman,6.551800000000002,58,35
jaylen-warren,6.420800000000002,59,50
chuba-hubbard,6.1781999999999995,60,49
gus-edwards,6.174600000000002,61,56
jeffery-wilson,6.074000000000001,62,29
cordarrelle-patterson,6.069600000000001,63,30
leonard-fournette,5.924400000000002,64,15
raheem-mostert,5.714600000000003,65,26
jerick-mckinnon,5.602400000000003,66,21
kenneth-gainwell,5.183000000000002,67,52
devin-singletary,4.9154,68,24
kareem-hunt,4.059000000000002,69,40
