name,proj fpts,rank,last rank
austin-ekeler,265.93319999999994,1,1
christian-mccaffrey,243.9084000000001,2,2
nick-chubb,233.82139999999998,3,5
josh-jacobs,218.25900000000007,4,3
saquon-barkley,212.34640000000005,5,6
jonathan-taylor,209.8982,6,34
derrick-henry,200.94559999999998,7,4
tony-pollard,182.6228,8,7
breece-hall,172.26999999999998,9,42
dandre-swift,164.51959999999997,10,22
travis-etienne,159.59820000000002,11,17
david-montgomery,156.32420000000002,12,23
joe-mixon,153.67900000000006,13,12
malik-davis,152.13739999999987,14,65
kenneth-walker-rb,150.38400000000007,15,16
zack-moss,150.14719999999983,16,57
hassan-haskins,150.10439999999988,17,68
alvin-kamara,149.688,18,18
kyren-williams,148.65219999999985,19,66
joshua-kelley,148.0793999999999,20,58
antonio-gibson,147.31700000000006,21,31
zonovan-bam-knight,146.51119999999983,22,59
james-cook,145.53720000000004,23,44
jamycal-hasty,145.18739999999985,24,55
rhamondre-stevenson,144.38960000000006,25,11
aj-dillon,144.02620000000007,26,25
travis-homer,142.8099999999999,27,63
isiah-pacheco,142.68820000000008,28,36
miles-sanders,142.68080000000006,29,13
sony-michel,142.29419999999988,30,69
pierre-strong-jr,142.2517999999999,31,67
james-robinson,142.0191999999998,32,46
najee-harris-rb,141.286,33,14
james-conner,140.80280000000002,34,20
chase-edmonds,140.01899999999992,35,54
matt-breida,137.24399999999991,36,61
rachaad-white,136.82500000000005,37,38
latavius-murray,135.76819999999992,38,32
javonte-williams,135.01520000000005,39,64
nyheim-hines,134.9977999999999,40,53
michael-carter-rb,134.48599999999993,41,43
cam-akers,130.32180000000008,42,33
alexander-mattison,129.97300000000013,43,48
samaje-perine,128.22240000000005,44,37
aaron-jones,125.88940000000002,45,9
dalvin-cook,121.60080000000002,46,10
dameon-pierce,120.37480000000005,47,27
brian-robinson-jr,115.39480000000006,48,41
tyler-allgeier,109.14599999999999,49,28
jk-dobbins,108.26920000000007,50,51
chuba-hubbard,104.68659999999996,51,49
jaylen-warren,102.14440000000002,52,50
ezekiel-elliott,101.5722,53,19
donta-foreman,98.46939999999995,54,35
clyde-edwards-helaire,97.6384,55,45
damien-harris-rb,96.0632,56,47
jamaal-williams,94.39659999999995,57,8
elijah-mitchell-rb,90.60719999999996,58,62
khalil-herbert,89.5824,59,39
rashaad-penny,87.72859999999997,60,60
jerick-mckinnon,80.40380000000003,61,21
gus-edwards,77.715,62,56
jeffery-wilson,76.86999999999998,63,29
kenneth-gainwell,74.76779999999997,64,52
raheem-mostert,73.88759999999999,65,26
devin-singletary,71.32839999999997,66,24
cordarrelle-patterson,67.82739999999998,67,30
leonard-fournette,66.61980000000003,68,15
kareem-hunt,43.40559999999998,69,40
