name,rf proj,xgb proj,enet proj,svr proj,mean proj,rank,last rank
austin-ekeler,20.384400000000007,16.19690704345703,17.693509538408847,14.42234365973748,17.303331074331616,1,1
christian-mccaffrey,16.351599999999994,15.085650634765624,14.087256684444656,14.590112506795254,15.585486511555692,2,2
josh-jacobs,15.334999999999994,14.706704711914062,15.74212535960579,14.2476011457657,15.344958931309629,3,3
nick-chubb,16.64639999999999,13.114178466796876,14.651183157089696,14.104635698563609,14.552173079484104,4,5
derrick-henry,15.845799999999992,13.155552673339844,13.043596153596129,14.494107760998451,14.31147875032297,5,4
saquon-barkley,14.380599999999998,14.682432556152344,13.631450534050432,13.237986075332824,14.202643005743925,6,6
breece-hall,12.769199999999998,12.113348388671875,13.07801160885828,11.740408289972745,13.094571791808916,7,42
tony-pollard,13.7688,12.614173126220702,12.389088218642955,12.355645108359193,12.956650016362929,8,7
kenneth-walker-rb,11.544999999999993,13.186735534667967,12.152027290436152,12.01429000267831,12.48551294543111,9,16
jonathan-taylor,14.054799999999997,12.297652435302734,12.16786476726192,10.959594206293174,12.375143723393878,10,34
rhamondre-stevenson,11.398199999999996,13.138003540039062,12.895221931013054,10.811465173864445,12.180137872721549,11,11
joe-mixon,10.166199999999998,12.398538208007812,12.351698264430784,10.968065433786371,11.948430602415788,12,12
najee-harris-rb,11.232599999999994,12.799658203125,12.13298427312801,11.59417645091238,11.928442010895422,13,14
aaron-jones,9.993399999999998,11.163607025146485,12.194769876259183,11.230698866208032,11.470235841532284,14,9
miles-sanders,10.2052,11.890664672851562,12.352445381797974,11.595163585854756,11.44204558425198,15,13
dameon-pierce,9.847999999999995,12.29424057006836,10.841798640759604,11.15484159907162,11.398793880797797,16,27
travis-etienne,11.7526,10.845231628417968,12.03138213504688,10.460018331711549,11.36797260163603,17,17
dalvin-cook,9.241599999999996,11.57342987060547,11.188040156058884,11.553945159775402,11.226339817621662,18,10
dandre-swift,11.4648,10.649305725097657,10.673512864995816,9.742221284092231,11.20353616207396,19,22
james-conner,9.738999999999995,11.144400787353517,11.941411617241938,9.982868537919664,10.956451065969205,20,20
alvin-kamara,9.677199999999996,10.382718658447263,9.422543594532726,9.436273644492124,10.531495489124593,21,18
jamaal-williams,6.675600000000001,11.111573791503906,10.419919946403006,12.158174466526454,10.105478948907638,22,8
cam-akers,10.0528,10.062577819824218,10.74410193754244,9.552971220201773,10.027811931655894,23,33
david-montgomery,11.426799999999997,9.216905975341795,9.30123121244735,8.467456559896425,9.871504021166508,24,23
javonte-williams,8.022399999999998,10.26217269897461,10.472077945690073,8.588720122986095,9.738125494165203,25,64
antonio-gibson,10.7232,9.080311584472655,9.066892529982836,7.531456143244992,9.566083558884568,26,31
jk-dobbins,8.861599999999992,10.342117309570312,9.143418924419628,9.52164754912382,9.5600879469191,27,51
ezekiel-elliott,7.520599999999999,9.757536315917967,8.029678229648283,10.090360484400067,9.430683614946732,28,19
aj-dillon,9.594599999999996,9.210934448242188,10.06126260740576,8.148967763322917,9.36416636828279,29,25
isiah-pacheco,9.6528,8.317325592041016,10.724523936065252,8.377018458559776,9.267159028376616,30,36
brian-robinson-jr,8.267799999999998,9.69783935546875,8.360394887424134,9.408570788658842,9.187950501204158,31,41
rachaad-white,9.777799999999996,9.134701538085938,10.842305459094284,7.246702807906145,9.147108965112716,32,38
tyler-allgeier,7.4716,8.650255584716797,8.692100201213927,9.060549784426474,9.111684177124044,33,28
leonard-fournette,5.7882,9.09862060546875,8.854937728275804,7.443439047670765,8.675801882785073,34,15
james-cook,9.578999999999995,7.336875915527344,9.79919171654633,7.054533841012109,8.463914496667858,35,44
khalil-herbert,6.9654000000000025,8.50889892578125,8.435270128191267,8.845907348945872,8.37956606200939,36,39
samaje-perine,9.571399999999995,7.362899017333984,8.151577178377277,7.018136627778065,8.348126011386114,37,37
rashaad-penny,7.402200000000002,8.701122283935547,7.148845413327545,8.795263788777417,8.24694638512193,38,60
devin-singletary,4.552000000000001,8.543144226074219,8.92971747857314,7.500596554974431,8.067145388974119,39,24
elijah-mitchell-rb,7.224400000000003,8.554410552978515,6.561186640256636,8.200448145030705,7.892677260986211,40,62
alexander-mattison,9.747799999999994,6.721932220458984,9.245416330638491,6.999854505787877,7.855439512645643,41,48
donta-foreman,6.824000000000001,7.87866439819336,7.239566855631095,8.602984292240947,7.820884479983739,42,35
clyde-edwards-helaire,7.845599999999997,7.240003967285157,4.0544848221476535,7.1602663856881446,7.793329172411785,43,45
jerick-mckinnon,5.894000000000001,7.03716812133789,6.935059433082335,8.528983933065373,7.6801672003846,44,21
jeffery-wilson,5.779599999999999,7.271399688720703,7.033565872951994,7.442154362257187,7.592414845257566,45,29
damien-harris-rb,6.9572,7.615665435791016,7.326727473968221,6.821530485807725,7.367716180086132,46,47
james-robinson,8.455799999999996,6.70904541015625,2.1313803097279944,6.926199424510193,7.295014714746679,47,46
