name,rf proj,xgb proj,enet proj,svr proj,mean proj,rank,last rank
austin-ekeler,265.93319999999994,203.1615478515625,188.8784438336875,202.7955949844468,223.3468495196716,1,1
christian-mccaffrey,243.9084000000001,197.36162109375,189.8871378832985,197.16224784927425,214.3232219975824,2,2
josh-jacobs,218.25900000000007,198.3397216796875,178.5949758645218,205.29550210573692,210.76080861812156,3,3
saquon-barkley,212.34640000000005,197.70128173828124,184.8005565171367,201.20508792678476,204.5080321705774,4,6
nick-chubb,233.8214,174.16368408203124,181.22780816412816,195.2513002373944,196.51182224187716,5,5
derrick-henry,200.9456,176.09892578125,178.2089075355746,201.1996752705982,190.7020562780178,6,4
jonathan-taylor,209.8982,172.886279296875,183.21066263149604,163.05589292243477,180.7287031735555,7,34
breece-hall,172.26999999999998,169.21165771484374,173.4877223513822,166.31750889609123,177.44196430635935,8,42
tony-pollard,182.6228,166.24716796875,178.11808580309764,177.75699363325307,175.7283539050767,9,7
rhamondre-stevenson,144.38960000000006,180.1184814453125,176.08895986292487,170.38809322162834,174.18777596234293,10,11
kenneth-walker-rb,150.38400000000007,180.51793212890624,167.2814037013297,177.94223231575236,173.03820569855156,11,16
joe-mixon,153.67900000000006,165.394140625,164.6659026087842,165.248231514409,167.58527404008757,12,12
travis-etienne,159.59820000000002,155.00941162109376,169.99845766736868,155.28119889908172,163.2116482453482,13,17
najee-harris-rb,141.286,170.58294677734375,173.3770327757358,165.81732757450916,161.8327742903484,14,14
dameon-pierce,120.37480000000004,173.699609375,158.51695910415614,163.25872179068782,159.30285292908863,15,27
miles-sanders,142.68080000000006,157.22293701171876,156.22180262003738,166.98521038820982,156.12787110370115,16,13
dandre-swift,164.51959999999997,144.2401611328125,153.79638774640298,140.77877243221204,155.96158319120855,17,22
aaron-jones,125.88940000000002,151.518017578125,164.24416516578106,161.7352929111304,155.57575215128526,18,9
alvin-kamara,149.688,146.86434326171874,135.11975838380104,144.34357954225655,154.3140044362856,19,18
james-conner,140.80280000000002,149.61961669921874,148.30685137190767,156.82038227281694,154.12365684889016,20,20
dalvin-cook,121.60080000000002,155.87655029296874,156.63073910784206,170.72407561444996,153.6659196777157,21,10
javonte-williams,135.01520000000005,153.84765625,144.3141639170237,122.20458146963576,145.9028735595248,22,64
david-montgomery,156.32420000000002,128.84150390625,146.30747970735683,130.95722051136207,141.73173325250272,23,23
antonio-gibson,147.31700000000006,127.155810546875,134.110338924935,118.5283496108099,136.82171594419327,24,31
aj-dillon,144.02620000000007,127.04373779296876,138.49357758305183,127.44316772306344,135.2868023907547,25,25
cam-akers,130.32180000000008,137.5275634765625,155.70939459550922,134.5489339794499,134.68316170217818,26,33
jk-dobbins,108.26920000000008,145.3339111328125,158.56282725363147,137.41521931463788,133.05864962900665,27,51
rachaad-white,136.82500000000005,128.4811767578125,151.90782439903018,110.36032918572052,131.0931830440127,28,38
brian-robinson-jr,115.39480000000006,139.9153564453125,133.2626925032837,128.23170746295798,130.10498640873175,29,41
jamaal-williams,94.39659999999996,139.6430908203125,127.88782916138572,162.23065492737206,129.93229115923862,30,8
isiah-pacheco,142.68820000000008,118.632666015625,145.9807839699689,114.36487517522656,129.63097506600644,31,36
tyler-allgeier,109.146,126.985791015625,113.57250316100811,126.1179844666855,129.25944801002225,32,28
ezekiel-elliott,101.5722,126.6017578125,102.6188079853109,143.02327163647433,123.61927577957697,33,19
james-cook,145.53720000000004,106.5772216796875,142.56148445576176,100.29059246651278,122.21598886142796,34,44
leonard-fournette,66.61980000000003,124.8343505859375,95.66440295223492,120.70533185285868,117.44936285115423,35,15
khalil-herbert,89.5824,120.70179443359376,127.7118393072364,125.24107251291892,117.03964206836588,36,39
devin-singletary,71.32839999999997,120.18499755859376,107.18356502623853,123.43538873387276,116.61664617870632,37,24
