name,proj fpts,rank,last rank
christian-mccaffrey,14.590112506795254,1,2
derrick-henry,14.494107760998451,2,4
austin-ekeler,14.422343659737479,3,1
josh-jacobs,14.2476011457657,4,3
nick-chubb,14.104635698563609,5,5
saquon-barkley,13.237986075332824,6,6
tony-pollard,12.355645108359191,7,7
jamaal-williams,12.158174466526454,8,8
kenneth-walker-rb,12.01429000267831,9,16
breece-hall,11.740408289972745,10,42
miles-sanders,11.595163585854756,11,13
najee-harris-rb,11.594176450912379,12,14
dalvin-cook,11.553945159775402,13,10
aaron-jones,11.230698866208032,14,9
dameon-pierce,11.15484159907162,15,27
joe-mixon,10.968065433786371,16,12
jonathan-taylor,10.959594206293174,17,34
rhamondre-stevenson,10.811465173864445,18,11
travis-etienne,10.460018331711549,19,17
ezekiel-elliott,10.090360484400069,20,19
james-conner,9.982868537919664,21,20
dandre-swift,9.742221284092233,22,22
cam-akers,9.552971220201773,23,33
jk-dobbins,9.52164754912382,24,51
alvin-kamara,9.436273644492125,25,18
brian-robinson-jr,9.408570788658842,26,41
tyler-allgeier,9.060549784426474,27,28
khalil-herbert,8.845907348945872,28,39
rashaad-penny,8.795263788777417,29,60
donta-foreman,8.602984292240947,30,35
javonte-williams,8.588720122986095,31,64
jerick-mckinnon,8.528983933065373,32,21
david-montgomery,8.467456559896425,33,23
isiah-pacheco,8.377018458559776,34,36
elijah-mitchell-rb,8.200448145030705,35,62
aj-dillon,8.148967763322917,36,25
antonio-gibson,7.531456143244992,37,31
devin-singletary,7.500596554974431,38,24
leonard-fournette,7.443439047670765,39,15
jeffery-wilson,7.442154362257187,40,29
raheem-mostert,7.3383773344319705,41,26
rachaad-white,7.246702807906145,42,38
clyde-edwards-helaire,7.1602663856881446,43,45
gus-edwards,7.137309726912656,44,56
james-cook,7.054533841012109,45,44
cordarrelle-patterson,7.052314764870597,46,30
samaje-perine,7.018136627778065,47,37
alexander-mattison,6.999854505787877,48,48
james-robinson,6.926199424510193,49,46
damien-harris-rb,6.821530485807725,50,47
latavius-murray,6.003368523508205,51,32
zonovan-bam-knight,5.754713858362184,52,59
chuba-hubbard,5.428430252051459,53,49
zack-moss,5.338892659410984,54,57
kareem-hunt,5.236369953646651,55,40
malik-davis,5.218210265528583,56,65
kenneth-gainwell,5.1876657252330025,57,52
pierre-strong-jr,5.1273577772371155,58,67
jaylen-warren,5.042991627433816,59,50
hassan-haskins,4.952647578083088,60,68
joshua-kelley,4.417757622200046,61,58
michael-carter-rb,4.4000038741669485,62,43
kyren-williams,4.3829058842719455,63,66
sony-michel,4.364570894649633,64,69
jamycal-hasty,4.262273832444295,65,55
chase-edmonds,4.249401422722364,66,54
matt-breida,3.975705680915469,67,61
nyheim-hines,3.905735976653748,68,53
travis-homer,3.3688565654618152,69,63
