name,proj fpts,rank,last rank
josh-jacobs,205.29550210573694,1,3
austin-ekeler,202.7955949844468,2,1
saquon-barkley,201.20508792678473,3,6
derrick-henry,201.1996752705982,4,4
christian-mccaffrey,197.16224784927422,5,2
nick-chubb,195.25130023739442,6,5
kenneth-walker-rb,177.94223231575236,7,16
tony-pollard,177.75699363325307,8,7
dalvin-cook,170.72407561444996,9,10
rhamondre-stevenson,170.38809322162834,10,11
miles-sanders,166.98521038820982,11,13
breece-hall,166.31750889609125,12,42
najee-harris-rb,165.81732757450916,13,14
joe-mixon,165.248231514409,14,12
dameon-pierce,163.25872179068782,15,27
jonathan-taylor,163.05589292243477,16,34
jamaal-williams,162.23065492737206,17,8
aaron-jones,161.73529291113041,18,9
james-conner,156.82038227281694,19,20
travis-etienne,155.28119889908172,20,17
alvin-kamara,144.34357954225655,21,18
ezekiel-elliott,143.02327163647433,22,19
dandre-swift,140.77877243221204,23,22
jk-dobbins,137.41521931463788,24,51
cam-akers,134.5489339794499,25,33
david-montgomery,130.95722051136207,26,23
rashaad-penny,129.06356228171128,27,60
brian-robinson-jr,128.23170746295798,28,41
aj-dillon,127.44316772306345,29,25
tyler-allgeier,126.1179844666855,30,28
khalil-herbert,125.24107251291892,31,39
devin-singletary,123.43538873387277,32,24
javonte-williams,122.20458146963577,33,64
raheem-mostert,120.88816069002965,34,26
leonard-fournette,120.70533185285868,35,15
cordarrelle-patterson,119.68165177088761,36,30
antonio-gibson,118.5283496108099,37,31
jeffery-wilson,117.05473992624448,38,29
elijah-mitchell-rb,115.30332110098098,39,62
donta-foreman,114.96116462698879,40,35
isiah-pacheco,114.36487517522656,41,36
rachaad-white,110.36032918572053,42,38
damien-harris-rb,106.55752125517225,43,47
samaje-perine,101.88770390267828,44,37
jerick-mckinnon,101.76210983936133,45,21
latavius-murray,100.9350685539678,46,32
james-cook,100.29059246651278,47,44
clyde-edwards-helaire,95.10857144897719,48,45
gus-edwards,90.66749092282444,49,56
james-robinson,89.60170731413965,50,46
alexander-mattison,88.739724294235,51,48
kareem-hunt,87.1069212580218,52,40
chuba-hubbard,76.0870051721337,53,49
michael-carter-rb,76.06139529301711,54,43
jaylen-warren,75.53319995535722,55,50
zonovan-bam-knight,74.41856450858953,56,59
kenneth-gainwell,70.34333788360757,57,52
zack-moss,62.74288760506524,58,57
joshua-kelley,59.99349070861458,59,58
malik-davis,57.51253637293305,60,65
chase-edmonds,56.406641645894204,61,54
jamycal-hasty,46.891351121872304,62,55
matt-breida,41.5167723071402,63,61
kyren-williams,36.734462254230635,64,66
pierre-strong-jr,35.42852067670756,65,67
sony-michel,32.20452043915023,66,69
nyheim-hines,22.30032641708047,67,53
travis-homer,18.666643601457878,68,63
hassan-haskins,16.954272969641835,69,68
