name,proj fpts,rank,last rank
austin-ekeler,18.198149108886717,1,1
josh-jacobs,15.304043579101563,2,3
jonathan-taylor,14.54884033203125,3,34
nick-chubb,14.442951965332032,4,5
saquon-barkley,14.395785522460937,5,6
christian-mccaffrey,14.304034423828124,6,2
najee-harris-rb,13.185791015625,7,14
joe-mixon,13.173249816894531,8,12
derrick-henry,13.078334045410156,9,4
breece-hall,12.971296691894532,10,42
kenneth-walker-rb,12.963720703125,11,16
dameon-pierce,12.962263488769532,12,27
travis-etienne,12.3209228515625,13,17
rhamondre-stevenson,12.316280364990234,14,11
james-conner,12.046515655517577,15,20
aaron-jones,11.966067504882812,16,9
dandre-swift,11.91924819946289,17,22
tony-pollard,11.694161224365235,18,7
miles-sanders,11.35125274658203,19,13
javonte-williams,10.863853454589844,20,64
cam-akers,10.785980224609375,21,33
dalvin-cook,10.330101013183594,22,10
jamaal-williams,10.214456176757812,23,8
rachaad-white,10.165298461914062,24,38
aj-dillon,10.014763641357423,25,25
jk-dobbins,9.805047607421875,26,51
david-montgomery,9.496185302734375,27,23
alexander-mattison,9.334719848632812,28,48
isiah-pacheco,9.233883666992188,29,36
james-cook,8.978213500976562,30,44
rashaad-penny,8.969970703125,31,60
antonio-gibson,8.931427001953125,32,31
alvin-kamara,8.562483215332032,33,18
devin-singletary,8.253484344482422,34,24
brian-robinson-jr,8.224710083007812,35,41
khalil-herbert,8.05187759399414,36,39
samaje-perine,7.574178314208984,37,37
damien-harris-rb,7.5368904113769535,38,47
elijah-mitchell-rb,7.223761749267578,39,62
tyler-allgeier,7.179640197753907,40,28
ezekiel-elliott,7.175221252441406,41,19
leonard-fournette,6.83532943725586,42,15
raheem-mostert,6.739454650878907,43,26
donta-foreman,6.53013916015625,44,35
jeffery-wilson,6.388031005859375,45,29
cordarrelle-patterson,6.248133850097656,46,30
jerick-mckinnon,5.789559936523437,47,21
kenneth-gainwell,5.562731170654297,48,52
jaylen-warren,5.249196624755859,49,50
kareem-hunt,5.063251113891601,50,40
michael-carter-rb,4.684917449951172,51,43
clyde-edwards-helaire,4.4610740661621096,52,45
gus-edwards,3.922674560546875,53,56
latavius-murray,3.916471481323242,54,32
chuba-hubbard,3.7123390197753907,55,49
matt-breida,2.7667221069335937,56,61
joshua-kelley,2.688915252685547,57,58
zonovan-bam-knight,2.68267707824707,58,59
james-robinson,2.3934207916259767,59,46
pierre-strong-jr,2.216347312927246,60,67
sony-michel,1.3094892501831055,61,69
zack-moss,1.195388126373291,62,57
malik-davis,1.1179868698120117,63,65
chase-edmonds,0.8868658065795898,64,54
nyheim-hines,0.7390915870666503,65,53
kyren-williams,-0.5845825672149658,66,66
jamycal-hasty,-0.8682048797607422,67,55
hassan-haskins,-1.90368709564209,68,68
travis-homer,-2.345906639099121,69,63
