name,proj fpts,rank,last rank
austin-ekeler,203.1615478515625,1,1
josh-jacobs,198.3397216796875,2,3
saquon-barkley,197.70128173828124,3,6
christian-mccaffrey,197.36162109375,4,2
kenneth-walker-rb,180.51793212890624,5,16
rhamondre-stevenson,180.1184814453125,6,11
derrick-henry,176.09892578125,7,4
nick-chubb,174.16368408203124,8,5
dameon-pierce,173.699609375,9,27
jonathan-taylor,172.886279296875,10,34
najee-harris-rb,170.58294677734375,11,14
breece-hall,169.21165771484374,12,42
tony-pollard,166.24716796875,13,7
joe-mixon,165.394140625,14,12
miles-sanders,157.22293701171876,15,13
dalvin-cook,155.87655029296874,16,10
travis-etienne,155.00941162109376,17,17
javonte-williams,153.84765625,18,64
aaron-jones,151.518017578125,19,9
james-conner,149.61961669921874,20,20
alvin-kamara,146.86434326171874,21,18
jk-dobbins,145.3339111328125,22,51
dandre-swift,144.2401611328125,23,22
brian-robinson-jr,139.9153564453125,24,41
jamaal-williams,139.6430908203125,25,8
cam-akers,137.5275634765625,26,33
david-montgomery,128.84150390625,27,23
rachaad-white,128.4811767578125,28,38
antonio-gibson,127.155810546875,29,31
aj-dillon,127.04373779296876,30,25
tyler-allgeier,126.985791015625,31,28
ezekiel-elliott,126.6017578125,32,19
leonard-fournette,124.8343505859375,33,15
rashaad-penny,124.80904541015624,34,60
elijah-mitchell-rb,121.721875,35,62
khalil-herbert,120.70179443359375,36,39
devin-singletary,120.18499755859375,37,24
isiah-pacheco,118.632666015625,38,36
donta-foreman,109.9424560546875,39,35
damien-harris-rb,109.87825927734374,40,47
james-cook,106.5772216796875,41,44
jeffery-wilson,103.64310302734376,42,29
samaje-perine,99.1310302734375,43,37
clyde-edwards-helaire,99.11422119140624,44,45
raheem-mostert,97.87089233398437,45,26
james-robinson,95.37985229492188,46,46
zonovan-bam-knight,93.56270141601563,47,59
alexander-mattison,91.043408203125,48,48
cordarrelle-patterson,90.3947265625,49,30
gus-edwards,89.3892333984375,50,56
jerick-mckinnon,87.551513671875,51,21
michael-carter-rb,87.0260986328125,52,43
chuba-hubbard,85.14886474609375,53,49
jaylen-warren,84.478466796875,54,50
kareem-hunt,82.99379272460938,55,40
kenneth-gainwell,77.67257080078124,56,52
latavius-murray,73.53955078125,57,32
malik-davis,67.82227783203125,58,65
zack-moss,67.23462524414063,59,57
joshua-kelley,66.73504028320312,60,58
pierre-strong-jr,56.21395263671875,61,67
kyren-williams,54.994921875,62,66
chase-edmonds,54.222900390625,63,54
jamycal-hasty,47.031256103515624,64,55
hassan-haskins,38.5979736328125,65,68
sony-michel,38.590084838867185,66,69
matt-breida,37.077490234375,67,61
nyheim-hines,32.53755187988281,68,53
travis-homer,26.693023681640625,69,63
