name,proj fpts,rank,last rank
austin-ekeler,19.096991910962636,1,1
josh-jacobs,17.48403950362577,2,3
christian-mccaffrey,16.482044639917035,3,2
dandre-swift,14.7913024724662,4,21
aaron-jones,14.688448767268715,5,9
joe-mixon,14.440455345170466,6,10
saquon-barkley,14.416709965074777,7,5
derrick-henry,13.939842795090481,8,4
rhamondre-stevenson,13.660294836136908,9,7
breece-hall,13.5798442266258,10,42
nick-chubb,13.556026326327162,11,6
travis-etienne,13.133976162043206,12,17
kenneth-walker-rb,13.06760845859164,13,18
dameon-pierce,12.837503585429413,14,27
james-conner,12.80003066518616,15,19
jonathan-taylor,12.799998438760975,16,33
miles-sanders,12.07511683651731,17,15
tony-pollard,11.963040815828201,18,8
leonard-fournette,11.851697245664836,19,12
najee-harris-rb,11.758291472507764,20,14
alvin-kamara,11.45760213426312,21,16
dalvin-cook,11.100595260842171,22,11
devin-singletary,10.857446170171725,23,23
cam-akers,10.852987742369738,24,35
isiah-pacheco,10.82580568427487,25,37
javonte-williams,10.823662315631944,26,67
tyler-allgeier,10.747744346149043,27,29
antonio-gibson,10.492851364079796,28,28
david-montgomery,10.352004851341762,29,24
jamaal-williams,10.304955342312793,30,13
jk-dobbins,10.222767988597163,31,55
rachaad-white,9.988612226100837,32,36
aj-dillon,9.973117140096724,33,26
rashaad-penny,9.858466040274129,34,62
james-cook,9.807374470382797,35,44
jeffery-wilson,9.745165464634216,36,30
khalil-herbert,9.40729859612537,37,41
ezekiel-elliott,9.180766874614584,38,22
clyde-edwards-helaire,9.04840301902897,39,45
michael-carter-rb,9.039453800836537,40,40
jerick-mckinnon,8.965161286651416,41,20
donta-foreman,8.939960336638144,42,38
raheem-mostert,8.87179378073597,43,25
brian-robinson-jr,8.703911463348788,44,43
samaje-perine,8.550975005666832,45,34
jaylen-warren,8.292350410197963,46,46
cordarrelle-patterson,8.251165500479658,47,31
damien-harris-rb,8.178826950883055,48,47
chuba-hubbard,8.065085682562437,49,52
kareem-hunt,7.78974337530659,50,39
alexander-mattison,7.554771786728571,51,50
eno-benjamin,7.397123912597598,52,48
latavius-murray,7.352294910182772,53,32
kenneth-gainwell,7.309264066587741,54,51
james-robinson,7.045358899118604,55,49
zack-moss,6.874512484227106,56,59
elijah-mitchell-rb,6.782561712871927,57,65
joshua-kelley,6.267687501710416,58,58
deon-jackson,6.0095447725346025,59,53
kyren-williams,5.8498418548790845,60,71
gus-edwards,5.452517606535406,61,61
malik-davis,5.20766448348912,62,69
justice-hill,5.107837140757119,63,68
jordan-mason,4.9517565982684015,64,70
matt-breida,4.852721802431453,65,60
chase-edmonds,4.844277691842084,66,56
nyheim-hines,4.582720595053883,67,54
deejay-dallas,4.570106503852287,68,63
pierre-strong-jr,4.465190792722816,69,72
jamycal-hasty,4.310281541268182,70,57
boston-scott,3.5327598181921402,71,64
raheem-blackshear,3.5181665343456663,72,66
hassan-haskins,3.330554756386589,73,73
sony-michel,2.1947330126649423,74,74
