name,proj fpts,rank,last rank
austin-ekeler,221.49705524267716,1,1
josh-jacobs,221.14901068706163,2,3
christian-mccaffrey,218.86061904730528,3,2
saquon-barkley,206.7793590172436,4,5
breece-hall,201.9686906145024,5,42
rhamondre-stevenson,201.85492918243085,6,7
joe-mixon,186.01972402094117,7,10
derrick-henry,184.5640240602231,8,4
kenneth-walker-rb,183.30865834954756,9,18
aaron-jones,183.16029811588555,10,9
travis-etienne,182.95778246121728,11,17
nick-chubb,182.81090464808287,12,6
dameon-pierce,179.87828055066663,13,27
jonathan-taylor,177.07444047491222,14,33
alvin-kamara,176.360094941167,15,16
tony-pollard,176.2864540183036,16,8
dandre-swift,174.30779919980964,17,21
javonte-williams,172.54405651846338,18,67
najee-harris-rb,169.64482280954067,19,14
james-conner,169.25182842352493,20,19
dalvin-cook,166.46225280344407,21,11
leonard-fournette,157.6379689658208,22,12
miles-sanders,157.622537014876,23,15
tyler-allgeier,154.78801655777843,24,29
antonio-gibson,154.28570361908817,25,28
devin-singletary,151.51779842235882,26,23
david-montgomery,150.80400859239882,27,24
rachaad-white,148.70622623251776,28,36
isiah-pacheco,142.8381590731741,29,37
aj-dillon,142.63410404698647,30,26
jk-dobbins,141.2162680685762,31,55
brian-robinson-jr,136.8780817266565,32,43
james-cook,136.4589412995116,33,44
cam-akers,136.3343493527002,34,35
khalil-herbert,132.63330132695083,35,41
jeffery-wilson,129.4833653298599,36,30
michael-carter-rb,129.2088110660592,37,40
jaylen-warren,127.14862811694547,38,46
samaje-perine,123.73766121211929,39,34
jamaal-williams,123.45881888926996,40,13
ezekiel-elliott,123.27987366933353,41,22
rashaad-penny,122.534039642904,42,62
damien-harris-rb,121.6496745442475,43,47
raheem-mostert,121.4431056520273,44,25
elijah-mitchell-rb,120.01767310158498,45,65
clyde-edwards-helaire,113.09467424395639,46,45
chuba-hubbard,112.6955613237802,47,52
jerick-mckinnon,111.73279577430102,48,20
kareem-hunt,111.57933756770544,49,39
kenneth-gainwell,108.70291268210501,50,51
donta-foreman,107.18361973190153,51,38
eno-benjamin,104.47508883285869,52,48
alexander-mattison,104.40766561529219,53,50
deon-jackson,102.67676146086815,54,53
cordarrelle-patterson,102.24380032951383,55,31
latavius-murray,98.96650599847672,56,32
kyren-williams,96.87574417672612,57,71
joshua-kelley,96.21047946004757,58,58
malik-davis,95.92202416925642,59,69
james-robinson,94.51641615174056,60,49
zack-moss,92.40781044509689,61,59
chase-edmonds,81.25715275727153,62,56
jamycal-hasty,80.61951433618808,63,57
gus-edwards,80.5558744999567,64,61
deejay-dallas,75.51037996947991,65,63
jordan-mason,73.9627927399679,66,70
nyheim-hines,73.7000164288644,67,54
justice-hill,72.76927944818145,68,68
pierre-strong-jr,71.62853582950373,69,72
matt-breida,66.01464752996559,70,60
raheem-blackshear,62.64570228992525,71,66
hassan-haskins,59.53786618555544,72,73
boston-scott,52.62604223882797,73,64
sony-michel,46.72918820682946,74,74
