name,proj fpts,rank
austin-ekeler,19.165551315338796,1
christian-mccaffrey,17.320158596859518,2
josh-jacobs,15.693327470649876,3
breece-hall,15.171395033131132,4
nick-chubb,14.360952218749581,5
saquon-barkley,14.120622739224856,6
derrick-henry,14.003277255711746,7
kenneth-walker-rb,13.642848668113368,8
tony-pollard,13.424983114971832,9
joe-mixon,13.264514366789507,10
dandre-swift,13.137742928083215,11
travis-etienne,13.076208467192815,12
jonathan-taylor,12.977321660155747,13
aaron-jones,12.950596701194065,14
rhamondre-stevenson,12.750244014153894,15
najee-harris-rb,12.429937175860308,16
dameon-pierce,12.394340810472096,17
james-conner,11.93484271826568,18
jk-dobbins,10.97547047012874,19
miles-sanders,10.803674947505066,20
alvin-kamara,10.770210186630214,21
dalvin-cook,10.43461568338554,22
david-montgomery,10.33705783049391,23
javonte-williams,10.335325486364518,24
rashaad-penny,10.33469337018785,25
cam-akers,10.25774054910117,26
antonio-gibson,10.154833642143556,27
isiah-pacheco,9.850629503008195,28
rachaad-white,9.799728565579798,29
elijah-mitchell-rb,9.742492171559151,30
khalil-herbert,9.614716788227893,31
tyler-allgeier,9.532333558557589,32
james-cook,9.510630654683071,33
aj-dillon,9.352299428281666,34
devin-singletary,9.217434692764279,35
jamaal-williams,9.165497502373386,36
brian-robinson-jr,8.895448731335048,37
samaje-perine,8.840074575968808,38
leonard-fournette,8.7818019541059,39
alexander-mattison,8.74589132499605,40
donta-foreman,8.514713147128928,41
jeffery-wilson,8.175017202840602,42
damien-harris-rb,8.041729615820467,43
jerick-mckinnon,7.921805183848534,44
raheem-mostert,7.87047792933339,45
kenneth-gainwell,7.850255082971569,46
jaylen-warren,7.805861689292644,47
clyde-edwards-helaire,7.705205768512667,48
ezekiel-elliott,7.630602661840181,49
michael-carter-rb,7.0188226651800605,50
chuba-hubbard,6.876407712094083,51
gus-edwards,6.782112649341158,52
cordarrelle-patterson,6.7487334581161464,53
latavius-murray,6.185311343796877,54
kareem-hunt,6.093299139109335,55
james-robinson,6.038310949872732,56
malik-davis,5.936128016438134,57
zack-moss,5.855932232056968,58
eno-benjamin,5.704100327185524,59
jordan-mason,5.491830844129467,60
kyren-williams,5.483519569951433,61
joshua-kelley,5.464622704765316,62
deon-jackson,4.985364056456833,63
chase-edmonds,4.974348692488827,64
jamycal-hasty,4.755462149815346,65
pierre-strong-jr,4.002942030105857,66
matt-breida,3.597083961593036,67
nyheim-hines,3.493654372350844,68
justice-hill,3.371112171148662,69
boston-scott,3.3231025143303476,70
deejay-dallas,2.8964983198193557,71
raheem-blackshear,2.689236772095287,72
hassan-haskins,2.5778108701757536,73
sony-michel,2.508652696072742,74
