name,proj fpts,rank
austin-ekeler,243.08437559039774,1
christian-mccaffrey,236.92437063315552,2
josh-jacobs,215.97049260998938,3
saquon-barkley,209.5801504787421,4
breece-hall,204.429918430643,5
nick-chubb,201.41289865780683,6
kenneth-walker-rb,193.56871329183258,7
derrick-henry,192.2767927161002,8
rhamondre-stevenson,189.96644851832457,9
tony-pollard,184.71253934944482,10
joe-mixon,183.22114025791979,11
dandre-swift,182.31469233622846,12
travis-etienne,179.50184187599177,13
jonathan-taylor,178.12997283865442,14
aaron-jones,174.23581485163442,15
najee-harris-rb,172.416422054102,16
dameon-pierce,170.0733355619829,17
dalvin-cook,162.05979406633304,18
miles-sanders,160.8993685200823,19
alvin-kamara,159.0436331767731,20
james-conner,156.3467194382938,21
david-montgomery,151.94555481489863,22
rachaad-white,147.18511299224502,23
isiah-pacheco,146.36917663979014,24
javonte-williams,146.35447013605526,25
antonio-gibson,145.7310985352907,26
cam-akers,143.36937856198853,27
james-cook,140.68698856433264,28
aj-dillon,140.11977371571277,29
tyler-allgeier,139.36417182891836,30
jk-dobbins,137.90042329386975,31
devin-singletary,136.6260791005658,32
jamaal-williams,133.47769629340917,33
ezekiel-elliott,129.02978456727354,34
leonard-fournette,127.33650665494639,35
khalil-herbert,124.50502402749453,36
brian-robinson-jr,123.2684562786027,37
samaje-perine,118.95956924971026,38
alexander-mattison,118.46893490163622,39
raheem-mostert,117.25509528513155,40
jaylen-warren,116.81584097069118,41
jeffery-wilson,116.55009814059616,42
jerick-mckinnon,114.97398583449873,43
kenneth-gainwell,114.72435879915395,44
elijah-mitchell-rb,114.53477643778032,45
damien-harris-rb,114.14955182361291,46
rashaad-penny,113.29011978614713,47
donta-foreman,113.10379986131804,48
chuba-hubbard,108.20662377768173,49
cordarrelle-patterson,100.96281817170563,50
michael-carter-rb,96.84183629398638,51
clyde-edwards-helaire,93.64902691977917,52
latavius-murray,92.53786852410897,53
kareem-hunt,90.99368804360438,54
gus-edwards,87.70901968892383,55
zack-moss,82.54787647994199,56
eno-benjamin,76.2764704801966,57
james-robinson,76.23114916137074,58
malik-davis,76.0314051880596,59
deon-jackson,75.18998346525258,60
joshua-kelley,74.52509271076764,61
kyren-williams,74.00618969276613,62
jordan-mason,73.52255559289793,63
jamycal-hasty,71.70515466300435,64
chase-edmonds,64.94870365799778,65
pierre-strong-jr,56.90895817594844,66
deejay-dallas,53.94764889559791,67
justice-hill,53.635237283450394,68
matt-breida,53.413904771547486,69
nyheim-hines,52.17608440639227,70
boston-scott,51.27060535407386,71
raheem-blackshear,49.20144013062055,72
hassan-haskins,42.49251843253836,73
sony-michel,33.98557178322709,74
