name,proj fpts,rank,last rank
austin-ekeler,23.044199999999993,1,1
christian-mccaffrey,19.706799999999994,2,2
nick-chubb,16.154600000000002,3,6
derrick-henry,15.805800000000005,4,4
josh-jacobs,15.298599999999997,5,3
breece-hall,15.2636,6,42
tony-pollard,14.530200000000002,7,8
saquon-barkley,14.424199999999995,8,5
jonathan-taylor,13.975799999999992,9,33
kenneth-walker-rb,13.341,10,18
travis-etienne,12.859999999999996,11,17
najee-harris-rb,12.838399999999998,12,14
joe-mixon,12.268600000000001,13,10
alexander-mattison,12.171199999999994,14,50
dandre-swift,11.9556,15,21
aaron-jones,11.942199999999998,16,9
rhamondre-stevenson,11.746,17,7
jk-dobbins,11.665,18,55
isiah-pacheco,11.547600000000005,19,37
cam-akers,11.529399999999997,20,35
james-cook,11.527199999999999,21,44
miles-sanders,11.237199999999998,22,15
david-montgomery,11.1476,23,24
dameon-pierce,10.829200000000004,24,27
james-conner,10.746,25,19
rachaad-white,10.5768,26,36
kenneth-gainwell,10.445799999999997,27,51
javonte-williams,10.2608,28,67
rashaad-penny,9.945799999999998,29,62
elijah-mitchell-rb,9.640599999999996,30,65
dalvin-cook,9.489400000000003,31,11
aj-dillon,9.4432,32,26
antonio-gibson,9.322599999999998,33,28
alvin-kamara,8.975,34,16
donta-foreman,8.6996,35,38
khalil-herbert,8.372799999999998,36,41
tyler-allgeier,8.175800000000002,37,29
jaylen-warren,8.148000000000001,38,46
samaje-perine,8.147800000000002,39,34
jamaal-williams,8.072799999999999,40,13
jerick-mckinnon,8.018999999999997,41,20
chuba-hubbard,7.959800000000001,42,52
damien-harris-rb,7.915399999999998,43,47
brian-robinson-jr,7.810199999999997,44,43
devin-singletary,7.770000000000003,45,23
raheem-mostert,7.444600000000001,46,25
ezekiel-elliott,6.864599999999996,47,22
leonard-fournette,6.294399999999998,48,12
gus-edwards,6.2315999999999985,49,61
jeffery-wilson,5.519599999999999,50,30
zack-moss,5.441000000000001,51,59
cordarrelle-patterson,5.312,52,31
jordan-mason,5.120599999999998,53,70
jamycal-hasty,5.077399999999998,54,57
michael-carter-rb,4.870799999999998,55,40
latavius-murray,4.557000000000002,56,32
kyren-williams,4.445799999999999,57,71
matt-breida,4.317599999999999,58,60
clyde-edwards-helaire,4.294,59,45
malik-davis,4.207600000000001,60,69
chase-edmonds,3.9565999999999995,61,56
kareem-hunt,3.9156,62,39
joshua-kelley,3.7617999999999996,63,58
deon-jackson,3.6852000000000005,64,53
deejay-dallas,3.5134,65,63
pierre-strong-jr,3.4711999999999996,66,72
eno-benjamin,3.418400000000001,67,48
nyheim-hines,3.239,68,54
boston-scott,2.8844000000000003,69,64
justice-hill,2.7744,70,68
james-robinson,2.7342000000000004,71,49
sony-michel,2.3718000000000004,72,74
hassan-haskins,1.6994000000000007,73,73
raheem-blackshear,1.2282000000000006,74,66
