name,proj fpts,rank,last rank
austin-ekeler,305.704,1,1
christian-mccaffrey,288.1710000000002,2,2
nick-chubb,230.00519999999997,3,6
breece-hall,228.65,4,42
saquon-barkley,214.8092000000001,5,5
josh-jacobs,209.35700000000003,6,3
kenneth-walker-rb,205.1828,7,18
jonathan-taylor,203.5114,8,33
dandre-swift,203.0492,9,21
derrick-henry,189.34680000000003,10,4
joe-mixon,179.62780000000006,11,10
rachaad-white,179.55319999999998,12,36
isiah-pacheco,174.43900000000002,13,37
tony-pollard,173.19820000000004,14,8
travis-etienne,172.13180000000006,15,17
james-cook,170.6392,16,44
alexander-mattison,170.46360000000004,17,50
najee-harris-rb,169.91260000000005,18,14
rhamondre-stevenson,166.79360000000005,19,7
aaron-jones,163.73580000000007,20,9
david-montgomery,162.83319999999998,21,24
cam-akers,158.85880000000006,22,35
kenneth-gainwell,156.79100000000008,23,51
miles-sanders,152.44420000000008,24,15
dameon-pierce,152.16980000000007,25,27
javonte-williams,151.86740000000006,26,67
jk-dobbins,146.46820000000008,27,55
antonio-gibson,141.14159999999998,28,28
alvin-kamara,130.8574,29,16
aj-dillon,130.50180000000006,30,26
dalvin-cook,128.4456,31,11
james-conner,128.31620000000004,32,19
chuba-hubbard,128.11939999999987,33,52
jaylen-warren,121.76359999999995,34,46
samaje-perine,121.3146,35,34
donta-foreman,120.59359999999997,36,38
damien-harris-rb,114.402,37,47
jerick-mckinnon,113.72199999999998,38,20
elijah-mitchell-rb,110.9366,39,65
ezekiel-elliott,110.7116,40,22
tyler-allgeier,107.74599999999994,41,29
raheem-mostert,103.74799999999996,42,25
brian-robinson-jr,101.94079999999998,43,43
devin-singletary,101.57479999999995,44,23
rashaad-penny,99.83420000000001,45,62
jamaal-williams,98.65119999999995,46,13
khalil-herbert,96.05619999999998,47,41
gus-edwards,92.47879999999999,48,61
jordan-mason,77.55460000000001,49,70
zack-moss,76.66279999999998,50,59
jeffery-wilson,73.85880000000002,51,30
leonard-fournette,70.13980000000002,52,12
cordarrelle-patterson,69.60940000000001,53,31
latavius-murray,64.16459999999998,54,32
jamycal-hasty,58.46780000000003,55,57
kyren-williams,57.602400000000024,56,71
kareem-hunt,53.351600000000005,57,39
matt-breida,49.733999999999995,58,60
malik-davis,45.491,59,69
joshua-kelley,42.99620000000001,60,58
pierre-strong-jr,41.899600000000014,61,72
boston-scott,40.878600000000006,62,64
deon-jackson,39.181799999999996,63,53
michael-carter-rb,38.63440000000001,64,40
clyde-edwards-helaire,36.17980000000001,65,45
deejay-dallas,33.38720000000001,66,63
nyheim-hines,33.165,67,54
chase-edmonds,32.398799999999994,68,56
justice-hill,32.21679999999999,69,68
eno-benjamin,31.9894,70,48
raheem-blackshear,31.658399999999993,71,66
hassan-haskins,28.8474,72,73
sony-michel,25.7408,73,74
james-robinson,23.486800000000006,74,49
