name,rf proj,xgb proj,enet proj,svr proj,mean proj,rank,last rank
austin-ekeler,305.704,222.985546875,221.4970552426772,222.15090024391372,243.0843755903977,1,1
christian-mccaffrey,288.1710000000002,226.1220703125,218.86061904730528,214.5437931728166,236.92437063315552,2,2
josh-jacobs,209.35700000000003,213.4833984375,221.14901068706163,219.89256131539588,215.97049260998935,3,3
saquon-barkley,214.8092000000001,206.8729736328125,206.7793590172436,209.85906926491216,209.5801504787421,4,5
breece-hall,228.65,210.8224365234375,201.9686906145024,176.27854658463207,204.429918430643,5,42
nick-chubb,230.0052,184.4071044921875,182.81090464808287,208.428385490957,201.41289865780683,6,6
kenneth-walker-rb,205.1828,192.03448486328125,183.3086583495476,193.7489099545016,193.56871329183255,7,18
derrick-henry,189.34680000000003,188.9292724609375,184.5640240602231,206.26707434324013,192.2767927161002,8,4
rhamondre-stevenson,166.79360000000003,200.38360595703125,201.85492918243085,190.83365893383612,189.96644851832457,9,7
tony-pollard,173.19820000000004,188.1792724609375,176.2864540183036,201.18623091853817,184.7125393494448,10,8
joe-mixon,179.62780000000006,183.509814453125,186.0197240209412,183.72722255761292,183.22114025791976,11,10
dandre-swift,203.0492,180.883935546875,174.30779919980964,171.01783459822914,182.3146923362285,12,21
travis-etienne,172.13180000000006,185.0825439453125,182.95778246121728,177.83524109743732,179.50184187599177,13,17
jonathan-taylor,203.5114,170.8864501953125,177.07444047491222,161.047600684393,178.12997283865442,14,33
aaron-jones,163.73580000000007,174.2455322265625,183.16029811588555,175.80162906408952,174.23581485163442,15,9
najee-harris-rb,169.91260000000003,172.01317138671874,169.64482280954067,178.0950940201485,172.416422054102,16,14
dameon-pierce,152.16980000000007,178.4020751953125,179.87828055066663,169.84318650195237,170.0733355619829,17,27
dalvin-cook,128.4456,169.41822509765626,166.46225280344407,183.91309836423187,162.05979406633304,18,11
miles-sanders,152.44420000000008,156.73946533203124,157.622537014876,176.79127173342195,160.8993685200823,19,15
alvin-kamara,130.8574,171.5156494140625,176.360094941167,157.44138835186297,159.0436331767731,20,16
james-conner,128.31620000000004,162.5308349609375,169.25182842352493,165.28801436871277,156.3467194382938,21,19
david-montgomery,162.83319999999998,151.4752197265625,150.80400859239882,142.66979094063328,151.94555481489863,22,24
rachaad-white,179.55319999999998,143.80880126953124,148.70622623251776,116.67222446693113,147.18511299224502,23,36
isiah-pacheco,174.43900000000002,139.0315185546875,142.8381590731741,129.16802893129898,146.36917663979014,24,37
javonte-williams,151.86740000000006,153.175830078125,172.54405651846338,107.83059394763256,146.35447013605526,25,67
antonio-gibson,141.14159999999998,153.2964599609375,154.28570361908817,134.20063056113713,145.7310985352907,26,28
cam-akers,158.85880000000006,139.2419677734375,136.3343493527002,139.0423971218164,143.36937856198853,27,35
james-cook,170.6392,138.11512451171876,136.4589412995116,117.53468844610022,140.68698856433264,28,44
aj-dillon,130.50180000000006,146.001416015625,142.6341040469865,141.34177480023948,140.11977371571277,29,26
tyler-allgeier,107.74599999999994,150.63310546875,154.78801655777843,144.28956528914506,139.36417182891836,30,29
jk-dobbins,146.46820000000008,139.72021484375,141.2162680685762,124.19701026315272,137.90042329386975,31,55
devin-singletary,101.57479999999995,149.66278076171875,151.51779842235882,143.74893721818566,136.6260791005658,32,23
jamaal-williams,98.65119999999996,135.24239501953124,123.45881888926996,176.55837126483547,133.47769629340917,33,13
ezekiel-elliott,110.7116,126.6920166015625,123.27987366933353,155.4356479981981,129.02978456727354,34,22
leonard-fournette,70.13980000000002,146.0311279296875,157.6379689658208,135.53712972427726,127.3365066549464,35,12
khalil-herbert,96.05619999999998,135.74285888671875,132.63330132695083,133.58773589630857,124.50502402749451,36,41
brian-robinson-jr,101.94079999999998,132.9713134765625,136.8780817266565,121.2836299111918,123.2684562786027,37,43
samaje-perine,121.3146,122.67540283203124,123.73766121211928,108.11061295469048,118.95956924971026,38,34
alexander-mattison,170.46360000000004,106.71536865234376,104.4076656152922,92.28910533890888,118.46893490163622,39,50
raheem-mostert,103.74799999999996,117.2258544921875,121.4431056520273,126.60342099631146,117.25509528513156,40,25
jaylen-warren,121.76359999999995,125.35928955078126,127.14862811694547,92.99184621503804,116.81584097069118,41,46
jeffery-wilson,73.85880000000002,130.26690673828125,129.4833653298599,132.5913204942435,116.55009814059616,42,30
jerick-mckinnon,113.72199999999998,116.1549072265625,111.73279577430102,118.28624033713145,114.97398583449872,43,20
kenneth-gainwell,156.79100000000008,109.45706787109376,108.702912682105,83.94645464341696,114.72435879915396,44,51
elijah-mitchell-rb,110.9366,122.66685791015624,120.01767310158498,104.51797473938004,114.53477643778032,45,65
damien-harris-rb,114.402,119.53885498046876,121.6496745442475,101.00767776973537,114.14955182361292,46,47
rashaad-penny,99.8342,119.613671875,122.534039642904,111.17856762668453,113.29011978614712,47,62
donta-foreman,120.59359999999997,106.2781005859375,107.18361973190152,118.3598791274332,113.10379986131804,48,38
chuba-hubbard,128.11939999999987,109.7501953125,112.6955613237802,82.2613384744468,108.20662377768171,49,52
cordarrelle-patterson,69.60940000000001,103.5943359375,102.24380032951385,128.4037364198087,100.96281817170563,50,31
michael-carter-rb,38.63440000000001,125.89549560546877,129.2088110660592,93.62863850441757,96.84183629398638,51,40
clyde-edwards-helaire,36.17980000000001,118.8489501953125,113.0946742439564,106.47268323984778,93.64902691977916,52,45
latavius-murray,64.16459999999998,93.489599609375,98.96650599847672,113.5307684885842,92.53786852410896,53,32
kareem-hunt,53.351600000000005,108.37623291015623,111.57933756770544,90.6675816965558,90.99368804360438,54,39
gus-edwards,92.4788,86.69278564453126,80.5558744999567,91.10861861120736,87.70901968892383,55,61
zack-moss,76.66279999999998,86.57303466796876,92.40781044509689,74.54786080670236,82.54787647994199,56,59
eno-benjamin,31.9894,101.72546997070312,104.47508883285867,66.91592311722454,76.2764704801966,57,48
james-robinson,23.48680000000001,96.21600341796876,94.51641615174056,90.70537707577364,76.23114916137074,58,49
malik-davis,45.491,99.69376220703126,95.92202416925642,63.01883437595069,76.0314051880596,59,69
deon-jackson,39.1818,96.14068603515624,102.67676146086816,62.76068636498592,75.18998346525258,60,53
joshua-kelley,42.99620000000001,95.19083251953126,96.21047946004757,63.7028588634917,74.52509271076764,61,58
kyren-williams,57.60240000000002,92.1703369140625,96.87574417672612,49.37627768027589,74.00618969276613,62,71
jordan-mason,77.55460000000001,77.12633666992187,73.9627927399679,65.44649296170192,73.52255559289793,63,70
jamycal-hasty,58.46780000000003,82.48688354492188,80.61951433618808,65.24642077090745,71.70515466300435,64,57
chase-edmonds,32.398799999999994,84.48639526367188,81.25715275727153,61.652466611047714,64.94870365799778,65,56
pierre-strong-jr,41.899600000000014,71.42218017578125,71.62853582950373,42.68551669850878,56.90895817594844,66,72
deejay-dallas,33.38720000000001,67.1734130859375,75.51037996947991,39.7196025269742,53.94764889559791,67,63
justice-hill,32.21679999999999,65.21056518554687,72.76927944818145,44.34430450007325,53.6352372834504,68,68
matt-breida,49.734,58.80867919921875,66.01464752996559,39.0982923570056,53.413904771547486,69,60
nyheim-hines,33.165,66.27785034179688,73.7000164288644,35.56147085490781,52.17608440639227,70,54
boston-scott,40.878600000000006,54.51981811523437,52.62604223882797,57.05796106223308,51.27060535407386,71,64
raheem-blackshear,31.658399999999997,63.661859130859376,62.64570228992525,38.839799101697565,49.20144013062055,72,66
hassan-haskins,28.8474,52.07044677734375,59.53786618555544,29.51436076725424,42.49251843253836,73,73
sony-michel,25.7408,41.69566955566406,46.72918820682946,21.77662937041481,33.98557178322709,74,74
