name,proj fpts,rank,last rank
christian-mccaffrey,15.793893162149937,1,2
derrick-henry,15.73540048751261,2,4
austin-ekeler,15.723051258531402,3,1
breece-hall,15.347594163791673,4,42
josh-jacobs,15.30639367045357,5,3
nick-chubb,14.66932470535246,6,6
tony-pollard,13.732304617902196,7,8
saquon-barkley,13.537503116132683,8,5
kenneth-walker-rb,13.055011175855594,9,18
dandre-swift,12.644068133374056,10,21
travis-etienne,12.57472866785432,11,17
joe-mixon,12.133079394313498,12,10
dalvin-cook,11.89436599666249,13,11
aaron-jones,11.742678899682879,14,9
rhamondre-stevenson,11.720450322939195,15,7
jamaal-williams,11.694942355469397,16,13
dameon-pierce,11.47767109662522,17,27
miles-sanders,11.168088597662452,18,15
najee-harris-rb,11.041507843377623,19,14
james-conner,10.873509411974066,20,19
jonathan-taylor,10.705325274270875,21,33
alvin-kamara,10.582123921934105,22,16
tyler-allgeier,10.296335766355533,23,29
ezekiel-elliott,9.689889474575148,24,22
jerick-mckinnon,9.61829242162404,25,20
david-montgomery,9.616636961439351,26,24
isiah-pacheco,9.594376869498571,27,37
khalil-herbert,9.509952114416695,28,41
jk-dobbins,9.479517841353516,29,55
antonio-gibson,9.315183658484141,30,28
javonte-williams,9.211967826442367,31,67
cam-akers,9.125620690931001,32,35
james-cook,9.077553807898605,33,44
devin-singletary,8.880888763658243,34,23
aj-dillon,8.873684574797803,35,26
rashaad-penny,8.729064525260014,36,62
brian-robinson-jr,8.603625768020995,37,43
leonard-fournette,8.571510704757033,38,12
elijah-mitchell-rb,8.552227766193504,39,65
clyde-edwards-helaire,8.49385290696877,40,45
jeffery-wilson,8.321642083081763,41,30
samaje-perine,7.816956606982471,42,34
rachaad-white,7.777255366150401,43,36
cordarrelle-patterson,7.712149046491315,44,31
jaylen-warren,7.5449161036715795,45,46
raheem-mostert,7.517801465494065,46,25
donta-foreman,7.0697563687383465,47,38
damien-harris-rb,6.955397280790947,48,47
alexander-mattison,6.877794794287787,49,50
malik-davis,6.742514157447175,50,69
michael-carter-rb,6.73216353341962,51,40
latavius-murray,6.536358286580134,52,32
kenneth-gainwell,6.498207380855909,53,51
chuba-hubbard,6.333443474254917,54,52
gus-edwards,6.323268978870274,55,61
kyren-williams,6.094699115072185,56,71
james-robinson,5.982867399562185,57,49
kareem-hunt,5.578826502041057,58,39
jordan-mason,5.467455154289073,59,70
joshua-kelley,5.329048736297741,60,58
eno-benjamin,5.327990878977451,61,48
zack-moss,4.964357831631855,62,59
chase-edmonds,4.684239855086615,63,56
jamycal-hasty,4.669184819900249,64,57
deon-jackson,4.614592966015946,65,53
pierre-strong-jr,4.524019002421124,66,72
raheem-blackshear,3.914891341969829,67,66
boston-scott,3.6373559079390425,68,64
nyheim-hines,3.6338758081020486,69,54
justice-hill,3.507466346016077,70,68
deejay-dallas,3.369828183893418,71,63
hassan-haskins,2.9224612738183584,72,73
matt-breida,2.82542728784148,73,60
sony-michel,2.527185806800169,74,74
