name,proj fpts,rank,last rank
austin-ekeler,222.15090024391375,1,1
josh-jacobs,219.89256131539588,2,3
christian-mccaffrey,214.5437931728166,3,2
saquon-barkley,209.85906926491216,4,5
nick-chubb,208.428385490957,5,6
derrick-henry,206.26707434324013,6,4
tony-pollard,201.18623091853817,7,8
kenneth-walker-rb,193.74890995450158,8,18
rhamondre-stevenson,190.83365893383615,9,7
dalvin-cook,183.91309836423187,10,11
joe-mixon,183.72722255761295,11,10
najee-harris-rb,178.0950940201485,12,14
travis-etienne,177.83524109743732,13,17
miles-sanders,176.79127173342195,14,15
jamaal-williams,176.55837126483547,15,13
breece-hall,176.27854658463207,16,42
aaron-jones,175.80162906408952,17,9
dandre-swift,171.01783459822914,18,21
dameon-pierce,169.84318650195237,19,27
james-conner,165.28801436871277,20,19
jonathan-taylor,161.047600684393,21,33
alvin-kamara,157.44138835186297,22,16
ezekiel-elliott,155.4356479981981,23,22
tyler-allgeier,144.28956528914506,24,29
devin-singletary,143.74893721818566,25,23
david-montgomery,142.66979094063328,26,24
aj-dillon,141.34177480023948,27,26
cam-akers,139.0423971218164,28,35
leonard-fournette,135.53712972427726,29,12
antonio-gibson,134.20063056113713,30,28
khalil-herbert,133.58773589630857,31,41
jeffery-wilson,132.5913204942435,32,30
isiah-pacheco,129.16802893129898,33,37
cordarrelle-patterson,128.4037364198087,34,31
raheem-mostert,126.60342099631146,35,25
jk-dobbins,124.19701026315272,36,55
brian-robinson-jr,121.28362991119181,37,43
donta-foreman,118.35987912743319,38,38
jerick-mckinnon,118.28624033713143,39,20
james-cook,117.53468844610022,40,44
rachaad-white,116.67222446693113,41,36
latavius-murray,113.53076848858419,42,32
rashaad-penny,111.17856762668453,43,62
samaje-perine,108.11061295469048,44,34
javonte-williams,107.83059394763256,45,67
clyde-edwards-helaire,106.47268323984778,46,45
elijah-mitchell-rb,104.51797473938004,47,65
damien-harris-rb,101.00767776973535,48,47
michael-carter-rb,93.62863850441755,49,40
jaylen-warren,92.99184621503804,50,46
alexander-mattison,92.28910533890888,51,50
gus-edwards,91.10861861120736,52,61
james-robinson,90.70537707577363,53,49
kareem-hunt,90.66758169655581,54,39
kenneth-gainwell,83.94645464341696,55,51
chuba-hubbard,82.2613384744468,56,52
zack-moss,74.54786080670236,57,59
eno-benjamin,66.91592311722454,58,48
jordan-mason,65.44649296170192,59,70
jamycal-hasty,65.24642077090745,60,57
joshua-kelley,63.7028588634917,61,58
malik-davis,63.01883437595069,62,69
deon-jackson,62.760686364985915,63,53
chase-edmonds,61.652466611047714,64,56
boston-scott,57.05796106223308,65,64
kyren-williams,49.37627768027589,66,71
justice-hill,44.34430450007325,67,68
pierre-strong-jr,42.68551669850878,68,72
deejay-dallas,39.7196025269742,69,63
matt-breida,39.098292357005604,70,60
raheem-blackshear,38.839799101697565,71,66
nyheim-hines,35.56147085490781,72,54
hassan-haskins,29.514360767254242,73,73
sony-michel,21.77662937041481,74,74
