name,proj fpts,rank,last rank
austin-ekeler,17.381632995605468,1,1
christian-mccaffrey,17.00011291503906,2,2
breece-hall,15.825999450683593,3,42
josh-jacobs,15.780667114257813,4,3
saquon-barkley,15.21065673828125,5,5
rhamondre-stevenson,14.321089172363282,6,7
derrick-henry,14.08876953125,7,4
kenneth-walker-rb,14.07611083984375,8,18
tony-pollard,14.03985137939453,9,8
nick-chubb,13.670326232910156,10,6
joe-mixon,13.592803955078125,11,10
dandre-swift,13.301617431640626,12,21
dameon-pierce,12.9502685546875,13,27
travis-etienne,12.84915771484375,14,17
najee-harris-rb,12.726014709472656,15,14
aaron-jones,12.584645080566407,16,9
dalvin-cook,12.424691772460937,17,11
alvin-kamara,12.238433837890625,18,16
jonathan-taylor,12.217876434326172,19,33
james-conner,12.162393951416016,20,19
miles-sanders,11.57915802001953,21,15
javonte-williams,10.919918823242188,22,67
antonio-gibson,10.904598999023438,23,28
leonard-fournette,10.764493560791015,24,12
david-montgomery,10.671598052978515,25,24
jamaal-williams,10.633831024169922,26,13
devin-singletary,10.576190185546874,27,23
tyler-allgeier,10.510657501220702,28,29
jk-dobbins,10.305137634277344,29,55
aj-dillon,10.289218139648437,30,26
cam-akers,9.981661987304687,31,35
rachaad-white,9.896118927001954,32,36
ezekiel-elliott,9.816014862060547,33,22
khalil-herbert,9.72287368774414,34,41
brian-robinson-jr,9.543851470947265,35,43
isiah-pacheco,9.497220611572265,36,37
clyde-edwards-helaire,9.291812896728516,37,45
jeffery-wilson,9.25399398803711,38,30
james-cook,9.215955352783203,39,44
elijah-mitchell-rb,9.200575256347657,40,65
rashaad-penny,8.938159942626953,41,62
jerick-mckinnon,8.809036254882812,42,20
samaje-perine,8.697511291503906,43,34
michael-carter-rb,8.620814514160156,44,40
damien-harris-rb,8.401103210449218,45,47
raheem-mostert,8.260868072509766,46,25
jaylen-warren,8.161927032470704,47,46
cordarrelle-patterson,7.8413856506347654,48,31
james-robinson,7.532499694824219,49,49
donta-foreman,7.488114929199218,50,38
chuba-hubbard,7.391259002685547,51,52
kareem-hunt,7.363909912109375,52,39
kenneth-gainwell,7.278887176513672,53,51
alexander-mattison,7.1662445068359375,54,50
malik-davis,7.062600708007812,55,69
eno-benjamin,7.062142181396484,56,48
deon-jackson,6.933018493652344,57,53
latavius-murray,6.840724945068359,58,32
joshua-kelley,6.4473426818847654,59,58
gus-edwards,6.408610534667969,60,61
kyren-williams,6.167897033691406,61,71
zack-moss,5.922871017456055,62,59
jamycal-hasty,5.838536071777344,63,57
chase-edmonds,5.83099594116211,64,56
jordan-mason,5.150762939453125,65,70
pierre-strong-jr,4.73392333984375,66,72
raheem-blackshear,4.356529235839844,67,66
deejay-dallas,4.288410186767578,68,63
nyheim-hines,4.1965782165527346,69,54
justice-hill,4.094596862792969,70,68
boston-scott,3.5939579010009766,71,64
matt-breida,3.520842742919922,72,60
hassan-haskins,3.2779380798339846,73,73
sony-michel,2.58450984954834,74,74
