name,proj fpts,rank,last rank
christian-mccaffrey,226.1220703125,1,2
austin-ekeler,222.985546875,2,1
josh-jacobs,213.4833984375,3,3
breece-hall,210.8224365234375,4,42
saquon-barkley,206.8729736328125,5,5
rhamondre-stevenson,200.38360595703125,6,7
kenneth-walker-rb,192.03448486328125,7,18
derrick-henry,188.9292724609375,8,4
tony-pollard,188.1792724609375,9,8
travis-etienne,185.0825439453125,10,17
nick-chubb,184.4071044921875,11,6
joe-mixon,183.509814453125,12,10
dandre-swift,180.883935546875,13,21
dameon-pierce,178.4020751953125,14,27
aaron-jones,174.2455322265625,15,9
najee-harris-rb,172.01317138671874,16,14
alvin-kamara,171.5156494140625,17,16
jonathan-taylor,170.8864501953125,18,33
dalvin-cook,169.41822509765626,19,11
james-conner,162.5308349609375,20,19
miles-sanders,156.73946533203124,21,15
antonio-gibson,153.2964599609375,22,28
javonte-williams,153.175830078125,23,67
david-montgomery,151.4752197265625,24,24
tyler-allgeier,150.63310546875,25,29
devin-singletary,149.66278076171875,26,23
leonard-fournette,146.0311279296875,27,12
aj-dillon,146.001416015625,28,26
rachaad-white,143.80880126953124,29,36
jk-dobbins,139.72021484375,30,55
cam-akers,139.2419677734375,31,35
isiah-pacheco,139.0315185546875,32,37
james-cook,138.11512451171876,33,44
khalil-herbert,135.74285888671875,34,41
jamaal-williams,135.24239501953124,35,13
brian-robinson-jr,132.9713134765625,36,43
jeffery-wilson,130.26690673828125,37,30
ezekiel-elliott,126.6920166015625,38,22
michael-carter-rb,125.89549560546875,39,40
jaylen-warren,125.35928955078126,40,46
samaje-perine,122.67540283203125,41,34
elijah-mitchell-rb,122.66685791015625,42,65
rashaad-penny,119.613671875,43,62
damien-harris-rb,119.53885498046876,44,47
clyde-edwards-helaire,118.8489501953125,45,45
raheem-mostert,117.2258544921875,46,25
jerick-mckinnon,116.1549072265625,47,20
chuba-hubbard,109.7501953125,48,52
kenneth-gainwell,109.45706787109376,49,51
kareem-hunt,108.37623291015625,50,39
alexander-mattison,106.71536865234376,51,50
donta-foreman,106.2781005859375,52,38
cordarrelle-patterson,103.5943359375,53,31
eno-benjamin,101.72546997070313,54,48
malik-davis,99.69376220703126,55,69
james-robinson,96.21600341796875,56,49
deon-jackson,96.14068603515625,57,53
joshua-kelley,95.19083251953126,58,58
latavius-murray,93.489599609375,59,32
kyren-williams,92.1703369140625,60,71
gus-edwards,86.69278564453126,61,61
zack-moss,86.57303466796876,62,59
chase-edmonds,84.48639526367188,63,56
jamycal-hasty,82.48688354492188,64,57
jordan-mason,77.12633666992187,65,70
pierre-strong-jr,71.42218017578125,66,72
deejay-dallas,67.1734130859375,67,63
nyheim-hines,66.27785034179688,68,54
justice-hill,65.21056518554687,69,68
raheem-blackshear,63.661859130859376,70,66
matt-breida,58.80867919921875,71,60
boston-scott,54.51981811523437,72,64
hassan-haskins,52.07044677734375,73,73
sony-michel,41.69566955566406,74,74
