name,proj fpts,rank,last rank
travis-kelce,10.953755769271627,1,1
mark-andrews,9.232638492375793,2,4
dallas-goedert,9.164126660332233,3,12
tj-hockenson,8.979122301089909,4,2
george-kittle,8.794154913468198,5,3
pat-freiermuth,8.230761609875122,6,8
darren-waller,8.141395964905504,7,27
evan-engram,8.007102919880294,8,6
david-njoku,7.930440565269092,9,13
kyle-pitts,7.742151790720451,10,31
greg-dulcich,7.533012685407412,11,29
dalton-schultz,7.299394681689256,12,10
tyler-higbee,7.1242702535584455,13,9
gerald-everett,6.909095439711391,14,15
chigoziem-okonkwo,6.889205312166707,15,23
cole-kmet,6.826534593583785,16,7
juwan-johnson,6.760074858396038,17,11
zach-ertz,6.692791773119964,18,18
dawson-knox,6.648977643485701,19,14
hunter-henry,6.270672585301149,20,20
hayden-hurst,6.239082734047917,21,21
tyler-conklin,6.182432887659354,22,16
noah-fant,5.937476181192556,23,17
irv-smith-jr,5.897550413417895,24,37
mike-gesicki,5.782882736533436,25,22
isaiah-likely,5.74892832466016,26,25
jelani-woods,5.709339812338116,27,30
daniel-bellinger,5.496225183704784,28,32
trey-mcbride,5.384863831564866,29,36
cade-otton,5.349063916836228,30,26
logan-thomas,5.327061232496472,31,33
austin-hooper,5.263922448944854,32,24
robert-tonyan,5.119615174999583,33,19
will-dissly,4.966248759412902,34,28
colby-parkinson,4.954061634880448,35,34
jake-ferguson,4.911997589928569,36,38
noah-gray,4.668182989471839,37,35
taysom-hill,4.420849412072137,38,5
