name,proj fpts,rank,last rank
taysom-hill,151.64069520217654,1,5
travis-kelce,147.38862678889458,2,1
mark-andrews,124.62861245649444,3,4
tj-hockenson,123.67085535217294,4,2
george-kittle,123.52758784454382,5,3
dallas-goedert,119.3805837510153,6,12
pat-freiermuth,113.22815194095622,7,8
david-njoku,110.3275802314848,8,13
evan-engram,109.48679857030534,9,6
kyle-pitts,108.0634107011958,10,31
darren-waller,107.91257803432265,11,27
greg-dulcich,105.485815301458,12,29
tyler-higbee,104.11823419134848,13,9
dalton-schultz,103.94759271960781,14,10
zach-ertz,103.33257769451328,15,18
daniel-bellinger,102.9777178505121,16,32
cole-kmet,100.4897427378579,17,7
gerald-everett,100.30382420165994,18,15
juwan-johnson,99.55021042478369,19,11
chigoziem-okonkwo,97.16099257083157,20,23
dawson-knox,96.6558897843773,21,14
tyler-conklin,93.2402304696805,22,16
hayden-hurst,92.80573059808312,23,21
hunter-henry,92.4068092417285,24,20
noah-fant,88.49854348652549,25,17
jelani-woods,88.47045831603336,26,30
isaiah-likely,88.0147211963564,27,25
noah-gray,86.071809736076,28,35
irv-smith-jr,85.2024932923676,29,37
mike-gesicki,84.5920065414892,30,22
austin-hooper,83.99252024343461,31,24
robert-tonyan,83.84132119882638,32,19
logan-thomas,82.47612341994272,33,33
cade-otton,82.12303417247047,34,26
colby-parkinson,80.44409730072542,35,34
will-dissly,79.97797994115514,36,28
trey-mcbride,75.66318999053485,37,36
jake-ferguson,73.39664960905964,38,38
