name,proj fpts,rank
travis-kelce,11.901750303591564,1
taysom-hill,11.786577179320853,2
mark-andrews,9.523704355094514,3
tj-hockenson,9.018601374348522,4
dallas-goedert,8.860767602667552,5
george-kittle,8.748948885632304,6
evan-engram,8.373070953980474,7
pat-freiermuth,8.083340513302053,8
kyle-pitts,8.009508725273825,9
david-njoku,7.99552410740818,10
chigoziem-okonkwo,7.927089472315681,11
darren-waller,7.926164211285433,12
greg-dulcich,7.32856062744204,13
cole-kmet,7.286583236330553,14
dalton-schultz,7.1931553165980775,15
tyler-higbee,7.053238148992666,16
juwan-johnson,6.9928352552355655,17
gerald-everett,6.751423682680442,18
jelani-woods,6.5639904502123905,19
zach-ertz,6.435831457486402,20
dawson-knox,6.386822465624117,21
tyler-conklin,6.3640245980457495,22
daniel-bellinger,6.328782944636586,23
hunter-henry,6.245624822889714,24
hayden-hurst,6.120742793737667,25
isaiah-likely,6.0309434226697975,26
noah-fant,5.829705464801509,27
mike-gesicki,5.770131592609562,28
noah-gray,5.5961276046649955,29
colby-parkinson,5.593708421342733,30
irv-smith-jr,5.494553905748564,31
robert-tonyan,5.2843938784457904,32
austin-hooper,5.194714650704533,33
logan-thomas,5.182578918230323,34
cade-otton,5.181019492450183,35
jake-ferguson,4.937747427661831,36
trey-mcbride,4.909092717738914,37
will-dissly,4.854598593017438,38
