name,proj fpts,rank
travis-kelce,187.37840402466733,1
kyle-pitts,123.94225304717678,2
george-kittle,123.92578053850923,3
tj-hockenson,122.66544277747475,4
greg-dulcich,121.67648899790967,5
mark-andrews,118.34734294175857,6
dallas-goedert,117.71291808421826,7
pat-freiermuth,117.38500208430659,8
chigoziem-okonkwo,116.54612585325214,9
daniel-bellinger,111.45519416639479,10
david-njoku,110.18983297743964,11
evan-engram,109.31560301301991,12
jelani-woods,108.49363435999926,13
dalton-schultz,108.26399144359944,14
juwan-johnson,105.93732003957206,15
cole-kmet,105.0350458239873,16
gerald-everett,103.10025241397409,17
foster-moreau,101.98273628214494,18
taysom-hill,101.70036766432621,19
dawson-knox,101.35156482296964,20
isaiah-likely,99.9274201253343,21
tyler-conklin,99.89611464850965,22
zach-ertz,99.21049719455503,23
darren-waller,98.85162086525777,24
hayden-hurst,98.33143328657941,25
jordan-akins,97.94252955997841,26
tyler-higbee,97.79238164137158,27
noah-gray,95.4629376945125,28
noah-fant,91.23625751789497,29
colby-parkinson,90.52804207096358,30
hunter-henry,89.20528742060006,31
irv-smith-jr,86.39745878680351,32
cade-otton,81.327959445101,33
logan-thomas,80.150480684801,34
robert-tonyan,79.76611320601603,35
jake-ferguson,77.60444411329696,36
trey-mcbride,77.08547144844152,37
austin-hooper,74.89230401935748,38
mike-gesicki,72.86515058650404,39
will-dissly,71.47634109180387,40
brock-wright,67.90945784045775,41
harrison-bryant,61.613175020940716,42
cj-uzomah,60.36876709174766,43
adam-trautman,59.55262223686823,44
jonnu-smith,56.65914321326852,45
mo-alie-cox,46.87028734024415,46
