name,proj fpts,rank,last rank
travis-kelce,13.650200000000002,1,1
mark-andrews,9.146599999999998,2,4
tj-hockenson,8.799000000000001,3,2
dallas-goedert,8.375200000000001,4,12
george-kittle,8.111400000000003,5,3
pat-freiermuth,8.0454,6,8
evan-engram,8.033,7,6
kyle-pitts,7.956,8,31
david-njoku,7.951400000000004,9,13
darren-waller,7.755399999999999,10,27
chigoziem-okonkwo,7.676,11,23
jelani-woods,7.503199999999998,12,30
juwan-johnson,7.297199999999997,13,11
zach-ertz,7.096799999999997,14,18
cole-kmet,7.040799999999999,15,7
dalton-schultz,7.038600000000001,16,10
greg-dulcich,6.969999999999999,17,29
tyler-higbee,6.960199999999995,18,9
dawson-knox,6.865399999999997,19,14
colby-parkinson,6.791199999999998,20,34
isaiah-likely,6.773199999999996,21,25
gerald-everett,6.6606,22,15
hunter-henry,6.575799999999998,23,20
tyler-conklin,6.343999999999999,24,16
hayden-hurst,6.216599999999998,25,21
noah-fant,6.204799999999998,26,17
daniel-bellinger,5.879799999999995,27,32
mike-gesicki,5.860999999999999,28,22
robert-tonyan,5.858799999999998,29,19
noah-gray,5.794599999999998,30,35
austin-hooper,5.6898,31,24
cade-otton,5.6855999999999955,32,26
jake-ferguson,5.639599999999994,33,38
logan-thomas,5.619199999999999,34,33
trey-mcbride,5.595399999999996,35,36
irv-smith-jr,5.488399999999997,36,37
will-dissly,5.323599999999998,37,28
taysom-hill,5.185199999999999,38,5
